"Date","Price","Open","High","Low","Vol.","Change %"
"27/06/2019","10.96","10.89","11.54","10.27","","-0.18%"
"26/06/2019","10.98","11.38","11.65","10.86","","-3.94%"
"25/06/2019","11.43","11.26","11.61","10.92","","1.33%"
"24/06/2019","11.28","10.70","11.43","10.39","","5.92%"
"21/06/2019","10.65","10.16","10.92","9.73","","3.60%"
"20/06/2019","10.28","10.61","10.92","9.26","","-7.05%"
"19/06/2019","11.06","11.06","11.60","10.39","","0.82%"
"18/06/2019","10.97","10.88","11.69","9.36","","0.18%"
"17/06/2019","10.95","10.12","11.81","10.12","","8.20%"
"14/06/2019","10.12","10.18","11.85","10.12","","1.30%"
"13/06/2019","9.99","11.30","11.73","9.99","","-11.28%"
"12/06/2019","11.26","10.75","12.07","10.75","","-3.26%"
"11/06/2019","11.64","10.83","11.88","10.83","","2.11%"
"10/06/2019","11.40","10.77","12.06","10.77","","1.42%"
"07/06/2019","11.24","12.73","12.73","9.99","","-12.12%"
"06/06/2019","12.79","12.39","13.12","11.88","","1.35%"
"05/06/2019","12.62","13.27","13.52","11.99","","-3.44%"
"04/06/2019","13.07","13.08","14.36","12.71","","-2.32%"
"03/06/2019","13.38","13.85","15.46","13.01","","-1.25%"
"31/05/2019","13.55","13.24","15.31","13.24","","4.96%"
"30/05/2019","12.91","13.79","14.19","12.54","","-6.72%"
"29/05/2019","13.84","12.41","14.97","12.41","","12.34%"
"28/05/2019","12.32","12.93","14.00","12.32","","-4.72%"
"27/05/2019","12.93","12.93","12.93","12.93","","-0.15%"
"24/05/2019","12.95","13.34","13.73","12.44","","-2.26%"
"23/05/2019","13.25","11.18","14.09","11.18","","5.75%"
"22/05/2019","12.53","12.89","12.89","10.61","","-2.94%"
"21/05/2019","12.91","12.01","12.91","11.05","","6.52%"
"20/05/2019","12.12","10.44","13.56","10.44","","4.84%"
"17/05/2019","11.56","12.02","13.62","10.50","","-3.18%"
"16/05/2019","11.94","12.02","13.78","10.88","","-11.23%"
"15/05/2019","13.45","14.04","16.38","11.72","","-4.61%"
"14/05/2019","14.10","14.19","14.97","13.27","","-0.84%"
"13/05/2019","14.22","13.98","16.75","6.58","","-2.74%"
"10/05/2019","14.62","14.19","15.26","7.83","","-1.95%"
"09/05/2019","14.91","12.95","16.82","7.79","","11.19%"
"08/05/2019","13.41","13.35","15.00","12.71","","-0.37%"
"07/05/2019","13.46","10.06","14.25","10.06","","33.80%"
"06/05/2019","10.06","10.06","10.06","10.06","","-5.81%"
"03/05/2019","10.68","11.73","11.73","10.48","","-8.95%"
"02/05/2019","11.73","11.90","12.29","10.42","","0.77%"
"30/04/2019","11.64","9.86","11.64","9.86","","4.30%"
"29/04/2019","11.16","10.01","11.43","9.81","","5.88%"
"26/04/2019","10.54","10.60","10.86","9.48","","0.48%"
"25/04/2019","10.49","10.25","11.31","9.12","","2.64%"
"24/04/2019","10.22","10.69","10.85","9.37","","-2.01%"
"23/04/2019","10.43","8.04","10.43","8.04","","21.28%"
"18/04/2019","8.60","9.81","9.81","8.60","","-12.60%"
"17/04/2019","9.84","10.57","10.57","8.14","","5.58%"
"16/04/2019","9.32","10.12","10.12","8.47","","-5.38%"
"15/04/2019","9.85","10.06","10.56","9.44","","-1.89%"
"12/04/2019","10.04","9.16","10.08","8.73","","4.15%"
"11/04/2019","9.64","11.60","12.06","8.84","","-17.40%"
"10/04/2019","11.67","11.54","12.06","10.19","","0.00%"
"09/04/2019","11.67","12.29","12.46","11.15","","1.04%"
"08/04/2019","11.55","10.74","12.47","10.74","","5.19%"
"05/04/2019","10.98","11.40","12.05","10.54","","-5.02%"
"04/04/2019","11.56","12.26","12.47","11.07","","-4.78%"
"03/04/2019","12.14","12.85","12.85","10.40","","-4.48%"
"02/04/2019","12.71","12.68","13.26","11.80","","-1.09%"
"01/04/2019","12.85","12.64","13.54","12.10","","0.00%"
"29/03/2019","12.85","15.13","15.13","12.35","","-9.82%"
"28/03/2019","14.25","13.83","15.15","13.42","","0.92%"
"27/03/2019","14.12","13.12","15.27","12.82","","3.44%"
"26/03/2019","13.65","14.41","15.29","13.43","","-3.87%"
"25/03/2019","14.20","14.29","16.50","14.20","","0.14%"
"22/03/2019","14.18","12.14","15.26","11.70","","13.17%"
"21/03/2019","12.53","12.64","13.78","11.18","","1.29%"
"20/03/2019","12.37","12.24","13.11","10.98","","1.81%"
"19/03/2019","12.15","12.42","12.42","10.63","","-0.57%"
"18/03/2019","12.22","11.78","12.43","10.84","","2.35%"
"15/03/2019","11.94","11.61","13.14","11.01","","-6.13%"
"14/03/2019","12.72","12.06","13.48","11.55","","-8.03%"
"13/03/2019","13.83","11.89","13.97","11.10","","3.98%"
"12/03/2019","13.30","15.33","15.33","10.55","","4.97%"
"11/03/2019","12.67","11.59","14.06","10.93","","-0.47%"
"08/03/2019","12.73","14.90","16.15","10.37","","-10.54%"
"07/03/2019","14.23","13.05","15.75","10.02","","9.97%"
"06/03/2019","12.94","13.90","14.68","11.32","","-3.00%"
"05/03/2019","13.34","13.22","14.38","11.38","","-0.07%"
"04/03/2019","13.35","12.23","13.93","11.34","","6.97%"
"01/03/2019","12.48","13.41","14.14","11.23","","-7.49%"
"28/02/2019","13.49","13.63","14.09","12.15","","-4.66%"
"27/02/2019","14.15","12.39","14.35","3.45","","8.26%"
"26/02/2019","13.07","12.12","13.91","6.01","","1.24%"
