,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
132,721798,ABF.L,2000-11-09,2000-11-08, Associated British Foods;,SHORTS: ABF takes charge of problems, Associated British Foods;,Associated British Foods,2023-03-29 15:52:15.487274,Yes
133,794169,ABF.L,2001-11-07,2001-11-06, Associated British Foods;,ABF underpinned by restructuring, Associated British Foods;,Associated British Foods,2023-03-29 15:52:26.756896,Yes
134,856969,ABF.L,2002-10-09,2002-10-08, Associated British Foods;,ABF is now one of the Ovalteenies, Associated British Foods; Swiss; British Sugar; US; UK;,Associated British Foods Swiss British Sugar US UK,2023-03-29 15:52:33.011172,No
135,883528,ABF.L,2003-02-27,2003-02-26, George Weston;,Moving places Associated British Foods, British Foods; Allied Bakeries;,British Foods Allied Bakeries,2023-03-29 15:52:44.322246,Yes
136,893348,ABF.L,2003-04-17,2003-04-16, ABF;,"ABF looks at more beverage buys FOOD PRODUCERS COMPANY MAY FOLLOW UP OVALTINE
PURCHASE WITH MORE ACQUISITIONS IN SECTOR:", Group; Office of Fair Trading; ABF;,Group Office of Fair Trading ABF,2023-03-29 15:52:50.786712,No
137,955406,ABF.L,2004-03-10,2004-03-09, ABF;,ABF adds Mexico oil brand to list FOOD PRODUCERS:, British Foods; US; ABF;,British Foods US ABF,2023-03-29 15:52:57.194986,No
138,962059,ABF.L,2004-04-15,2004-04-14, Associated British Foods;,Sweet things pep up ABF, Associated British Foods;,Associated British Foods,2023-03-29 15:53:03.545866,No
139,962188,ABF.L,2004-04-15,2004-04-14, Associated British Foods;,Ovaltine and sugar sweeten ABF profits FOOD PRODUCERS:, Associated British Foods; UK; AB Foods;,Associated British Foods UK AB Foods,2023-03-29 15:53:09.813538,No
140,981535,ABF.L,2004-07-23,2004-07-22, Associated British Foods;,Associated British Foods THE LEX COLUMN:, Associated British Foods; Australian;,Associated British Foods Australian,2023-03-29 15:53:16.142243,No
141,989689,ABF.L,2004-09-14,2004-09-13, Associated British Foods;,China's sweet tooth lifts ABF's sales, Primark; Associated British Foods; AB Foods; EU;,Primark Associated British Foods AB Foods EU,2023-03-29 15:53:22.393902,No
142,991430,ABF.L,2004-09-24,2004-09-23, George Weston;,"George Weston to take chief executive's role at Associated British Foods FOOD
PRODUCERS:", British Foods; Allied Bakeries;,British Foods Allied Bakeries,2023-03-29 15:53:28.943867,No
143,991430,ABF.L,2004-09-24,2004-09-23, George Weston;,"George Weston to take chief executive's role at Associated British Foods FOOD
PRODUCERS:", British Foods; Allied Bakeries;,British Foods Allied Bakeries,2023-03-29 15:53:35.207647,No
144,1020149,ABF.L,2005-03-31,2005-03-30, Associated British Foods;,And finally... Associated British Foods, Associated British Foods;,Associated British Foods,2023-03-29 15:53:41.418157,No
145,1022888,ABF.L,2005-04-18,2005-04-17, Associated British Foods;,Investors seek guidance over ABF's acquisition intentions COMPANIES DIARY, US; Associated British Foods; EU; UK; McCarthy; Allied Domecq; Lehman Brothers; Allied;,US Associated British Foods EU UK McCarthy Allied Domecq Lehman Brothers Allied,2023-03-29 15:53:47.836863,No
146,1023377,ABF.L,2005-04-20,2005-04-19, ABF;,"European sugar regime turns sour for ABF: Analysts forecast sharp profits fall
MARTIN DICKSON LOMBARD", British Foods; ABF; European Commission;,British Foods ABF European Commission,2023-03-29 15:53:59.214269,Yes
147,1023376,ABF.L,2005-04-20,2005-04-19, George Weston;,ABF cuts emphasis on British Sugar business FOOD PRODUCERS:, British Foods; EU;,British Foods EU,2023-03-29 15:54:10.786618,Yes
