,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
335,714380,AUN.L^G06,2000-10-04,2000-10-03, Boots;,"INSIDE TRACK: The Japanese face of Boots: MARKETING OVERSEAS RETAILING: The
retailer thinks the best way into a protected market is to proceed slowly,
writes Bayan Rahman", UK; Boots; Swiss; Mitsubishi; US;,UK Boots Swiss Mitsubishi US,2023-03-29 16:37:02.266201,No
336,717233,AUN.L^G06,2000-10-18,2000-10-17, Boots;,"COMPANIES & FINANCE UK: Boots pays P&G Dollars 340m for Clearasil GENERAL
RETAILERS HEALTHCARE GROUP MOVES INTO US MARKET:", US; Procter & Gamble; Boots Healthcare International; BHI; Boots;,US Procter Gamble Boots Healthcare International BHI Boots,2023-03-29 16:37:14.042265,Yes
337,720741,AUN.L^G06,2000-11-03,2000-11-02, Boots;,COMPANIES & FINANCE UK: Boots 'exceptionals' lead analysts to cut forecasts, Chemist; Merrill Lynch; Merrill; Boots;,Chemist Merrill Lynch Merrill Boots,2023-03-29 16:37:21.997573,No
338,734484,AUN.L^G06,2001-01-17,2001-01-16, Boots;,"COMPANIES & FINANCE UK: Boots dispenses lacklustre update CHEMIST REPORTS
DISAPPOINTING SALES NUMBERS BUT IMPROVED MARGINS:", Boots;,Boots,2023-03-29 16:37:34.416669,Yes
339,738327,AUN.L^G06,2001-02-05,2001-02-04, Boots;,"FRONT PAGE - COMPANIES & MARKETS: Boots to cut more than 1,000 jobs
RESTRUCTURING DRIVE AIMS TO SAVE Pounds 100M: * TOP-LEVEL MANAGEMENT CHANGES
LOOK LIKELY:", Boots; UK; Chemist; Boots Healthcare International;,Boots UK Chemist Boots Healthcare International,2023-03-29 16:37:42.244853,No
340,759113,AUN.L^G06,2001-05-16,2001-05-15, Boots;,Putting the Boots in INSIDE: BUSINESS, Boots;,Boots,2023-03-29 16:37:55.612597,Yes
341,759577,AUN.L^G06,2001-05-17,2001-05-16, Boots;,"Boots swallows dose of medicine: Maggie Urry on the chemist chain's response to
freeing of price controls on OTC products", Boots; Office of Fair Trading; Chemist; Boots Healthcare International;,Boots Office of Fair Trading Chemist Boots Healthcare International,2023-03-29 16:38:03.407186,No
342,762576,AUN.L^G06,2001-06-01,2001-05-31, Boots;,Boots LEX COLUMN, Boots; Boots Healthcare International;,Boots Boots Healthcare International,2023-03-29 16:38:15.063837,Yes
343,762653,AUN.L^G06,2001-06-01,2001-05-31, Boots;,Boots eyes beauty make-over, Boots; UK;,Boots UK,2023-03-29 16:38:26.733835,Yes
344,772595,AUN.L^G06,2001-07-19,2001-07-18, Boots;,Boots and Sainsbury in trial link-up RETAILERS HEALTH AND BEAUTY MOVE:, Boots;,Boots,2023-03-29 16:38:39.750555,Yes
345,783840,AUN.L^G06,2001-09-17,2001-09-16, Boots;,Glamour boy to advise Boots on Pure Beauty, Pure Beauty; Boots;,Pure Beauty Boots,2023-03-29 16:38:51.009481,Yes
346,792363,AUN.L^G06,2001-10-29,2001-10-28, Boots;,Boots' pension scheme highlights bonds' appeal, AAA; National Association of;,AAA National Association of,2023-03-29 16:39:02.334522,Yes
347,792642,AUN.L^G06,2001-10-30,2001-10-29, Boots;,Boots in risk management exercise, Boots; World Bank; European Investment Bank;,Boots World Bank European Investment Bank,2023-03-29 16:39:10.087398,No
348,799657,AUN.L^G06,2001-12-04,2001-12-03, Boots;,Rudd named as Boots deputy PEOPLE, Williams; Boots; Barclays; Financial Reporting Council;,Williams Boots Barclays Financial Reporting Council,2023-03-29 16:39:21.629171,Yes
349,809946,AUN.L^G06,2002-02-01,2002-01-31, Boots;,"Boots retreats again on overseas move RETAILERS GROUP DROPS STAND-ALONE STORES
IN FAVOUR OF IMPLANTS RUN BY OTHER OPERATORS TO AVOID RISK:", Boots; Think Nike Town;,Boots Think Nike Town,2023-03-29 16:39:29.387794,No
350,817701,AUN.L^G06,2002-03-13,2002-03-12, Boots;,Pensions boost for Boots buy-back, Boots;,Boots,2023-03-29 16:39:40.777935,Yes
351,823688,AUN.L^G06,2002-04-15,2002-04-14, Boots;,Inflation linkage for Boots fund, Boots;,Boots,2023-03-29 16:39:48.702362,No
352,824422,AUN.L^G06,2002-04-18,2002-04-17, Boots;,Boots LOMBARD - MARTIN DICKSON, Boots; Mercury Asset Management;,Boots Mercury Asset Management,2023-03-29 16:39:56.455156,No
353,832746,AUN.L^G06,2002-05-31,2002-05-30, Boots;,"Hundreds book Botox at Boots GENERAL RETAILERS BOTULIN TOXIN TREATMENT IS ON
TRIAL TO HELP BREATHE FRESH LIFE INTO STAGNANT SALES:", Boots; Boots Healthcare International; Pure Beauty; SG Securities;,Boots Boots Healthcare International Pure Beauty SG Securities,2023-03-29 16:40:08.019049,Yes
354,842988,AUN.L^G06,2002-07-24,2002-07-23, Boots;,"Egg's success with new customers softens Boots joint credit card blow BANKS
ONLINE COMPANY REPORTS MAIDEN HALF-YEAR PRE-TAX PROFIT:", Boots; Merrill Lynch;,Boots Merrill Lynch,2023-03-29 16:40:15.727310,No
355,848712,AUN.L^G06,2002-08-27,2002-08-26, Boots;,Boots extends Asian deal with rival, AS Watson; UK; AS; Boots;,AS Watson UK AS Boots,2023-03-29 16:40:23.923083,No
356,849680,AUN.L^G06,2002-09-02,2002-09-01, Boots;,"Surveys FNM1

Transition trade sees a boost to its profile: Thanks to newsworthy switches by
groups such as the retailer Boots, the practice is getting recognised, writes
Aline Van Duyn:", US; UK; Barclays Global Investors; Morgan Stanley; National Treasury Management Agency; Boots; Merrill Lynch Investment Managers; Goldman Sachs;,US UK Barclays Global Investors Morgan Stanley National Treasury Management Agency Boots Merrill Lynch Investment Managers Goldman Sachs,2023-03-29 16:40:35.317462,Yes
357,855303,AUN.L^G06,2002-10-01,2002-09-30, Boots;,"Buoyant Boots comes back on target RETAILERS LAST QUARTER'S TRADING WAS BEST FOR
FOUR YEARS: * DISPENSING, COSMETICS AND FRAGRANCES PERFORMED WELL:", Boots; Boots Healthcare International;,Boots Boots Healthcare International,2023-03-29 16:40:43.098650,No
358,855515,AUN.L^G06,2002-10-02,2002-10-01, Boots;,Boots plans Pounds 130m extra IT spending RETAILERS IBM DEAL FREES CASH:, IBM; IT; Boots;,IBM IT Boots,2023-03-29 16:40:51.120073,No
359,862748,AUN.L^G06,2002-11-07,2002-11-06, Boots;,Boots switches on sales analysis, Boots;,Boots,2023-03-29 16:41:02.897588,Yes
360,862829,AUN.L^G06,2002-11-07,2002-11-06, Boots;,Boots in switch on like-for-like sales figures, Boots;,Boots,2023-03-29 16:41:14.579094,Yes
361,863076,AUN.L^G06,2002-11-08,2002-11-07, Boots;,A discordant blast from the past at Boots: MARTIN DICKSON - LOMBARD, Boots.; Office of Fair Trading; Boots;,Boots Office of Fair Trading Boots,2023-03-29 16:41:25.847915,Yes
362,870086,AUN.L^G06,2002-12-13,2002-12-12, Boots;,The boot at Boots MARTIN DICKSON - LOMBARD, Boots; Office of Fair Trading; National Health Service;,Boots Office of Fair Trading National Health Service,2023-03-29 16:41:37.409709,Yes
363,870145,AUN.L^G06,2002-12-13,2002-12-12, Boots;,"Boots poised for boardroom makeover: Steve Russell may not see out his time as
chief executive, says Susanna Voyle:", Boots; Office of Fair Trading; Pure Beauty; OFT; Boots.;,Boots Office of Fair Trading Pure Beauty OFT Boots,2023-03-29 16:41:45.298184,No
364,870708,AUN.L^G06,2002-12-16,2002-12-15, Boots;,Top two to step down at Boots, Boots;,Boots,2023-03-29 16:41:56.771538,Yes
365,874199,AUN.L^G06,2003-01-09,2003-01-08, Boots;,Marketing chief departs at Boots, Boots; Boots Healthcare International; Petcare Marketing Europe; Procter & Gamble;,Boots Boots Healthcare International Petcare Marketing Europe Procter Gamble,2023-03-29 16:42:04.661175,No
366,876576,AUN.L^G06,2003-01-22,2003-01-21,  Boots;,Margins buffeted at Boots, Boots  Boots;,Boots Boots,2023-03-29 16:42:16.740162,Yes
367,876658,AUN.L^G06,2003-01-22,2003-01-21, Boots;,Boots LOMBARD - MARTIN DICKSON, FTSE; Boots; Office of Fair Trading; Boots Healthcare International;,FTSE Boots Office of Fair Trading Boots Healthcare International,2023-03-29 16:42:28.106229,Yes
368,879138,AUN.L^G06,2003-02-04,2003-02-03, Boots;,Sainsbury and Boots end health trial GENERAL RETAILERS:, Boots;,Boots,2023-03-29 16:42:39.671419,Yes
369,880904,AUN.L^G06,2003-02-13,2003-02-12, Boots;,Boots ends trials of alternative therapies, Boots; Office of Fair Trading;,Boots Office of Fair Trading,2023-03-29 16:42:51.344158,Yes
370,888299,AUN.L^G06,2003-03-24,2003-03-23, Boots;,"The drugstore maverick: INTERVIEW: John Ralfe, architect of Boots' landmark
pensions switch from equities to bonds, explains the move to Tony Tassel:", UK; Boots;,UK Boots,2023-03-29 16:43:03.330695,Yes
371,889442,AUN.L^G06,2003-03-28,2003-03-27, Boots;,Bad news from Boots, Boots;,Boots,2023-03-29 16:43:14.899568,Yes
372,895627,AUN.L^G06,2003-05-01,2003-04-30, Boots;,"Boots walks over the old guard with a fresh face By Susanna Voyle, Retail
Correspondent GENERAL RETAILERS:", Boots; Allan Leighton; US -;,Boots Allan Leighton US,2023-03-29 16:43:22.661560,No
373,895851,AUN.L^G06,2003-05-02,2003-05-01, Boots;,UK: Boots to pay CEO Baker Pounds 1.58m, Boots;,Boots,2023-03-29 16:43:34.459133,Yes
374,896655,AUN.L^G06,2003-05-06,2003-05-05, Boots;,Boots pension fund still avoiding equities RETAIL:, Boots; UK;,Boots UK,2023-03-29 16:43:42.822646,No
375,901524,AUN.L^G06,2003-06-02,2003-06-01, Boots;,Boots enters managerial 'limbo', Boots;,Boots,2023-03-29 16:43:54.527931,Yes
376,902370,AUN.L^G06,2003-06-06,2003-06-05, Boots;,"No sign of panic as Boots axes 500 jobs: Nottingham's ability to reinvent itself
has cushioned the bad news from the city's biggest employer", Boots; Capital One; US; East Midlands Development Agency; Nottingham University Business School;,Boots Capital One US East Midlands Development Agency Nottingham University Business School,2023-03-29 16:44:02.520835,No
377,902420,AUN.L^G06,2003-06-06,2003-06-05, Boots;,UK: Pointing Boots towards the right direction: LOMBARD, Boots;,Boots,2023-03-29 16:44:10.427525,No
378,902519,AUN.L^G06,2003-06-06,2003-06-05, Boots;,Boots to cut 500 jobs to help fight big supermarkets, Boots;,Boots,2023-03-29 16:44:18.356479,No
379,911766,AUN.L^G06,2003-07-25,2003-07-24, Boots;,Boots on rise after getting back to basics GENERAL RETAILERS:, Boots; UK;,Boots UK,2023-03-29 16:44:30.115601,Yes
380,929599,AUN.L^G06,2003-10-27,2003-10-26, Boots;,UK & IRELAND: Boots chief in power handout to managers RETAILERS:, Boots; US;,Boots US,2023-03-29 16:44:42.148304,Yes
381,929651,AUN.L^G06,2003-10-27,2003-10-26, Boots;,"PORTFOLIO: The world has moved on, so should pension funds: It is two years
since Boots' pension scheme switched out of equities into bonds. John Ralfe, who
masterminded the transition, explains.", UK; Imperial Tobacco; US; Boots; AAA; Harvard Business School; RBC Capital Markets;,UK Imperial Tobacco US Boots AAA Harvard Business School RBC Capital Markets,2023-03-29 16:44:53.513433,Yes
382,930102,AUN.L^G06,2003-10-29,2003-10-28, Boots;,UK: Leading directors exit in shake-up at Boots GENERAL RETAILERS:, Boots;,Boots,2023-03-29 16:45:05.389618,Yes
383,932075,AUN.L^G06,2003-11-07,2003-11-06, Boots;,"Boots chief raps old regime: Baker says health and beauty chain had fallen down
on basic retail principles for more than a decade under its previous management", Boots;,Boots,2023-03-29 16:45:16.961951,Yes
384,943722,AUN.L^G06,2004-01-12,2004-01-11, Boots;,"Boots set to cut up to 1,000 head office jobs in costs push", Boots; CBI; GUS;,Boots CBI GUS,2023-03-29 16:45:28.840613,Yes
385,944643,AUN.L^G06,2004-01-16,2004-01-15, Boots;,UK: Job losses as Boots takes on supermarkets, Boots;,Boots,2023-03-29 16:45:40.903828,Yes
386,956288,AUN.L^G06,2004-03-15,2004-03-14, Boots;,Ex-Boots man to chair German health groups SPECIALITY FINANCE:, Boots Healthcare International; Boots; Procter & Gamble; Standard Chartered;,Boots Healthcare International Boots Procter Gamble Standard Chartered,2023-03-29 16:45:49.097197,No
387,970694,AUN.L^G06,2004-05-28,2004-05-27, Boots;,Boots THE LEX COLUMN:, Boots;,Boots,2023-03-29 16:46:00.885783,Yes
388,970814,AUN.L^G06,2004-05-28,2004-05-27, Boots;,Boots unveils Pounds 700m share buy-back scheme, Boots; Standard & Poor; Financial; Reporting Standard; Boots Healthcare International;,Boots Standard Poor Financial Reporting Standard Boots Healthcare International,2023-03-29 16:46:08.821468,No
389,972288,AUN.L^G06,2004-06-07,2004-06-06, Boots;,"MARKETPLACE: Boots' latest switch raises calls to cut employers' pension fund
powers", Boots; National Association of;,Boots National Association of,2023-03-29 16:46:20.252524,Yes
390,974939,AUN.L^G06,2004-06-21,2004-06-20, Boots;,Boots pension fund to stay invested in low-risk bonds RETAILERS:, Boots Pension Scheme; UK; Boots;,Boots Pension Scheme UK Boots,2023-03-29 16:46:31.614615,Yes
391,981551,AUN.L^G06,2004-07-23,2004-07-22, Boots;,Boots sales increase 3.9% NEWS DIGEST, Boots Group; Boots Healthcare International; Boots;,Boots Group Boots Healthcare International Boots,2023-03-29 16:46:39.338414,No
392,992494,AUN.L^G06,2004-10-01,2004-09-30, Boots;,Boots THE LEX COLUMN:, Boots;,Boots,2023-03-29 16:46:50.656332,Yes
393,993449,AUN.L^G06,2004-10-07,2004-10-06, Boots;,Boots debuts in euro bonds NEW ISSUES:, UK; Barclays Capital; Boots; Moody's Investors Service; Standard & Poor's.; ABN Amro;,UK Barclays Capital Boots Moody s Investors Service Standard Poor s ABN Amro,2023-03-29 16:47:02.223714,Yes
394,995952,AUN.L^G06,2004-10-22,2004-10-21, Boots;,High street chemists to change into kinky Boots, Boots Group; SSL; Boots;,Boots Group SSL Boots,2023-03-29 16:47:13.921849,Yes
395,996362,AUN.L^G06,2004-10-27,2004-10-26, Boots;,Tesco veteran for Boots retail role PEOPLE, Boots Group; Boots;,Boots Group Boots,2023-03-29 16:47:25.765654,Yes
396,1009007,AUN.L^G06,2005-01-20,2005-01-19, Boots;,"Long way to go, says Boots chief: Drive for increased competitiveness will
continue, Baker pledges: * Retailer confirms it has scrapped plans to stock sex
toys", Boots; Merrill Lynch; CSFB; SSL International; Financial Times;,Boots Merrill Lynch CSFB SSL International Financial Times,2023-03-29 16:47:33.495131,No
