,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
448,711883,AV.L,2000-09-21,2000-09-20, CGU;,COMPANIES & FINANCE: UK: Buyer in the frame for CGNU US unit NEWS DIGEST:, White Mountains Insurance; US; UK; CGU; Travelers; Property Casualty;,White Mountains Insurance US UK CGU Travelers Property Casualty,2023-03-29 16:55:49.987675,No
449,712864,AV.L,2000-09-26,2000-09-25, CGNU;,"COMPANIES & FINANCE: UK: CGNU achieves clean break in US sale INSURANCE DISPOSAL
RELIEVES LONG-TERM LIABILITIES AND REPOSITIONS GROUP AS LIFE ASSURER:", US; CGU; CGNU;,US CGU CGNU,2023-03-29 16:55:57.653946,No
450,714416,AV.L,2000-10-04,2000-10-03, CGNU;,FRONT PAGE - COMPANIES & MARKETS: CGNU is looking for a US purchase, UK; US; Morley Fund Management; CGU; CGNU; Pioneer;,UK US Morley Fund Management CGU CGNU Pioneer,2023-03-29 16:56:05.385000,No
451,717609,AV.L,2000-10-19,2000-10-18, CGNU;,COMPANIES & FINANCE UK: CGNU sales thrive during merger period, UK; CGU; CGNU; Standard Life; UK Life;,UK CGU CGNU Standard Life UK Life,2023-03-29 16:56:24.017919,Yes
452,720533,AV.L,2000-11-02,2000-11-01, CGNU;,"COMPANIES & FINANCE THE AMERICAS: Buffett takes CGNU's place at Lloyd's
INSURANCE BERKSHIRE HATHAWAY BUYS LOSS-MAKING MARLBOROUGH FROM UK GROUP FOR LESS
THAN Pounds 10M:", UK; US; Lloyds.; CGNU; Merrill Lynch;,UK US Lloyds CGNU Merrill Lynch,2023-03-29 16:56:31.728293,No
453,721939,AV.L,2000-11-09,2000-11-08, CGNU;,STOCK MARKETS LONDON STOCK EXCHANGE: Floods hurt CGNU NEWS DIGEST, CGNU; UK; Bookham Technology; EBITDA; Cable & Wireless;,CGNU UK Bookham Technology EBITDA Cable Wireless,2023-03-29 16:56:39.462262,No
454,722581,AV.L,2000-11-13,2000-11-12, CGNU;,COMPANIES & FINANCE UK: CGNU unlikely to bid for Equitable NEWS DIGEST, Equitable Life; CGNU; UK; Equitable;,Equitable Life CGNU UK Equitable,2023-03-29 16:56:50.935541,Yes
455,733211,AV.L,2001-01-10,2001-01-09, CGNU;,"COMPANIES & FINANCE UK: CGNU overcomes doubts to view expansion plans: Andrew
Bolger reports on the enlarged insurer's prospects, particularly as it casts an
acquisitive eye over continental Europe:", CGU; Commercial Union; US; CGNU; Prudential; Delta Lloyd; British; Guardian Royal Exchange; Eagle Star; Zurich Financial Services; UK;,CGU Commercial Union US CGNU Prudential Delta Lloyd British Guardian Royal Exchange Eagle Star Zurich Financial Services UK,2023-03-29 16:56:58.919976,No
456,735159,AV.L,2001-01-19,2001-01-18, CGNU;,"COMPANIES & FINANCE UK: CGNU overcomes doubts to view expansion plans: Andrew
Bolger reports on the enlarged insurer's prospects, particularly as it casts an
acquisitive eye over continental Europe:", CGU; Commercial Union; US; CGNU; Delta Lloyd; British; Guardian Royal Exchange; Eagle Star; Zurich Financial Services; UK;,CGU Commercial Union US CGNU Delta Lloyd British Guardian Royal Exchange Eagle Star Zurich Financial Services UK,2023-03-29 16:57:10.493421,Yes
457,735297,AV.L,2001-01-22,2001-01-21, CGNU;,COMPANIES & FINANCE UK: CGNU reviews SocGen stake NEWS DIGEST, Societe Generale; CGNU;,Societe Generale CGNU,2023-03-29 16:57:18.199804,No
458,736232,AV.L,2001-01-25,2001-01-24, CGNU;,PEOPLE: Harvey to take reins at CGNU PEOPLE, UK; CGU; Commercial Union; Association of British Insurers; CGNU;,UK CGU Commercial Union Association of British Insurers CGNU,2023-03-29 16:57:30.051377,Yes
459,739494,AV.L,2001-02-09,2001-02-08, CGNU;,COMPANIES & FINANCE UK: CGNU sells NZ offshoot in Pounds 125m deal, UK; NRMA Insurance; CGU; Morgan Stanley Dean Witter; Merrill Lynch; CGNU; US;,UK NRMA Insurance CGU Morgan Stanley Dean Witter Merrill Lynch CGNU US,2023-03-29 16:57:37.808482,No
460,740237,AV.L,2001-02-13,2001-02-12, CGNU;,INTERNATIONAL PEOPLE: FT Global 500 moves CGNU, CGU; CGNU;,CGU CGNU,2023-03-29 16:57:48.999430,Yes
461,741798,AV.L,2001-02-21,2001-02-20, CGNU;,"COMPANIES & FINANCE UK: CGNU to pay extra Dollars 200m on US disposal LIFE
ASSURANCE:", UK; US; CGNU; CGU;,UK US CGNU CGU,2023-03-29 16:58:00.424224,Yes
462,743083,AV.L,2001-02-28,2001-02-27, CGNU;,"COMPANIES & FINANCE UK: CGNU fails to forge SocGen link INSURANCE GROUP NOW
SEEKS TO BUILD STAKE IN UNICREDITO ITALIANO:", UK; Societe Generale; CGNU; CGU; US;,UK Societe Generale CGNU CGU US,2023-03-29 16:58:12.027562,Yes
463,753971,AV.L,2001-04-20,2001-04-19, CGNU;,"COMPANIES & FINANCE UK: CGNU driven by strong UK performance LIFE ASSURANCE
BUOYANT PENSIONS MARKET BOLSTERS NEW BUSINESS SALES IN FIRST QUARTER:", UK; CGU; Royal Bank; US; CGNU;,UK CGU Royal Bank US CGNU,2023-03-29 16:58:19.759950,No
464,756870,AV.L,2001-05-04,2001-05-03, CGU;,"CGNU pensions margins under pressure LIFE ASSURANCE SHARES DIP 4% AFTER
FIRST-QUARTER FIGURES AT BOTTOM END OF EXPECTATIONS:", UK; CGU; Royal Bank;,UK CGU Royal Bank,2023-03-29 16:58:31.295239,Yes
465,770112,AV.L,2001-07-06,2001-07-05, CGNU;,CGNU defies the trend by scrapping quarterly reports, US; CGNU; Salomon Smith Barney;,US CGNU Salomon Smith Barney,2023-03-29 16:58:38.998642,No
466,772592,AV.L,2001-07-19,2001-07-18, CGNU;,"CGNU wants greater push on stakeholder pensions INSURANCE GROUP CALLS FOR BETTER
PROMOTION BY GOVERNMENT AS IT UNVEILS STRONG NEW BUSINESS RESULTS:", CGNU; UK; Equitable Life; Royal Bank;,CGNU UK Equitable Life Royal Bank,2023-03-29 16:58:46.702188,No
467,775033,AV.L,2001-08-01,2001-07-31, CGNU;,CGNU expands in Spain NEWS DIGEST, UK; CGNU;,UK CGNU,2023-03-29 16:58:58.017229,Yes
468,775725,AV.L,2001-08-03,2001-08-02, CGU;,"CGNU to tap bond market for Pounds 1bn INSURANCE GROUP LOOKS TO FURTHER
EXPANSION IN EUROPE:", Merrill Lynch; CGU; UK;,Merrill Lynch CGU UK,2023-03-29 16:59:05.687418,No
469,791895,AV.L,2001-10-26,2001-10-25, CGNU;,"Expansion in bancassurance lifts CGNU LIFE ASSURANCE GROUP TO RAISE UP TO Pounds
1BN FOR FURTHER GROWTH IN CONTINENTAL EUROPE:", UK; Royal Bank; CGNU; RBS;,UK Royal Bank CGNU RBS,2023-03-29 16:59:13.351184,No
470,808084,AV.L,2002-01-23,2002-01-22, CGNU;,CGNU hits stakeholder pension target, Equitable Life; UK; Royal Bank; CGNU;,Equitable Life UK Royal Bank CGNU,2023-03-29 16:59:24.644222,Yes
471,813259,AV.L,2002-02-19,2002-02-18, CGNU;,CGNU in Hong Kong distribution deal, UK; CGNU; DBS; Dao Heng Assurance; DBS Kwong On Insurance;,UK CGNU DBS Dao Heng Assurance DBS Kwong On Insurance,2023-03-29 16:59:36.416768,Yes
472,815064,AV.L,2002-02-28,2002-02-27, CGNU;,Avivaderci LOMBARD, CGNU; UK; HBOS;,CGNU UK HBOS,2023-03-29 16:59:47.958775,Yes
473,815159,AV.L,2002-02-28,2002-02-27, CGU;,CGNU cuts dividend and plans name change, UK; CGU; UBS Warburg; HBOS; Delta Lloyd;,UK CGU UBS Warburg HBOS Delta Lloyd,2023-03-29 16:59:55.475614,No
474,825732,AV.L,2002-04-23,2002-04-22, CGNU;,Aviva too close to Arriva for comfort, CGNU; National Association of Pension Funds; US;,CGNU National Association of Pension Funds US,2023-03-29 17:00:06.626644,Yes
475,825782,AV.L,2002-04-23,2002-04-22, CGNU;,CGNU's name change criticised NEWS DIGEST, CGNU; National Association of Pension Funds;,CGNU National Association of Pension Funds,2023-03-29 17:01:53.330987,Yes
476,825408,AV.L,2002-04-24,2002-04-23, CGNU;,Aviva Arriva MARTIN DICKSON - LOMBARD, CGNU; National Association of;,CGNU National Association of,2023-03-29 17:02:05.001080,Yes
477,826135,AV.L,2002-04-26,2002-04-25, CGNU;,New business margins hurt CGNU shares LIFE ASSURERS PRODUCT MIX CHANGING:, CGNU; UK; Royal Bank;,CGNU UK Royal Bank,2023-03-29 17:02:12.683205,No
478,826146,AV.L,2002-04-26,2002-04-25, CGNU;,CGNU LOMBARD - MARTIN DICKSON, UK; CGNU;,UK CGNU,2023-03-29 17:02:23.877176,Yes
479,826287,AV.L,2002-04-26,2002-04-25, CGNU;,CGNU shares fall as margins suffer, CGNU;,CGNU,2023-03-29 17:02:35.514741,Yes
480,837295,AV.L,2002-06-24,2002-06-23, CGNU;,CGNU uses Pounds 2bn to boost solvency NEWS DIGEST, UK; Financial Serices Authority; Equitable Life; CGNU;,UK Financial Serices Authority Equitable Life CGNU,2023-03-29 17:02:43.214436,No
481,844681,AV.L,2002-08-02,2002-08-01, Aviva;,Aviva offers a comfort blanket to the market: LOMBARD - MARTIN DICKSON, Financial Services Authority; Standard & Poors; UK;,Financial Services Authority Standard Poors UK,2023-03-29 17:02:51.497803,No
