,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
581,715358,BAA.L^H06,2000-10-10,2000-10-09, Heathrow;,INSIDE TRACK BUSINESS TRAVEL: Heathrow Four baggage help TRAVEL UPDATE, BAA; Baggage Direct;,BAA Baggage Direct,2023-03-29 17:21:36.151500,No
582,718624,BAA.L^H06,2000-10-24,2000-10-23, Heathrow;,SURVEY - CREATIVE BUSINESS: Heathrow Express wins design effectiveness award, BAA; Heathrow Express; Design Business Association; Design Research Centre; Brunel University; DBA; US; Institute for Public Policy Research; McDonald's and;,BAA Heathrow Express Design Business Association Design Research Centre Brunel University DBA US Institute for Public Policy Research McDonald s and,2023-03-29 17:21:44.142522,No
583,729571,BAA.L^H06,2000-12-15,2000-12-14, Heathrow;,SHORTS: Heathrow airport is 'losing status', British Airways;,British Airways,2023-03-29 17:21:56.102166,Yes
584,729611,BAA.L^H06,2000-12-15,2000-12-14, Heathrow;,"INSIDE TRACK: Clouds darken the Hub's horizons: INTERVIEW ROD EDDINGTON, CHIEF
EXECUTIVE OF BRITISH AIRWAYS: Heathrow's success has been BA's success. But the
airline's chief executive tells Kevin Done that the airport's:"," British Airways; BA; Oxford; Air France; KLM; US -; United Airlines; US Airways; American Airlines; Delta; Lufthansa; Delta Air Lines; UK; United; BA "";",British Airways BA Oxford Air France KLM US United Airlines US Airways American Airlines Delta Lufthansa Delta Air Lines UK United BA,2023-03-29 17:22:07.683384,Yes
585,729709,BAA.L^H06,2000-12-15,2000-12-14, Heathrow;,"NATIONAL NEWS: BA head says Heathrow is losing status TRANSPORT 'JUST A MATTER
OF TIME BEFORE PARIS CHARLES DE GAULLE TAKES OVER AS EUROPE'S PREMIER AVIATION
HUB':", British Airways; BA; Air France; Lufthansa; KLM;,British Airways BA Air France Lufthansa KLM,2023-03-29 17:22:19.246786,Yes
586,729774,BAA.L^H06,2000-12-15,2000-12-14, Heathrow;,BRITAIN: BA chief says Heathrow is losing status TRANSPORT:, British Airways; BA; Air France; Lufthansa; KLM;,British Airways BA Air France Lufthansa KLM,2023-03-29 17:22:31.542348,Yes
587,730309,BAA.L^H06,2000-12-19,2000-12-18, Heathrow;,"COMPANIES & FINANCE UK AND IRELAND: BAA to invest in Heathrow for superjumbo
TRANSPORT COST ESTIMATED AT Pounds 150M:", Airbus; Singapore Airlines; BAA; Boeing; Virgin Atlantic; General Electric and Pratt & Whitney; US;,Airbus Singapore Airlines BAA Boeing Virgin Atlantic General Electric and Pratt Whitney US,2023-03-29 17:22:43.212332,Yes
588,731734,BAA.L^H06,2001-01-02,2001-01-01, Heathrow;,INSIDE TRACK: Mobile check-ins at Heathrow TRAVEL UPDATE, Heathrow; United Airlines;,Heathrow United Airlines,2023-03-29 17:22:51.103728,No
589,750812,BAA.L^H06,2001-04-02,2001-04-01, Heathrow;,NATIONAL NEWS: Star Alliance seeks Pounds 50m Heathrow investment, British Airways; United Airlines; Singapore Airlines; BMI British Midland; BA; SAS; UK; US; Virgin Atlantic; American Airlines; United;,British Airways United Airlines Singapore Airlines BMI British Midland BA SAS UK US Virgin Atlantic American Airlines United,2023-03-29 17:22:58.981856,No
590,758960,BAA.L^H06,2001-05-15,2001-05-14, Heathrow;,Foot-and-mouth hits Heathrow passenger figures, US; British Airways;,US British Airways,2023-03-29 17:23:11.068504,Yes
591,765025,BAA.L^H06,2001-06-13,2001-06-12, Heathrow;,Controller's errors led to 'near miss' at Heathrow, British Airways; BMI British Midland; Air Accident Investigation Branch; National Air Traffic Services; BA; BMI; AAIB;,British Airways BMI British Midland Air Accident Investigation Branch National Air Traffic Services BA BMI AAIB,2023-03-29 17:23:18.988085,No
