,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
766,710554,BALF.L,2000-09-14,2000-09-13, Balfour Beatty;,"COMPANIES & FINANCE: UK: Balfour Beatty may buy Adtranz arm ENGINEERING
FIXED-EQUIPMENT ACTIVITIES AT CENTRE OF TALKS:", UK; US; BICC;,UK US BICC,2023-03-29 17:53:03.532881,Yes
767,719896,BALF.L,2000-10-31,2000-10-30, Balfour Beatty;,NATIONAL NEWS: Balfour Beatty in Pounds 150m contract NEWS DIGEST, PFI; Church of England; Roman Catholic Church;,PFI Church of England Roman Catholic Church,2023-03-29 17:53:09.839736,No
768,744786,BALF.L,2001-03-07,2001-03-06, Balfour Beatty;,COMPANIES & FINANCE UK AND IRELAND: Balfour Beatty plans for rail take a knock, BICC; UK; Hatfield;,BICC UK Hatfield,2023-03-29 17:53:21.332362,Yes
769,747880,BALF.L,2001-03-21,2001-03-20, Balfour Beatty;,"INTERNATIONAL ECONOMY: Dambusters use share power to batter on builder's door:
Friends of the Earth will use the AGM of Balfour Beatty to try to force a change
in company policy, reports Alan Beattie", World Commission on Dams; World Bank; WCD; BP;,World Commission on Dams World Bank WCD BP,2023-03-29 17:53:33.214020,Yes
770,756259,BALF.L,2001-05-02,2001-05-01, Balfour Beatty;,NATIONAL NEWS: Balfour Beatty faces dam clash NEWS DIGEST, World Commission; World Bank;,World Commission World Bank,2023-03-29 17:53:39.441917,No
771,756511,BALF.L,2001-05-03,2001-05-02, Balfour Beatty;,Balfour Beatty defeats ethical vote, University Superannuation Scheme; Morley Fund Management;,University Superannuation Scheme Morley Fund Management,2023-03-29 17:53:45.784843,No
772,777904,BALF.L,2001-08-16,2001-08-15, Balfour Beatty;,"PFI projects buoy Balfour Beatty CONSTRUCTION BENEFITS SHOWING FROM
RESTRUCTURING:", Merrill Lynch; Cable;,Merrill Lynch Cable,2023-03-29 17:53:57.482556,Yes
773,779194,BALF.L,2001-08-23,2001-08-22, Balfour Beatty;,Balfour Beatty expands in US NEWS DIGEST, National Engineering and Contracting Company; US; US market;,National Engineering and Contracting Company US US market,2023-03-29 17:54:03.774931,No
774,788772,BALF.L,2001-10-11,2001-10-10, Balfour Beatty;,Balfour Beatty buys J Kennedy NEWS DIGEST, Johnstone Private Equity; National Engineering and Contracting Company; US;,Johnstone Private Equity National Engineering and Contracting Company US,2023-03-29 17:54:10.024311,No
775,789902,BALF.L,2001-10-17,2001-10-16, Balfour Beatty;,Balfour Beatty JV in Blackburn NEWS DIGEST, Charterhouse Project Finance;,Charterhouse Project Finance,2023-03-29 17:54:16.218802,No
776,795941,BALF.L,2001-11-15,2001-11-14, Balfour Beatty;,Balfour Beatty denies dam credits warning, Department of Trade and Industry; Conservative; 215m; US; VA Tech;,Department of Trade and Industry Conservative m US VA Tech,2023-03-29 17:54:22.540870,No
777,806493,BALF.L,2002-01-15,2002-01-14, Balfour Beatty;,"Balfour Beatty builds US presence CONSTRUCTION & BUILDING MATERIALS INDICATIONS
OF SECTOR BUOYANCY:", US;,US,2023-03-29 17:54:39.061595,Yes
778,816552,BALF.L,2002-03-07,2002-03-06, Balfour Beatty;,Disposal proceeds buoy Balfour Beatty, US; Merrill Lynch;,US Merrill Lynch,2023-03-29 17:54:51.552130,Yes
779,820359,BALF.L,2002-03-26,2002-03-25, Balfour Beatty;,"Surveys TUR1

Contractors withdraw after protests: ILISU DAM by Leyla Boulton: The decision by
Balfour Beatty to pull out of the project will cause further delays", Council of Europe;,Council of Europe,2023-03-29 17:55:03.879774,Yes
780,846837,BALF.L,2002-08-15,2002-08-14, Balfour Beatty;,Balfour Beatty LOMBARD - PHILIP COGGAN, UK;,UK,2023-03-29 17:55:19.406840,Yes
781,846843,BALF.L,2002-08-15,2002-08-14, Balfour Beatty;,Rail arm keeps Balfour Beatty ahead, PFI;,PFI,2023-03-29 17:55:25.742798,No
782,860202,BALF.L,2002-10-25,2002-10-24, Balfour Beatty;,Moving places Balfour Beatty, National Westminster Bank;,National Westminster Bank,2023-03-29 17:55:37.636105,Yes
783,915490,BALF.L,2003-08-14,2003-08-13, Balfour Beatty;,INTERNATIONAL: Balfour Beatty gets lift from PFI upturn, Advance Corporation Tax; UK; PFI;,Advance Corporation Tax UK PFI,2023-03-29 17:55:43.872981,No
784,916526,BALF.L,2003-08-22,2003-08-21, Balfour Beatty;,Balfour Beatty boosts board PEOPLE, ERM Holdings;,ERM Holdings,2023-03-29 17:55:50.011729,No
785,934767,BALF.L,2003-11-20,2003-11-19, Balfour Beatty;,Balfour Beatty makes Pounds 41.9m offer for Mansell CONSTRUCTION:, UK; BT; US;,UK BT US,2023-03-29 17:55:56.250414,No
786,944378,BALF.L,2004-01-15,2004-01-14, Balfour Beatty;,UK: Balfour Beatty order book ahead NEWS DIGEST, US;,US,2023-03-29 17:56:14.706008,Yes
787,955653,BALF.L,2004-03-11,2004-03-10, Balfour Beatty;,Balfour Beatty buoyed by projects CONSTRUCTION:, UK; Treasury; PFI; Bridgewell Securities;,UK Treasury PFI Bridgewell Securities,2023-03-29 17:56:21.096131,No
788,960686,BALF.L,2004-04-06,2004-04-05, Balfour Beatty;,Balfour Beatty and Carillion win Pounds 900m rail contracts, UK;,UK,2023-03-29 17:56:31.122952,No
789,967859,BALF.L,2004-05-14,2004-05-13, Balfour Beatty;,Strong rise in demand boosts confidence at Balfour Beatty, 3/4p-4; Central Line; White City; US; UK;,p Central Line White City US UK,2023-03-29 17:56:37.389948,No
790,981809,BALF.L,2004-07-26,2004-07-25, Balfour Beatty;,Balfour Beatty wins four contracts NEWS DIGEST, Westminster City Council; NHS; University College London;,Westminster City Council NHS University College London,2023-03-29 17:56:44.031812,No
791,984882,BALF.L,2004-08-12,2004-08-11, Balfour Beatty;,Balfour Beatty seeks US acquisitions, US;,US,2023-03-29 17:57:00.775526,Yes
792,993009,BALF.L,2004-10-05,2004-10-04, Balfour Beatty;,Balfour Beatty wins US contracts NEWS DIGEST:, US;,US,2023-03-29 17:57:17.655651,Yes
793,1036802,BALF.L,2005-07-19,2005-07-18, Balfour Beatty;,Balfour Beatty admits safety breaches HATFIELD RAIL CRASH, Criminal Court; Health and Safety;,Criminal Court Health and Safety,2023-03-29 17:57:24.186305,No
794,1040610,BALF.L,2005-08-15,2005-08-14, Balfour Beatty;,UK: Balfour Beatty order book likely to show healthy gains COMPANIES DIARY, PFI; UK;,PFI UK,2023-03-29 17:57:30.456922,No
795,1040995,BALF.L,2005-08-18,2005-08-17, Balfour Beatty;,Utilities help to build order book at Balfour Beatty CONSTRUCTION, UK; JCM;,UK JCM,2023-03-29 17:57:36.571471,No
796,1053691,BALF.L,2005-11-11,2005-11-10, Balfour Beatty;,And finally . . . Balfour Beatty, Barclays Capital.;,Barclays Capital,2023-03-29 17:57:49.616769,Yes
797,1071569,BALF.L,2006-03-09,2006-03-08, Balfour Beatty;,Balfour Beatty puts Pounds 289m value on UK PFI assets CONSTRUCTION, US; UK;,US UK,2023-03-29 17:58:07.027047,Yes
798,1081274,BALF.L,2006-05-12,2006-05-11, Balfour Beatty;,New contracts lift Balfour Beatty NEWS DIGEST, US; Olympic Delivery Authority;,US Olympic Delivery Authority,2023-03-29 17:58:13.394469,No
799,1084351,BALF.L,2006-06-01,2006-05-31, Balfour Beatty;,Industry figures for Balfour Beatty PEOPLE, British Aerospace; US;,British Aerospace US,2023-03-29 17:58:19.694278,No
800,1088764,BALF.L,2006-06-30,2006-06-29, Balfour Beatty;,Balfour Beatty looksabroad for PFI work CONSTRUCTION, US; Treasury;,US Treasury,2023-03-29 17:58:31.989750,Yes
801,1092181,BALF.L,2006-07-25,2006-07-24, Balfour Beatty;,Balfour Beatty's failures highlighted in Hatfield report, Office of the; Health & Safety Executive; Independent Investigation Board;,Office of the Health Safety Executive Independent Investigation Board,2023-03-29 17:58:38.351652,No
