,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
827,711724,BARC.L,2000-09-20,2000-09-19, Barclays;,"COMPANIES & FINANCE: UK: Barrett sees plenty of upside after a year in the hot
seat: Barclays chief executive remains undaunted by the once-mighty bank's
underperforming share price, writes John Willman:", UK; Bank of Montreal; FTSE All-Share; Barclays; Commerzbank Securities; Barclays Capital; Barclays Global Investors; BGI;,UK Bank of Montreal FTSE All Share Barclays Commerzbank Securities Barclays Capital Barclays Global Investors BGI,2023-03-29 18:04:07.993227,No
828,714154,BARC.L,2000-10-03,2000-10-02, Barclays;,SHORTS: Close and Barclays defy convention, Barclays; Close Brothers; Barclays Capital;,Barclays Close Brothers Barclays Capital,2023-03-29 18:04:14.315021,No
829,716324,BARC.L,2000-10-13,2000-10-12, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:04:20.610163,No
830,721714,BARC.L,2000-11-08,2000-11-07, Barclays;,"FRONT PAGE - COMPANIES & MARKETS: Ex-Barclays chief recovers to take post at
Hawaii bank", US; Barclays Bank; Bank of Hawaii; Barclays; Bank of America; Barclays.; Pacific Century Financial Corporation;,US Barclays Bank Bank of Hawaii Barclays Bank of America Barclays Pacific Century Financial Corporation,2023-03-29 18:04:32.124136,Yes
831,721550,BARC.L,2000-11-08,2000-11-07, Barclays Bank;,SHORTS: Ex-Barclays chief joins Hawaii bank, US; Barclays Bank; Bank of Hawaii;,US Barclays Bank Bank of Hawaii,2023-03-29 18:04:43.423083,Yes
832,724717,BARC.L,2000-11-22,2000-11-21, Barclays;,NATIONAL NEWS: Court backs Barclays' use of pension fund, Barclays Bank; High Court; Barclays;,Barclays Bank High Court Barclays,2023-03-29 18:04:49.462160,No
833,729894,BARC.L,2000-12-18,2000-12-17, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays; Credit Suisse First Boston;,Barclays Capital Barclays Credit Suisse First Boston,2023-03-29 18:04:55.491568,No
834,733760,BARC.L,2001-01-12,2001-01-11, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays; Capital Markets Group; Credit Suisse First Boston;,Barclays Capital Barclays Capital Markets Group Credit Suisse First Boston,2023-03-29 18:05:01.680122,No
835,734540,BARC.L,2001-01-17,2001-01-16, Barclays;,"COMPANIES & FINANCE UK: Barclays and L&G unveil alliance BANKS FINANCIAL GROUPS
SCOTCH TALE OF OUTRIGHT MERGER AS THEY DETAIL PLANS FOR BANCASSURANCE STRATEGY:", Barclays and Legal; Lloyds TSB; Royal Bank of Scotland; Barclays; National Westminster Bank -; Bank;,Barclays and Legal Lloyds TSB Royal Bank of Scotland Barclays National Westminster Bank Bank,2023-03-29 18:05:13.059010,Yes
836,735902,BARC.L,2001-01-23,2001-01-22, Barclays;,COMPANIES & FINANCE THE AMERICAS: Bear Stearns official leaves for Barclays, Bear Stearns; US; Barclays.; Barclays; Manhattan Investment Fund; Deloitte & Touche; Securities and Exchange Commission; Touche and Fund Administrations Services;,Bear Stearns US Barclays Barclays Manhattan Investment Fund Deloitte Touche Securities and Exchange Commission Touche and Fund Administrations Services,2023-03-29 18:05:24.585127,Yes
837,736238,BARC.L,2001-01-25,2001-01-24, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays; Lend Lease Corporation;,Barclays Capital Barclays Lend Lease Corporation,2023-03-29 18:05:30.638949,No
838,736699,BARC.L,2001-01-26,2001-01-25, Barclays;,PEOPLE: MOVING PLACES Barclays Capital, Barclays Capital; Barclays; Touche Corporate Finance;,Barclays Capital Barclays Touche Corporate Finance,2023-03-29 18:05:36.700517,No
839,738308,BARC.L,2001-02-05,2001-02-04, Barclays;,"MARKETS WEEK FEBRUARY 5 - FEBRUARY 11: Barclays starts the banks while BT
investors fret COMPANIES DIARY EDITED BY MARTIN BRICE:", British Telecommunications; Shell; Transport & Trading; UK; City Centre; Kleinwort; BOC; BWD Securities; Charterhouse Securities; FDA; US; Barclays;,British Telecommunications Shell Transport Trading UK City Centre Kleinwort BOC BWD Securities Charterhouse Securities FDA US Barclays,2023-03-29 18:05:48.452098,Yes
840,738969,BARC.L,2001-02-07,2001-02-06, Barclays;,NATIONAL NEWS: Barclays cuts links with Huntingdon Life Sciences, Huntingdon Life Sciences; Barclays; HLS; Credit Suisse First Boston; Merrill Lynch; US;,Huntingdon Life Sciences Barclays HLS Credit Suisse First Boston Merrill Lynch US,2023-03-29 18:05:59.919342,Yes
841,739556,BARC.L,2001-02-09,2001-02-08, Barclays;,FRONT PAGE - COMPANIES & MARKETS: Barclays to revamp wealthy client unit, Lloyds TSB; Barclays;,Lloyds TSB Barclays,2023-03-29 18:06:11.651394,Yes
842,739634,BARC.L,2001-02-09,2001-02-08, Barclays;,STOCK MARKETS LONDON STOCK EXCHANGE: Investors back Barclays, Barclays; Equitable Life; GE Capital; BT Wireless; Charterhouse Securities; Cable & Wireless Optus; Goldman Sachs; Allied Domecq; Deutsche Bank; Allied; Merrill Lynch; Bookham Technology; Imperial Chemical Industries; Shell; Lehman Brothers;,Barclays Equitable Life GE Capital BT Wireless Charterhouse Securities Cable Wireless Optus Goldman Sachs Allied Domecq Deutsche Bank Allied Merrill Lynch Bookham Technology Imperial Chemical Industries Shell Lehman Brothers,2023-03-29 18:06:23.362483,Yes
843,739906,BARC.L,2001-02-12,2001-02-11, Barclays;,PEOPLE: Moving Places Barclays Capital, Barclays Capital; Barclays; Triton Partners;,Barclays Capital Barclays Triton Partners,2023-03-29 18:06:29.418373,No
844,740654,BARC.L,2001-02-14,2001-02-13, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:06:40.877331,Yes
845,742272,BARC.L,2001-02-22,2001-02-21, Barclays;,"FRONT PAGE - COMPANIES & MARKETS: CSFB fends off Barclays bid to lure senior
staff"," Credit Suisse First Boston; Barclays; Barclays.; CSFB; Barclays'; US; Donaldson, Lufkin and Jenrette; Thomson Financial Securities Data;",Credit Suisse First Boston Barclays Barclays CSFB Barclays US Donaldson Lufkin and Jenrette Thomson Financial Securities Data,2023-03-29 18:06:52.963541,Yes
846,742887,BARC.L,2001-02-26,2001-02-25, Barclays;,INTERNATIONAL PEOPLE: FT Global 500 moves Barclays Capital, Barclays Capital; Barclays; Royal Bank; US; Credit Lyonnais Securities;,Barclays Capital Barclays Royal Bank US Credit Lyonnais Securities,2023-03-29 18:06:59.321088,No
847,745041,BARC.L,2001-03-08,2001-03-07, Barclays;,COMPANIES & FINANCE UK AND IRELAND: Barclays and Abbey disclose executive pay, UK; Lloyds TSB; Harley; Barclays;,UK Lloyds TSB Harley Barclays,2023-03-29 18:07:13.547710,Yes
848,745789,BARC.L,2001-03-12,2001-03-11, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays; Deutsche Bank;,Barclays Capital Barclays Deutsche Bank,2023-03-29 18:07:19.818630,No
849,746251,BARC.L,2001-03-14,2001-03-13, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays; Investment Corporation;,Barclays Capital Barclays Investment Corporation,2023-03-29 18:07:31.856635,Yes
850,748694,BARC.L,2001-03-26,2001-03-25, Barclays;,PEOPLE: Energy team to Barclays Capital PEOPLE, Barclays Capital; Barclays; New York Mercantile Exchange; Hughes; Coastal States Trading; Barclays Capital.;,Barclays Capital Barclays New York Mercantile Exchange Hughes Coastal States Trading Barclays Capital,2023-03-29 18:07:43.448534,Yes
851,750747,BARC.L,2001-04-02,2001-04-01, Barclays;,PEOPLE: Moving places Barclays, Barclays;,Barclays,2023-03-29 18:07:54.811348,Yes
852,751843,BARC.L,2001-04-09,2001-04-08, Barclays;,PEOPLE: Gulliford to market Barclays PEOPLE, Barclays  Simon Gulliford; Barclays; Ashridge Management College;,Barclays Simon Gulliford Barclays Ashridge Management College,2023-03-29 18:08:01.042249,No
853,752042,BARC.L,2001-04-10,2001-04-09, Barclays Bank;,PEOPLE: New York hires for Barclays PEOPLE, Barclays  Barclays Capital; Barclays Bank; Banc of America Securities; Barclays Capital; Deutsche Bank; JP Morgan Securities;,Barclays Barclays Capital Barclays Bank Banc of America Securities Barclays Capital Deutsche Bank JP Morgan Securities,2023-03-29 18:08:13.140698,Yes
854,755343,BARC.L,2001-04-27,2001-04-26, Barclays;,PEOPLE: Moving places Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:08:25.023174,Yes
855,756824,BARC.L,2001-05-04,2001-05-03, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays; UBS Warburg;,Barclays Capital Barclays UBS Warburg,2023-03-29 18:08:31.201094,No
856,757940,BARC.L,2001-05-10,2001-05-09, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays; Barclays Capital's Financial Institutions Group; European; BNP Paribas;,Barclays Capital Barclays Barclays Capital s Financial Institutions Group European BNP Paribas,2023-03-29 18:08:37.453202,No
857,760193,BARC.L,2001-05-21,2001-05-20, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays; J P Morgan Chase;,Barclays Capital Barclays J P Morgan Chase,2023-03-29 18:08:43.764202,No
858,760225,BARC.L,2001-05-21,2001-05-20, Barclays;,Barclays offers poached bankers Dollars 100m, Barclays Capital; Barclays Bank; Deutsche Bank; Deutsche.; Deutsche; Barclays; John Winter; US;,Barclays Capital Barclays Bank Deutsche Bank Deutsche Deutsche Barclays John Winter US,2023-03-29 18:08:50.227717,No
859,760448,BARC.L,2001-05-22,2001-05-21, Barclays;,"Barclays renews onslaught on rich BANKS INTEGRATION OF SERVICES TO LEAD DRIVE
AMONG MASS AFFLUENT:", UK; Barclays; Legal & General; Premier; Merrill Lynch; HSBC; Barclays Stockbrokers operation;,UK Barclays Legal General Premier Merrill Lynch HSBC Barclays Stockbrokers operation,2023-03-29 18:08:56.516120,No
860,762522,BARC.L,2001-06-01,2001-05-31, Barclays;,Barclays in free ATM use deal NEWS DIGEST, Bank of America; Deutsche Bank; Nationwide Building Society; Barclays;,Bank of America Deutsche Bank Nationwide Building Society Barclays,2023-03-29 18:09:02.865523,No
861,763062,BARC.L,2001-06-05,2001-06-04, Barclays;,Barclays in expectation of record quarter, Capital; Global Investor; Morgan Stanley; Lloyds TSB; Pitt Kelton; Barclays Capital; treasury; Barclays'; Barclays;,Capital Global Investor Morgan Stanley Lloyds TSB Pitt Kelton Barclays Capital treasury Barclays Barclays,2023-03-29 18:09:09.297504,No
862,766211,BARC.L,2001-06-19,2001-06-18, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:09:15.571772,No
863,766338,BARC.L,2001-06-19,2001-06-18, Barclays;,Barclays Capital names Mauleon PEOPLE, Barclays Capital; Lehman Brothers; Barclays;,Barclays Capital Lehman Brothers Barclays,2023-03-29 18:09:21.776137,No
864,766607,BARC.L,2001-06-20,2001-06-19, Barclays;,FT Global 500 moves Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:09:27.976365,No
865,767112,BARC.L,2001-06-22,2001-06-21, Barclays;,Barclays gives Pounds 80m to SMEs SMALL BUSINESS:, Wales; Easyjet; Barclays; Wales Pounds; European Investment Bank; European Investment Fund; European Regional Development Fund; Department of Trade and Industry;,Wales Easyjet Barclays Wales Pounds European Investment Bank European Investment Fund European Regional Development Fund Department of Trade and Industry,2023-03-29 18:09:34.336969,No
866,767973,BARC.L,2001-06-27,2001-06-26, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays; Morgan Stanley Dean Witter;,Barclays Capital Barclays Morgan Stanley Dean Witter,2023-03-29 18:09:40.634162,No
867,768210,BARC.L,2001-06-28,2001-06-27, Barclays;,Barclays fails to repair collapse in trust, Barclays; MORI; Lloyds TSB;,Barclays MORI Lloyds TSB,2023-03-29 18:09:52.271925,Yes
868,774898,BARC.L,2001-07-31,2001-07-30, Barclays;,FT Global 500 Barclays Capital, Barclays Capital; Barclays; BNP Paribas; Moody's Investors Service;,Barclays Capital Barclays BNP Paribas Moody s Investors Service,2023-03-29 18:10:04.047448,Yes
869,775255,BARC.L,2001-08-02,2001-08-01, Barclays;,Moving places Barclays Capital, Barclays Capital; Barclays;,Barclays Capital Barclays,2023-03-29 18:10:16.027678,Yes
870,775611,BARC.L,2001-08-03,2001-08-02, Barclays;,Barclays raises bad debt provisions, Barclays;,Barclays,2023-03-29 18:10:28.720864,Yes
871,775720,BARC.L,2001-08-03,2001-08-02, Barclays;,Barclays rules out buying investment bank, UK; Barclays Capital; Royal Bank; Barclays;,UK Barclays Capital Royal Bank Barclays,2023-03-29 18:10:35.034095,No
