,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
1901,715486,BLT.L,2000-10-10,2000-10-09, BHP;,PEOPLE: In the FT Global 500 BHP, Lynch; BHP Minerals;,Lynch BHP Minerals,2023-03-29 21:42:30.782742,No
1902,725886,BLT.L,2000-11-28,2000-11-27, BHP;,COMMODITIES & AGRICULTURE: BHP backs Escondida copper expansion, BHP; BHP Copper; 57.5; Mitsubishi Corporation; Mitsubishi Materials Corporation; Nippon Mining and Metals Company; International Finance Corporation;,BHP BHP Copper Mitsubishi Corporation Mitsubishi Materials Corporation Nippon Mining and Metals Company International Finance Corporation,2023-03-29 21:42:42.556014,Yes
1903,729647,BLT.L,2000-12-15,2000-12-14, BHP;,SHORTS: BHP opts to keep iron plant open, BHP;,BHP,2023-03-29 21:42:54.225461,Yes
1904,739612,BLT.L,2001-02-09,2001-02-08, BHP;,COMPANIES & FINANCE ASIA-PACIFIC: BHP considers buying back up to 5% of shares, US; BHP; HBI;,US BHP HBI,2023-03-29 21:43:00.299347,No
1905,740270,BLT.L,2001-02-13,2001-02-12, BHP;,"COMPANIES & FINANCE THE AMERICAS: BHP bid values iron ore group at Dollars
1.66bn", BHP; Cartier Mining; Mitsui; CVRD; Salomon Smith Barney;,BHP Cartier Mining Mitsui CVRD Salomon Smith Barney,2023-03-29 21:43:06.440674,No
1906,740768,BLT.L,2001-02-14,2001-02-13, BHP;,INTERNATIONAL PEOPLE: FT Global 500 moves BHP, BHP; BHP Steel;,BHP BHP Steel,2023-03-29 21:43:18.599890,Yes
1907,741953,BLT.L,2001-02-21,2001-02-20, BHP;,LEX COLUMN: BHP/Caemi/Mitsui LEX COLUMN, Mitsui; BHP;,Mitsui BHP,2023-03-29 21:43:30.998925,Yes
1908,747519,BLT.L,2001-03-19,2001-03-18, BHP;,"COMPANIES & FINANCE BHP/BILLITON MERGER: BHP chases global aspirations: Mining
merger highlights need of smaller companies to diversify and list on the major
stock markets, write Virginia Marsh, Stephen Wyatt andJuliana Ratner:", BHP; Australian Stock Exchange; Royal Dutch/Shell; WMC; Merrill Lynch;,BHP Australian Stock Exchange Royal Dutch Shell WMC Merrill Lynch,2023-03-29 21:43:43.075471,Yes
1909,747421,BLT.L,2001-03-19,2001-03-18, Billiton;,COMPANIES & FINANCE BHP/BILLITON MERGER: AngloAmerican weighing up merger impact, Remgro; US; HSBC; De Beers; Merrill Lynch;,Remgro US HSBC De Beers Merrill Lynch,2023-03-29 21:43:55.159076,Yes
1910,747771,BLT.L,2001-03-20,2001-03-19, BHP;,"COMPANIES & FINANCE BHP/BILLITON MERGER: 'Merger of equals' begins to show its
true colours: Strong response of Billiton's share price suggests a reverse
takeover by the UK group, write Virginia Marsh and:", BHP; UK; De Beers; Goodyear;,BHP UK De Beers Goodyear,2023-03-29 21:44:07.176342,Yes
1911,747771,BLT.L,2001-03-20,2001-03-19, BHP;,"COMPANIES & FINANCE BHP/BILLITON MERGER: 'Merger of equals' begins to show its
true colours: Strong response of Billiton's share price suggests a reverse
takeover by the UK group, write Virginia Marsh and:", BHP; UK; De Beers; Goodyear;,BHP UK De Beers Goodyear,2023-03-29 21:44:19.119641,Yes
