,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
2474,723193,BOC.L^I06,2000-11-15,2000-11-14, BOC;,"COMPANIES & FINANCE UK: BOC gets into trim as battle scars begin to heal:
Charles Batchelor finds the industrial gases group full of energy although
pressures from investors remain to the forefront:", Air Liquide; Air Products; US -; Federal Trade Commission; US; Lord Weinstock; Commission; GPT; BOC;,Air Liquide Air Products US Federal Trade Commission US Lord Weinstock Commission GPT BOC,2023-03-29 23:28:36.095568,No
2475,723365,BOC.L^I06,2000-11-16,2000-11-15, BOC;,SHORTS: BOC boosts profits by 26%, BOC;,BOC,2023-03-29 23:28:47.980716,Yes
2476,738876,BOC.L^I06,2001-02-07,2001-02-06, BOC;,SHORTS: BOC warns of slowing demand, BOC;,BOC,2023-03-29 23:29:00.157742,Yes
2477,776869,BOC.L^I06,2001-08-09,2001-08-08, BOC;,BOC hits profits target COMPANIES REPORT, BOC; US; House; Deutsche Bank; Credit; Bayer; US Food and Drug Administration; SG Securities; Bookham Technology; Innovation Group; Huon Group; Colt Telecom; Merrill Lynch; Morgan Stanley; Morgan Stanley Dean Witter; HSBC Securities; First; Choice Holidays; Choice;,BOC US House Deutsche Bank Credit Bayer US Food and Drug Administration SG Securities Bookham Technology Innovation Group Huon Group Colt Telecom Merrill Lynch Morgan Stanley Morgan Stanley Dean Witter HSBC Securities First Choice Holidays Choice,2023-03-29 23:29:06.519826,No
2478,787792,BOC.L^I06,2001-10-05,2001-10-04, BOC;,Margetts to chair BOC PEOPLE, Legal & General Group; UK; US group Air Products; US Federal Trade Commission; ICI; Legal; Huntsman Corporation; US; BOC;,Legal General Group UK US group Air Products US Federal Trade Commission ICI Legal Huntsman Corporation US BOC,2023-03-29 23:29:12.645556,No
2479,789905,BOC.L^I06,2001-10-17,2001-10-16, BOC;,Smiths sells units to BOC NEWS DIGEST, TI Group; BOC; BOC Edwards;,TI Group BOC BOC Edwards,2023-03-29 23:29:18.714102,No
2480,795892,BOC.L^I06,2001-11-15,2001-11-14, BOC;,"Cost-cutting helps BOC advance 8% CHEMICALS MEASURES HELP SOFTEN IMPACT OF
PREDICTED DECLINE IN SEMICONDUCTOR ORDERS:", Air Products; BOC; BOC Edwards;,Air Products BOC BOC Edwards,2023-03-29 23:29:30.019291,Yes
2481,810865,BOC.L^I06,2002-02-06,2002-02-05, BOC;,Chips are down but BOC lines up acquisitions, BOC; BOC Edwards; Seiko Instruments; Deutsche Bank;,BOC BOC Edwards Seiko Instruments Deutsche Bank,2023-03-29 23:29:36.025327,No
2482,829940,BOC.L^I06,2002-05-16,2002-05-15, BOC;,"Chip sales start to show signs of life, says BOC CHEMICALS GROUP REMAINS
CAUTIOUS:", BOC Edwards; BOC;,BOC Edwards BOC,2023-03-29 23:29:42.023934,No
2483,830140,BOC.L^I06,2002-05-17,2002-05-16, BOC;,BOC announces Thai buy NEWS DIGEST, Thai; BOC;,Thai BOC,2023-03-29 23:29:47.986998,No
2484,833514,BOC.L^I06,2002-06-06,2002-06-05, BOC;,BOC to acquire Enron assets NEWS DIGEST, Enron; BOC; UK; US; Enron Teesside Operations Limited; 42.5;,Enron BOC UK US Enron Teesside Operations Limited,2023-03-29 23:29:54.006398,No
2485,845372,BOC.L^I06,2002-08-07,2002-08-06, BOC;,BOC cautions on recovery hopes, BOC;,BOC,2023-03-29 23:30:05.581834,Yes
2486,845421,BOC.L^I06,2002-08-07,2002-08-06, BOC;,BOC LEX COLUMN, BOC Edwards; BOC;,BOC Edwards BOC,2023-03-29 23:30:17.265078,Yes
2487,845433,BOC.L^I06,2002-08-07,2002-08-06, BOC;,BOC cautious on recovery expectations, BOC Edwards; BOC;,BOC Edwards BOC,2023-03-29 23:30:28.837441,Yes
2488,861435,BOC.L^I06,2002-10-31,2002-10-30, BOC;,BOC is held back in rally, BOC; Air Liquide; US; ICI; Morgan Stanley; Deutsche Bank; Goldman Sachs; Merrill Lynch; BP; US Food and Drug Administration; Glaxo; UK; BT Group; BAT; VAT; Customs; Salomon Smith Barney; UBS Warburg;,BOC Air Liquide US ICI Morgan Stanley Deutsche Bank Goldman Sachs Merrill Lynch BP US Food and Drug Administration Glaxo UK BT Group BAT VAT Customs Salomon Smith Barney UBS Warburg,2023-03-29 23:30:35.042254,No
2489,870774,BOC.L^I06,2002-12-16,2002-12-15, BOC;,BOC chief's pay ignites despite dimming profits, Air Liquide; Air Products; BOC; BOC Edwards;,Air Liquide Air Products BOC BOC Edwards,2023-03-29 23:30:41.121064,No
2490,873477,BOC.L^I06,2003-01-06,2003-01-05, BOC;,NAPF criticises BOC non-execs NEWS DIGEST, National Association of; NAPF; JP Morgan; US; BOC;,National Association of NAPF JP Morgan US BOC,2023-03-29 23:30:47.213804,No
2491,876986,BOC.L^I06,2003-01-23,2003-01-22, BOC;,BOC may sell equity stakes to foreign investors, Pudong Development Bank; Bank of; US; Newbridge Capital; Shenzhen Development Bank; Financial Times; Standard Chartered Bank; BOC; Asset Management Companies;,Pudong Development Bank Bank of US Newbridge Capital Shenzhen Development Bank Financial Times Standard Chartered Bank BOC Asset Management Companies,2023-03-29 23:30:53.400274,No
2492,877851,BOC.L^I06,2003-01-28,2003-01-27, BOC;,Research note has BOC on the defensive, BOC; US; HSBC; Financial Times;,BOC US HSBC Financial Times,2023-03-29 23:30:59.410005,No
2493,879419,BOC.L^I06,2003-02-05,2003-02-04, BOC;,BOC shares fall as pension costs take toll, BOC; Group;,BOC Group,2023-03-29 23:31:05.394902,No
2494,898711,BOC.L^I06,2003-05-16,2003-05-15, BOC;,Software problems hit BOC's US operations, UK; US; ICI; BOC; Trade Securities; Special Products; Air Products;,UK US ICI BOC Trade Securities Special Products Air Products,2023-03-29 23:31:11.498505,No
2495,913789,BOC.L^I06,2003-08-06,2003-08-05, BOC;,UK: BOC PHILIP COGGAN LOMBARD, BOC; US; Deutsche Bank; Air Products;,BOC US Deutsche Bank Air Products,2023-03-29 23:31:22.903419,Yes
2496,913795,BOC.L^I06,2003-08-06,2003-08-05, BOC;,Tough conditions continue to affect BOC CHEMICALS:, UK; US; BOC;,UK US BOC,2023-03-29 23:31:33.892379,Yes
2497,930247,BOC.L^I06,2003-10-30,2003-10-29, BOC;,BOC shares plummet, BOC; US;,BOC US,2023-03-29 23:31:45.326139,Yes
2498,930307,BOC.L^I06,2003-10-30,2003-10-29, BOC;,"US court ruling hits BOC shares: Jury in Illinois finds link between welding-rod
fumes and Parkinson's disease: * UK gases group confident of winning case on
appeal", BOC; US; Lincoln Electric; Hobart Brothers; Deutsche Bank;,BOC US Lincoln Electric Hobart Brothers Deutsche Bank,2023-03-29 23:31:56.353334,Yes
2499,930412,BOC.L^I06,2003-10-30,2003-10-29, BOC;,BOC's legal wrangles tip Footsie into the red LONDON:, BOC; US; Lehman Brothers; SG Securities; Goldman Sachs; Credit Suisse Indosuez Cheuvreux; Merrill Lynch; Jarvis Hotels; Millennium; Bank of England; Paragon;,BOC US Lehman Brothers SG Securities Goldman Sachs Credit Suisse Indosuez Cheuvreux Merrill Lynch Jarvis Hotels Millennium Bank of England Paragon,2023-03-29 23:32:02.474222,No
2500,934320,BOC.L^I06,2003-11-18,2003-11-17, BOC;,BOC unit to sell Afrox Healthcare holding BLACK ECONOMIC EMPOWERMENT:, UK-based; BOC Group; BEE; Brimstone Investment Corporation and Mvelaphanda Strategic Investments; MediClinic Corporation; BOC; Trade Securities;,UK based BOC Group BEE Brimstone Investment Corporation and Mvelaphanda Strategic Investments MediClinic Corporation BOC Trade Securities,2023-03-29 23:32:08.686865,No
2501,946960,BOC.L^I06,2004-01-28,2004-01-27, BOC;,UK & IRELAND: BOC sells US packaged gases arm NEWS DIGEST, US; BOC;,US BOC,2023-03-29 23:32:14.753386,No
2502,957930,BOC.L^I06,2004-03-23,2004-03-22, BOC;,Loan demand to drive BOC HK, Bank; BNP Paribas Peregrine; BOC; 4.09;,Bank BNP Paribas Peregrine BOC,2023-03-29 23:32:20.853332,No
2503,960616,BOC.L^I06,2004-04-06,2004-04-05, BOC Group;,BOC staff win curbs on animal rights activists, BOC Group; High Court; Huntingdon Life Sciences; Animal Rights Militia; Animal Liberation Fronts; City; National Association of;,BOC Group High Court Huntingdon Life Sciences Animal Rights Militia Animal Liberation Fronts City National Association of,2023-03-29 23:32:27.003323,No
2504,967861,BOC.L^I06,2004-05-14,2004-05-13, BOC;,Asbestos pay-out clouds BOC advance CHEMICALS:, BOC Group; US; BOC; Deutsche Bank;,BOC Group US BOC Deutsche Bank,2023-03-29 23:32:33.009328,No
2505,974558,BOC.L^I06,2004-06-18,2004-06-17, BOC;,"BOC lies in safe pair of hands: Tony Isaac has been steering the group since the
turmoil of a blocked cash bid MAGGIE URRY - ONE TO ONE", US; BOC; Air Products;,US BOC Air Products,2023-03-29 23:32:39.012529,No
2506,983341,BOC.L^I06,2004-08-04,2004-08-03, BOC;,Hydrogen contract lifts BOC hopes CHEMICALS:, Petroleum Corporation; BP; Toledo; BOC; Air Products; Air Liquide; US;,Petroleum Corporation BP Toledo BOC Air Products Air Liquide US,2023-03-29 23:32:45.103360,No
2507,985107,BOC.L^I06,2004-08-13,2004-08-12, BOC;,BOC resolves one legal headache NEWS DIGEST, US; BOC;,US BOC,2023-03-29 23:32:51.150948,No
2508,1000452,BOC.L^I06,2004-11-19,2004-11-18, BOC;,BOC chief plays down Linde merger rumours, BOC;,BOC,2023-03-29 23:33:02.539283,Yes
2509,1002519,BOC.L^I06,2004-12-02,2004-12-01, BOC;,Animal rights activists claim victory in BOC move," BOC; Huntingdon Life Sciences; Animal Rights Militia; Animal Liberation Front; HLS; US; Lawson-Cruttenden & Co,; High Court;",BOC Huntingdon Life Sciences Animal Rights Militia Animal Liberation Front HLS US Lawson Cruttenden Co High Court,2023-03-29 23:33:08.653334,No
2510,1011104,BOC.L^I06,2005-02-02,2005-02-01, BOC;,Lower dollar fails to slow BOC advance CHEMICALS:, BOC; US;,BOC US,2023-03-29 23:33:19.845357,Yes
2511,1015307,BOC.L^I06,2005-02-28,2005-02-27, BOC Group;,And finally... BOC Group, BOC Group;,BOC Group,2023-03-29 23:33:25.846622,No
2512,1015307,BOC.L^I06,2005-02-28,2005-02-27, BOC Group;,And finally... BOC Group, BOC Group;,BOC Group,2023-03-29 23:33:31.892266,No
2513,1026154,BOC.L^I06,2005-05-09,2005-05-08, BOC;,"BOC's gas man pilots organic growth 'Temporary' chief Tony Isaac had to steer
the group through the collapse of a Pounds 7.4bn takeover bid five years ago. He
tells Lydia Adetunji why he is still there", BOC; Air Products; US;,BOC Air Products US,2023-03-29 23:33:37.941478,No
2514,1031742,BOC.L^I06,2005-06-15,2005-06-14, BOC;,Fresh speculation links BOC to purchase of German gas operation LONDON, BOC; UK; Cable & Wireless; Panmure Gordon; Credit Suisse First Boston; Lloyds TSB; Merrill Lynch; US; American Heart Association; Royal & Sun Alliance; Royal Institution; Westbury; First Choice Holiday;,BOC UK Cable Wireless Panmure Gordon Credit Suisse First Boston Lloyds TSB Merrill Lynch US American Heart Association Royal Sun Alliance Royal Institution Westbury First Choice Holiday,2023-03-29 23:33:44.113532,No
2515,1039147,BOC.L^I06,2005-08-03,2005-08-02, BOC;,UK: South African sale takes the fizz out of BOC CHEMICALS, US Sarbanes-Oxley; BOC;,US Sarbanes Oxley BOC,2023-03-29 23:33:55.273722,Yes
2516,1054956,BOC.L^I06,2005-11-18,2005-11-17, BOC;,Gases and logistics power BOC, BOC Group; BOC;,BOC Group BOC,2023-03-29 23:34:06.544690,Yes
2517,1064686,BOC.L^I06,2006-01-25,2006-01-24, BOC;,BOC/Linde LEX COLUMN:, BOC Group; BOC; Air Liquide;,BOC Group BOC Air Liquide,2023-03-29 23:34:18.411230,Yes
2518,1064688,BOC.L^I06,2006-01-25,2006-01-24, BOC;,"BOC rejects Pounds 7.6bn Linde offer *German group seek cash deal for gases
rival *UK target sees its shares increase 21 per cent", UK; BOC; Deutsche Post; US; Morgan Stanley; Deutsche Bank;,UK BOC Deutsche Post US Morgan Stanley Deutsche Bank,2023-03-29 23:34:29.910618,Yes
2519,1064691,BOC.L^I06,2006-01-25,2006-01-24, BOC;,BOC: when a recommendation was not enough ALISON SMITH LOMBARD, Air Product; US; BOC; Legal; Bank; Competition Commission; HMV;,Air Product US BOC Legal Bank Competition Commission HMV,2023-03-29 23:34:41.039678,Yes
2520,1064694,BOC.L^I06,2006-01-25,2006-01-24, BOC;,"Linde stirs up a storm in the world of gases Lisa Urquhart and Richard Milne
examine the logic of the bid for BOC that has little to do with cost-cutting and
everything to do with geography and few conflicting operations", BOC; Air Liquide; Air Products; US;,BOC Air Liquide Air Products US,2023-03-29 23:34:52.514178,Yes
2521,1064921,BOC.L^I06,2006-01-26,2006-01-25, BOC;,"Deutsche Bank quits BOC role *Move follows concern over possible conflict of
interest *Linde seeks to reassure target of rejected Pounds 7.6bn takeover
approach", Deutsche Bank; BOC Group; Deutsche; Safeway; UK; Kohlberg Kravis & Roberts; US; KKR; BOC; Morgan Stanley;,Deutsche Bank BOC Group Deutsche Safeway UK Kohlberg Kravis Roberts US KKR BOC Morgan Stanley,2023-03-29 23:34:58.603430,No
2522,1065172,BOC.L^I06,2006-01-27,2006-01-26, BOC;,BOC chief defends rebuff of Linde CHEMICALS, BOC; Air Products; Air Liquide; US;,BOC Air Products Air Liquide US,2023-03-29 23:35:09.920261,Yes
2523,1065571,BOC.L^I06,2006-01-31,2006-01-30, BOC;,Merrill takes up BOC cudgels NEWS DIGEST, Merrill Lynch; UK; BOC; Merrill; Deutsche Bank;,Merrill Lynch UK BOC Merrill Deutsche Bank,2023-03-29 23:35:15.925371,No
2524,1066064,BOC.L^I06,2006-02-02,2006-02-01, BOC;,Linde seeking to reassure BOC on bid, Apax Partners; BOC; European Commission; Air Liquide; Air Products; Commission;,Apax Partners BOC European Commission Air Liquide Air Products Commission,2023-03-29 23:35:22.065263,No
2525,1066880,BOC.L^I06,2006-02-07,2006-02-06, BOC;,Linde fears on BOC bid GAS, UK; BOC; Deutsche Bank; Air Products; US;,UK BOC Deutsche Bank Air Products US,2023-03-29 23:35:28.064426,No
2526,1067312,BOC.L^I06,2006-02-09,2006-02-08, BOC;,Upbeat BOC confident of growth after 'solid results' CHEMICALS, UK; BOC; US; Air Products; Air Liquide;,UK BOC US Air Products Air Liquide,2023-03-29 23:35:34.065708,No
2527,1070833,BOC.L^I06,2006-03-06,2006-03-05, BOC;,Linde to confirm Pounds 8bn deal for BOC, BOC; Financial Times; Air Liquide; Deutsche Bank; Morgan Stanley; Royal Bank;,BOC Financial Times Air Liquide Deutsche Bank Morgan Stanley Royal Bank,2023-03-29 23:35:45.353128,Yes
2528,1071129,BOC.L^I06,2006-03-07,2006-03-06, BOC;,BOC/Linde THE LEX COLUMN, BOC;,BOC,2023-03-29 23:35:58.973743,Yes
2529,1071133,BOC.L^I06,2006-03-07,2006-03-06, BOC;,"Linde plans sweeping overhaul *Pounds 8bn BOC deal seen as catalyst for change
at German gases group *Reitzle says inspiration came from private equity
'locusts'", BOC; BMW; Financial Times;,BOC BMW Financial Times,2023-03-29 23:36:10.029542,Yes
2530,1071160,BOC.L^I06,2006-03-07,2006-03-06, BOC;,Linde's BOC deal lifts equities EUROPE, BOC Group; UK; BOC; FTSE Eurofirst; US; BellSouth; Telecom Italia; Deutsche Telekom; France Telecom; European Commission;,BOC Group UK BOC FTSE Eurofirst US BellSouth Telecom Italia Deutsche Telekom France Telecom European Commission,2023-03-29 23:36:16.120359,No
2531,1078084,BOC.L^I06,2006-04-20,2006-04-19, BOC;,Linde seeks advice on BOC integration NEWS DIGEST, BOC;,BOC,2023-03-29 23:36:22.149427,No
2532,1081311,BOC.L^I06,2006-05-12,2006-05-11, BOC;,BOC declares business as usual NEWS DIGEST, BOC;,BOC,2023-03-29 23:36:34.153134,Yes
2533,1085291,BOC.L^I06,2006-06-07,2006-06-06, BOC;,Linde cleared by Brussels to acquire BOC INDUSTRIAL GASES, BOC; European Commission; US; UK; FTC; Commission;,BOC European Commission US UK FTC Commission,2023-03-29 23:36:40.195133,No
2534,1093607,BOC.L^I06,2006-08-03,2006-08-02, BOC;,BOC chief goes out on a high TRADING ROUND-UP, BOC;,BOC,2023-03-29 23:36:46.213333,No
