,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5191,760363,CCL.L,2001-05-22,2001-05-21, Carnival Corporation;,Carnival to sell Airtours stake, Airtours; US; Carnival Corporation;,Airtours US Carnival Corporation,2023-03-30 16:42:12.580863,No
5192,802321,CCL.L,2001-12-17,2001-12-16, Carnival;,Carnival prepares Pounds 3bn bid for P&O Princess, Carnival Corporation; Royal Caribbean Cruises; 456p; Cruises; American; Carnival; Royal Caribbean; Celebrity;,Carnival Corporation Royal Caribbean Cruises p Cruises American Carnival Royal Caribbean Celebrity,2023-03-30 16:42:18.880773,No
5193,802263,CCL.L,2001-12-17,2001-12-16, Carnival Corporation;,Carnival ready to bid Pounds 3bn for P&O Princess to sink merger, Carnival Corporation; Royal Caribbean Cruises;,Carnival Corporation Royal Caribbean Cruises,2023-03-30 16:42:31.303548,Yes
5194,802887,CCL.L,2001-12-18,2001-12-17, Carnival;,"Suitor's wooing is unlikely to be a cruise: TRANSPORT US OPERATOR TRIES TO
DERAIL P&O PRINCESS AND ROYAL CARIBBEAN MERGER PLAN: Charles Batchelor and Lina
Saigol consider the wider implications of Carnival's efforts to lure the UK
group:", Carnival Corporation; Holland America Line; P&O; Royal Caribbean Cruises; US; US Federal Trade Commission; Royal Caribbean; Carnival; FTC; JP Morgan and Bank of America;,Carnival Corporation Holland America Line P O Royal Caribbean Cruises US US Federal Trade Commission Royal Caribbean Carnival FTC JP Morgan and Bank of America,2023-03-30 16:42:43.247045,Yes
5195,802947,CCL.L,2001-12-18,2001-12-17, Carnival;,"Suitor's wooing is unlikely to be a cruise: TRANSPORT US OPERATOR TRIES TO
DERAIL P&O AND CARIBBEAN MERGER PLAN: Charles Batchelor and Lina Saigol consider
the wider implications of Carnival's efforts to lure the UK group:", Carnival Corporation; Holland America Line; P&O; Royal Caribbean Cruises; US; US Federal Trade Commission; FTC; Carnival;,Carnival Corporation Holland America Line P O Royal Caribbean Cruises US US Federal Trade Commission FTC Carnival,2023-03-30 16:42:55.157529,Yes
5196,802619,CCL.L,2001-12-19,2001-12-18, Carnival;,Carnival move to block bid may be foiled TOURISM:, Cruises; Royal Caribbean Cruises; Royal Caribbean; Carnival;,Cruises Royal Caribbean Cruises Royal Caribbean Carnival,2023-03-30 16:43:07.343857,Yes
5197,802984,CCL.L,2001-12-20,2001-12-19, Carnival;,P&O and Carnival sail into acrimony, Carnival;,Carnival,2023-03-30 16:43:19.528445,Yes
5198,803148,CCL.L,2001-12-20,2001-12-19, Carnival;,"P&O and Carnival sail into acrimony TRANSPORT CRUISE OPERATORS ARGUE ABOUT
LEVELS OF CONTACT OVER POSSIBLE MERGER:", Carnival; Royal Caribbean;,Carnival Royal Caribbean,2023-03-30 16:43:31.616453,Yes
5199,805114,CCL.L,2002-01-08,2002-01-07, Carnival;,Carnival/P&O Princess LEX COLUMN, Carnival; Royal Caribbean;,Carnival Royal Caribbean,2023-03-30 16:43:43.303316,Yes
5200,805629,CCL.L,2002-01-10,2002-01-09, Carnival Corporation;,Carnival urges P&O Princess revolt, Carnival Corporation; US; Royal Caribbean Cruises; Royal Caribbean;,Carnival Corporation US Royal Caribbean Cruises Royal Caribbean,2023-03-30 16:43:55.571015,Yes
5201,806428,CCL.L,2002-01-15,2002-01-14, Carnival;,Carnival in job offer to Princess man LEISURE PANEL TOLD OF CONVERSATION:, Carnival; Corporation; Cruises; Royal Caribbean;,Carnival Corporation Cruises Royal Caribbean,2023-03-30 16:44:07.455026,Yes
5202,807171,CCL.L,2002-01-18,2002-01-17, Carnival;,Carnival/P&O Princess LEX COLUMN, Carnival; Royal Caribbean; Royal;,Carnival Royal Caribbean Royal,2023-03-30 16:44:20.663308,Yes
5203,807256,CCL.L,2002-01-18,2002-01-17, Carnival;,Carnival increases hostile offer for P&O, Carnival Corporation; Royal Caribbean Cruises; Royal Caribbean; UK; Carnival;,Carnival Corporation Royal Caribbean Cruises Royal Caribbean UK Carnival,2023-03-30 16:44:27.181647,No
5204,807299,CCL.L,2002-01-18,2002-01-17, Carnival;,Carnival lifts bid for P&O NEWS DIGEST, Carnival Corporation; Royal Caribbean Cruises; Royal Caribbean; UK; Carnival;,Carnival Corporation Royal Caribbean Cruises Royal Caribbean UK Carnival,2023-03-30 16:44:33.821531,No
5205,807100,CCL.L,2002-01-18,2002-01-17, Carnival Corporation;,Carnival increases offer for P&O, Carnival Corporation;,Carnival Corporation,2023-03-30 16:44:45.931631,Yes
5206,807602,CCL.L,2002-01-21,2002-01-20, Carnival;,"P&O to reject Carnival's improved bid UK-BASED CRUISE LINE EXPECTED TO REITERATE
PLANS TO MERGE WITH ROYAL CARIBBEAN AFTER REVISED HOSTILE OFFER FAIL:", Carnival Corporation; Royal Caribbean Cruises; Carnival; Royal Caribbean;,Carnival Corporation Royal Caribbean Cruises Carnival Royal Caribbean,2023-03-30 16:44:52.304802,No
5207,807564,CCL.L,2002-01-21,2002-01-20, Carnival Corporation;,P&O rejects revised Pounds 3.5bn hostile offer from Carnival, Carnival Corporation; Royal Caribbean Cruises;,Carnival Corporation Royal Caribbean Cruises,2023-03-30 16:44:58.633016,No
5208,807756,CCL.L,2002-01-22,2002-01-21, Carnival;,Carnival vows to fight for P&O Princess LEISURE UK GROUP REJECTS HIGHER BID:, Carnival Corporation; Cruises; Carnival; Royal Caribbean; Jupiter Asset Management; UK;,Carnival Corporation Cruises Carnival Royal Caribbean Jupiter Asset Management UK,2023-03-30 16:45:10.951721,Yes
5209,807683,CCL.L,2002-01-22,2002-01-21, Carnival Corporation;,Carnival vows to fight for P&O, Carnival Corporation; Cruises;,Carnival Corporation Cruises,2023-03-30 16:45:22.721554,Yes
5210,808494,CCL.L,2002-01-25,2002-01-24, Carnival;,Carnival admits P&O bid likely to fail, Carnival Corporation; Royal Caribbean; Financial Times; Carnival; Royal; US; FTC; Federal Trade Commission; Merrill Lynch; UBS Warburg;,Carnival Corporation Royal Caribbean Financial Times Carnival Royal US FTC Federal Trade Commission Merrill Lynch UBS Warburg,2023-03-30 16:45:34.905573,Yes
5211,808496,CCL.L,2002-01-25,2002-01-24, Carnival;,Carnival hits out at Royal management, Carnival; Corporation; Royal Caribbean; Royal; Royal.; Royal Caribbean/P&O Princess Cruises;,Carnival Corporation Royal Caribbean Royal Royal Royal Caribbean P O Princess Cruises,2023-03-30 16:45:46.782879,Yes
5212,808421,CCL.L,2002-01-25,2002-01-24, Carnival Corporation;,Carnival downbeat on P&O bid, Carnival Corporation;,Carnival Corporation,2023-03-30 16:45:59.174676,Yes
5213,808981,CCL.L,2002-01-28,2002-01-27, Carnival;,Carnival readying 'improved' offer for P&O, Cruises; Royal Caribbean Cruises; Carnival; US; Royal Caribbean;,Cruises Royal Caribbean Cruises Carnival US Royal Caribbean,2023-03-30 16:46:05.605826,No
5214,809630,CCL.L,2002-01-31,2002-01-30, Carnival;,Carnival/P&O Princess LEX COLUMN, US; Royal Caribbean; UK Takeover Panel;,US Royal Caribbean UK Takeover Panel,2023-03-30 16:46:17.606094,Yes
5215,809554,CCL.L,2002-01-31,2002-01-30, Carnival Corporation;,Carnival cuts P&O bid conditions, Carnival Corporation;,Carnival Corporation,2023-03-30 16:46:23.881075,No
5216,810590,CCL.L,2002-02-05,2002-02-04, Carnival;,Carnival under pressure to lift offer for P&O, Carnival Corporation; Royal Caribbean Cruises; Royal Caribbean; Carnival;,Carnival Corporation Royal Caribbean Cruises Royal Caribbean Carnival,2023-03-30 16:46:35.941235,Yes
5217,811035,CCL.L,2002-02-07,2002-02-06, Carnival;,"Carnival to raise bid for P&O Princess LEISURE ROYAL CARIBBEAN LOSING PATIENCE
IN BATTLE FOR UK CRUISE LINE:", Carnival Corporation; Royal Caribbean Cruises; US; Royal Caribbean; Carnival; Lehman Brothers; Bear Stearns; A-.;,Carnival Corporation Royal Caribbean Cruises US Royal Caribbean Carnival Lehman Brothers Bear Stearns A,2023-03-30 16:46:42.123080,No
5218,811358,CCL.L,2002-02-08,2002-02-07, Carnival;,"Carnival ups the ante with higher P&O bid LEISURE OFFER CONDITIONAL ON
SHAREHOLDERS VOTING FOR ADJOURNMENT OF ROYAL CARIBBEAN MERGER MEETING:", Carnival Corporation; US; Royal Caribbean; Carnival;,Carnival Corporation US Royal Caribbean Carnival,2023-03-30 16:46:54.269663,Yes
5219,812169,CCL.L,2002-02-13,2002-02-12, Carnival;,Carnival suggests plan to satisfy regulators, Carnival Corporation; Royal Caribbean Cruises; US; Royal Caribbean; European Commission; Carnival;,Carnival Corporation Royal Caribbean Cruises US Royal Caribbean European Commission Carnival,2023-03-30 16:47:00.367756,No
