,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5322,744719,CNE.L,2001-03-07,2001-03-06, Cairn Energy;,SHORTS: Cairn pledges to remain independent, Cairn Energy;,Cairn Energy,2023-03-30 17:11:18.951703,Yes
5323,845034,CNE.L,2002-08-05,2002-08-04, Cairn;,"ONGC mulls offer for Cairn's assets OIL & GAS TALKS UNDER WAY WITH INDIAN STATE
COMPANY:", Natural Gas Corporation; Morgan Stanley;,Natural Gas Corporation Morgan Stanley,2023-03-30 17:11:25.287847,No
5324,849790,CNE.L,2002-09-03,2002-09-02, Cairn;,"Cairn Energy plans limited asset sale OIL & GAS COMPANY KEEPS PORTFOLIO UNDER
REVIEW IN ATTEMPT TO MAINTAIN BIAS TOWARDS EXPLORATION:", Natural Gas Corporation; Deutsche Bank; Shell India;,Natural Gas Corporation Deutsche Bank Shell India,2023-03-30 17:11:36.905655,Yes
5325,849790,CNE.L,2002-09-03,2002-09-02, Cairn;,"Cairn Energy plans limited asset sale OIL & GAS COMPANY KEEPS PORTFOLIO UNDER
REVIEW IN ATTEMPT TO MAINTAIN BIAS TOWARDS EXPLORATION:", Natural Gas Corporation; Deutsche Bank; Shell India;,Natural Gas Corporation Deutsche Bank Shell India,2023-03-30 17:11:48.914022,Yes
5326,869541,CNE.L,2002-12-10,2002-12-09, Cairn Energy;,Cairn overhauls structure NEWS DIGEST, New Cairn Energy;,New Cairn Energy,2023-03-30 17:11:55.254865,No
5327,913573,CNE.L,2003-08-05,2003-08-04, Cairn;,Cairn buys Shell's Bangladeshi upstream assets, Energy; Royal Dutch/Shell; Shell; Sangu Development Area; SDA; ABN Amro;,Energy Royal Dutch Shell Shell Sangu Development Area SDA ABN Amro,2023-03-30 17:12:01.368751,No
5328,926504,CNE.L,2003-10-13,2003-10-12, Cairn Energy;,And finally... Cairn Energy, Artemis Investment Management; Filofax Group; Cairn Energy;,Artemis Investment Management Filofax Group Cairn Energy,2023-03-30 17:12:07.679471,No
5329,926504,CNE.L,2003-10-13,2003-10-12, Cairn Energy;,And finally... Cairn Energy, Artemis Investment Management; Filofax Group; Cairn Energy;,Artemis Investment Management Filofax Group Cairn Energy,2023-03-30 17:12:13.796076,No
5330,955412,CNE.L,2004-03-10,2004-03-09, Cairn Energy;,Cairn's oil find lifts peers but blue-chip index falls LONDON:, Cairn Energy; Shell; Paladin Resources; BAE Systems; Deutsche Bank; Siemens; WPP; Volkswagen; GKN; UBS Capital;,Cairn Energy Shell Paladin Resources BAE Systems Deutsche Bank Siemens WPP Volkswagen GKN UBS Capital,2023-03-30 17:12:19.946233,No
5331,955328,CNE.L,2004-03-10,2004-03-09, Cairn;,Cairn Energy LOMBARD, Shell;,Shell,2023-03-30 17:12:33.296580,Yes
5332,955328,CNE.L,2004-03-10,2004-03-09, Cairn;,Cairn Energy LOMBARD, Shell;,Shell,2023-03-30 17:12:46.086129,Yes
5333,963167,CNE.L,2004-04-21,2004-04-20, Cairn;,Cairn eclipses competitors to make third Indian field discovery OIL & GAS:, Energy; Shell.; Merrill Lynch;,Energy Shell Merrill Lynch,2023-03-30 17:12:52.175034,No
5334,1045933,CNE.L,2005-09-21,2005-09-20, Cairn;,Reserves boost makes Cairn look attractive, UK; Cairn;,UK Cairn,2023-03-30 17:12:58.198452,No
