,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5440,772308,COLT.F^K15,2001-07-18,2001-07-17, Colt;,Colt shares hurt by fears of rights issue TELECOMMUNICATIONS:," Colt Telecom; Pounds; Colt; 6,300; Reuters; Bloomberg;",Colt Telecom Pounds Colt Reuters Bloomberg,2023-03-30 17:31:31.684773,No
5441,776110,COLT.F^K15,2001-08-07,2001-08-06, Colt;,Colt Telecom moves to rein in expectations, Colt Telecom; Colt; UK;,Colt Telecom Colt UK,2023-03-30 17:31:43.964860,Yes
5442,781236,COLT.F^K15,2001-09-04,2001-09-03, Colt;,Colt Telecom buys in bonds and cuts debt, Colt Telecom; Fidelity International; Colt; Pounds; US; Covad Communications; XO Communications; SG Securities; Cable & Wireless;,Colt Telecom Fidelity International Colt Pounds US Covad Communications XO Communications SG Securities Cable Wireless,2023-03-30 17:31:50.417658,No
5443,781282,COLT.F^K15,2001-09-04,2001-09-03, Colt;,Buy-back pays off for Colt, Colt Telecom; Bear Stearns; Colt; IT; Telewest Communications; Credit Suisse First Boston; Carlton Communications; Deutsche Bank; Merrill Lynch; Deutsche.; Merrill; Barclays Bank; Barclays; Shell; UK; National Grid and International Power;,Colt Telecom Bear Stearns Colt IT Telewest Communications Credit Suisse First Boston Carlton Communications Deutsche Bank Merrill Lynch Deutsche Merrill Barclays Bank Barclays Shell UK National Grid and International Power,2023-03-30 17:31:57.430673,No
5444,787333,COLT.F^K15,2001-10-04,2001-10-03, Colt;,Colt plans Pounds 400m share issue, Colt; Colt Telecom; Fidelity;,Colt Colt Telecom Fidelity,2023-03-30 17:32:10.378372,Yes
5445,787403,COLT.F^K15,2001-10-04,2001-10-03, Colt;,Fidelity/Colt Telecom LEX COLUMN, Fidelity/Colt Telecom  Beware; Fidelity; Colt Telecom; Colt; Fidelity Ventures; De Beers; Pounds;,Fidelity Colt Telecom Beware Fidelity Colt Telecom Colt Fidelity Ventures De Beers Pounds,2023-03-30 17:32:16.746161,No
5446,787555,COLT.F^K15,2001-10-04,2001-10-03, Colt;,Colt allays fears of funding shortfall TELECOMMUNICATION SERVICES:, Colt Telecom; Fidelity; US; Colt;,Colt Telecom Fidelity US Colt,2023-03-30 17:32:29.017801,Yes
5447,791051,COLT.F^K15,2001-10-23,2001-10-22, Colt;,Colt shares fall 20% after third quarter setback, Colt Telecom; Fidelity; US; Colt; Teather;,Colt Telecom Fidelity US Colt Teather,2023-03-30 17:32:35.489900,No
5448,792634,COLT.F^K15,2001-10-30,2001-10-29, Colt;,C&W bid talk lifts Colt shares, Colt Telecom; Cable; Colt; C&W; Fidelity; US;,Colt Telecom Cable Colt C W Fidelity US,2023-03-30 17:32:41.957781,No
5449,795202,COLT.F^K15,2001-11-12,2001-11-11, Colt;,Colt faces spat over share issue, Colt Telecom; Fidelity; US; National Association of; Pensions & Investment Research Consultants; Colt; Bell;,Colt Telecom Fidelity US National Association of Pensions Investment Research Consultants Colt Bell,2023-03-30 17:32:54.210829,Yes
5450,795349,COLT.F^K15,2001-11-13,2001-11-12, Colt;,Colt Telecom LEX COLUMN, Colt; Telecom  Fidelity; Colt Telecom; Fidelity;,Colt Telecom Fidelity Colt Telecom Fidelity,2023-03-30 17:33:00.577431,No
5451,801285,COLT.F^K15,2001-12-11,2001-12-10, Colt;,Colt share issue raises Pounds 494m, Colt Telecom; Fidelity; US; Colt;,Colt Telecom Fidelity US Colt,2023-03-30 17:33:12.838429,Yes
5452,814005,COLT.F^K15,2002-02-22,2002-02-21, Colt;,Colt to cut jobs and shut centres, Colt Telecom; UK; Cable; BT Group; Colt; Credit Lyonnais;,Colt Telecom UK Cable BT Group Colt Credit Lyonnais,2023-03-30 17:33:19.166976,No
5453,816018,COLT.F^K15,2002-03-05,2002-03-04, Colt;,Colt continues bond buy-backs NEWS DIGEST, Colt;,Colt,2023-03-30 17:33:31.503567,Yes
5454,827503,COLT.F^K15,2002-05-03,2002-05-02, Colt;,Colt Telecom shares leap 42% on strong first quarter results, Colt Telecom; Colt; Fidelity; US; Credit Suisse First Boston;,Colt Telecom Colt Fidelity US Credit Suisse First Boston,2023-03-30 17:33:37.949376,No
5455,827666,COLT.F^K15,2002-05-03,2002-05-02, Colt;,Strong quarter bolsters Colt, Colt  By Gautam Malkani  Colt Telecom; Colt; Fidelity; US;,Colt By Gautam Malkani Colt Telecom Colt Fidelity US,2023-03-30 17:33:44.721516,No
5456,835341,COLT.F^K15,2002-06-14,2002-06-13, Colt;,Colt urged to end bond buy-backs, Colt Telecom; Colt; Atlantic Telecom; Fidelity;,Colt Telecom Colt Atlantic Telecom Fidelity,2023-03-30 17:33:56.781955,Yes
5457,843158,COLT.F^K15,2002-07-25,2002-07-24, Colt;,"Fidelity replaces Colt chief executive TELECOMS INVESTMENT GROUP WANTS OPERATOR
TO FOCUS ON SALES AND MARKETING:", Fidelity Investments; Colt Telecom; Fidelity; Colt; Sprint; US; Fidelity International; Investec Securities;,Fidelity Investments Colt Telecom Fidelity Colt Sprint US Fidelity International Investec Securities,2023-03-30 17:34:03.142097,No
5458,857249,COLT.F^K15,2002-10-10,2002-10-09, Colt;,Colt rejects claims over its solvency TELECOMMUNICATIONS:, Colt Telecom; Colt; Elliott Group; US; Fidelity;,Colt Telecom Colt Elliott Group US Fidelity,2023-03-30 17:34:15.720507,Yes
5459,857471,COLT.F^K15,2002-10-11,2002-10-10, Colt;,"Rebel Highberry sets out its case against Colt TELECOMMUNICATIONS BONDHOLDER
GUNS FOR ALTERNATIVE CARRIER WITH THREAT TO FORCE IT INTO ADMINISTRATION:", Colt Telecom; Colt; Merrill Lynch; Fidelity; US-based Elliott Group; Swissair;,Colt Telecom Colt Merrill Lynch Fidelity US based Elliott Group Swissair,2023-03-30 17:34:27.808680,Yes
5460,859675,COLT.F^K15,2002-10-23,2002-10-22, Colt;,Bondholder threat to Colt, Colt Telecom; High Court; UK; Colt; Elliott Group; KPMG;,Colt Telecom High Court UK Colt Elliott Group KPMG,2023-03-30 17:34:39.967210,Yes
5461,860227,COLT.F^K15,2002-10-25,2002-10-24, Colt;,Colt Telecom makes early strike at rebel bondholder TELECOMMUNICATIONS:, Colt Telecom; High Court; Colt; Fidelity;,Colt Telecom High Court Colt Fidelity,2023-03-30 17:34:46.767286,No
5462,866343,COLT.F^K15,2002-11-26,2002-11-25, Colt;,Judge blocks move to floor Colt, US; Colt Telecom; High Court; Colt; Mr Akin;,US Colt Telecom High Court Colt Mr Akin,2023-03-30 17:34:58.587676,Yes
5463,866354,COLT.F^K15,2002-11-26,2002-11-25, Colt;,Colt LOMBARD - MARTIN DICKSON, Colt Telecom; US; Colt; High Court; Highberry;,Colt Telecom US Colt High Court Highberry,2023-03-30 17:35:11.117736,Yes
5464,868788,COLT.F^K15,2002-12-06,2002-12-05, Colt;,Colt confident of court victory, Colt Telecom; High Court; Colt; Fidelity;,Colt Telecom High Court Colt Fidelity,2023-03-30 17:35:23.407581,Yes
5465,871300,COLT.F^K15,2002-12-18,2002-12-17, Colt;,Court told of KPMG's 'inappropriate' Colt role, Colt Telecom; Colt; KPMG;,Colt Telecom Colt KPMG,2023-03-30 17:35:35.691178,Yes
5466,883615,COLT.F^K15,2003-02-27,2003-02-26, Colt;,Colt shares rise as losses ease, Colt; Telecom; High Court;,Colt Telecom High Court,2023-03-30 17:35:42.021369,No
5467,893065,COLT.F^K15,2003-04-16,2003-04-15, Colt;,"Colt stands firm against criticism of remuneration policy TELECOMMUNICATIONS
GROUP REJECTS COMPLAINTS FROM NAPF OVER EXECUTIVE PAY SCHEME AND INDEPENDENCE OF
SEVEN DIREC:"," Colt Telecom; National Association of; Colt; Fidelity Investments; NAPF; Reuters; Fidelity; Fidelity Capital; Fidelity International; FMR Corp,; Fidelity Broadband Group;",Colt Telecom National Association of Colt Fidelity Investments NAPF Reuters Fidelity Fidelity Capital Fidelity International FMR Corp Fidelity Broadband Group,2023-03-30 17:35:48.581657,No
5468,894426,COLT.F^K15,2003-04-25,2003-04-24, Colt;,Colt on course for target, Colt; Colt Telecom;,Colt Colt Telecom,2023-03-30 17:36:00.787338,Yes
5469,894495,COLT.F^K15,2003-04-25,2003-04-24, Colt;,Colt on course to meet cash flow target TELECOMMUNICATIONS:, Colt Telecom; Colt; Capital;,Colt Telecom Colt Capital,2023-03-30 17:36:12.865836,Yes
5470,901715,COLT.F^K15,2003-06-03,2003-06-02, Colt;,And finally... Colt Telecom, Colt Telecom; Colt;,Colt Telecom Colt,2023-03-30 17:36:19.304626,No
5471,911491,COLT.F^K15,2003-07-24,2003-07-23, Colt;,Shares up as Colt lowers aim for capex TELECOMS:, Colt Telecom; Colt; IT; Salomon Smith Barney;,Colt Telecom Colt IT Salomon Smith Barney,2023-03-30 17:36:25.969118,No
5472,929197,COLT.F^K15,2003-10-24,2003-10-23, Colt;,Stronger euro helps Colt Telecom cut losses by 42%, Colt Telecom; Colt;,Colt Telecom Colt,2023-03-30 17:36:38.266925,Yes
5473,934262,COLT.F^K15,2003-11-18,2003-11-17, Colt;,Colt founder turns serial entrepreneur PEOPLE, Colt Telecom; US; IT; Fidelity; Colt; Netifice Communications; Fidelity Ventures;,Colt Telecom US IT Fidelity Colt Netifice Communications Fidelity Ventures,2023-03-30 17:36:44.647518,No
5474,946447,COLT.F^K15,2004-01-26,2004-01-25, Colt;,UK: Interroute finds Colt Telecom cables in its ducts TELECOMS:, Colt Telecom; Colt;,Colt Telecom Colt,2023-03-30 17:36:56.498206,Yes
5475,961643,COLT.F^K15,2004-04-14,2004-04-13, Colt;,Former Colt chief on Intec board PEOPLE, Intec Telecom Systems; Colt Telecom; Colt; Fidelity Investments; High Speed Office;,Intec Telecom Systems Colt Telecom Colt Fidelity Investments High Speed Office,2023-03-30 17:37:03.061107,No
5476,963809,COLT.F^K15,2004-04-23,2004-04-22, Colt;,Back to Fidelity for Colt chief PEOPLE:, Colt Telecom; Fidelity; Colt; BT Global Services; BT Group;,Colt Telecom Fidelity Colt BT Global Services BT Group,2023-03-30 17:37:09.611648,No
5477,964632,COLT.F^K15,2004-04-28,2004-04-27, Colt;,Ex-Colt chief joins HSO board PEOPLE, Colt Telecom; Colt; Fidelity Investments; British Land;,Colt Telecom Colt Fidelity Investments British Land,2023-03-30 17:37:16.364613,No
5478,977417,COLT.F^K15,2004-07-02,2004-07-01, Colt;,Colt shares plummet after shock earnings alert, Colt Telecom; Colt; US; MCI; Exane-BNP Paribas; Cable & Wireless;,Colt Telecom Colt US MCI Exane BNP Paribas Cable Wireless,2023-03-30 17:37:22.829491,No
5479,980951,COLT.F^K15,2004-07-21,2004-07-20, Colt;,Colt Telecom slips ahead of its results, Colt Telecom; Colt; US; Fidelity; Credit Suisse First Boston;,Colt Telecom Colt US Fidelity Credit Suisse First Boston,2023-03-30 17:37:29.312339,No
5480,987881,COLT.F^K15,2004-09-01,2004-08-31, Colt;,Charlier moves into Akin chair at Colt PEOPLE," Colt Telecom; Fidelity; US; Colt; BT Global Services; BT Group; 500,000; 0.03;",Colt Telecom Fidelity US Colt BT Global Services BT Group,2023-03-30 17:37:35.555002,No
5481,989696,COLT.F^K15,2004-09-14,2004-09-13, Colt;,Spang heads Charlier shake-up at Colt PEOPLE, Colt Telecom; France Telecom; Colt; BT Global Services;,Colt Telecom France Telecom Colt BT Global Services,2023-03-30 17:37:42.207768,No
5482,995677,COLT.F^K15,2004-10-21,2004-10-20, Colt;,Colt cuts losses but warns of 'tough' future, Colt Telecom; Colt;,Colt Telecom Colt,2023-03-30 17:37:48.534708,No
5483,998665,COLT.F^K15,2004-11-09,2004-11-08, Colt;,Colt ushers in transformation PEOPLE, Colt Telecom; Colt; US;,Colt Telecom Colt US,,
5484,1004621,COLT.F^K15,2004-12-15,2004-12-14, Colt;,Board reshuffle at Colt Telecom PEOPLE, Colt Telecom; Colt; Fidelity; FMR Corp;,Colt Telecom Colt Fidelity FMR Corp,2023-03-30 17:40:33.572335,No
5485,1006998,COLT.F^K15,2005-01-06,2005-01-05, Colt;,Colt sees human resources as King PEOPLE, Colt Telecom; Fidelity; Colt;,Colt Telecom Fidelity Colt,2023-03-30 17:40:39.801012,No
5486,1014807,COLT.F^K15,2005-02-25,2005-02-24, Colt;,Strategy change gives lift to Colt, Colt Telecom; Colt;,Colt Telecom Colt,2023-03-30 17:40:46.265648,No
