,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
5997,1168394,ENRC.L^K13,2007-12-07,2007-12-06, ENRC;,ENRC prepares for Dollars 3bn listing, Natural Resources Corporation; London Stock Exchange; 18.8; ENRC; Deutsche Bank; Credit Suisse; Morgan Stanley;,Natural Resources Corporation London Stock Exchange ENRC Deutsche Bank Credit Suisse Morgan Stanley,2023-03-30 21:34:59.801161,Yes
5998,1168395,ENRC.L^K13,2007-12-07,2007-12-06, ENRC;,ENRC set to complete London IPO, Natural Resources Corporation; London Stock Exchange; Deutsche Bank; ABN Amro Rothschild; Credit Suisse; Morgan Stanley; 18.8; ENRC;,Natural Resources Corporation London Stock Exchange Deutsche Bank ABN Amro Rothschild Credit Suisse Morgan Stanley ENRC,2023-03-30 21:35:11.166424,Yes
5999,1168396,ENRC.L^K13,2007-12-07,2007-12-06, ENRC;,ENRC poised for Pounds 1.4bn LSE listing, Natural Resources Corporation; London Stock Exchange; Deutsche Bank; ABN Amro Rothschild; Credit Suisse; Morgan Stanley; 18.8; ENRC;,Natural Resources Corporation London Stock Exchange Deutsche Bank ABN Amro Rothschild Credit Suisse Morgan Stanley ENRC,2023-03-30 21:35:22.323704,Yes
6000,1171303,ENRC.L^K13,2007-12-21,2007-12-20, ENRC;,Kazakh group ENRC poised for inclusion in FTSE 100, Eurasian Natural Resources Corporation; London Stock Exchange; London-listed Kazakh; Financial Times; ENRC;,Eurasian Natural Resources Corporation London Stock Exchange London listed Kazakh Financial Times ENRC,2023-03-30 21:35:33.488338,Yes
6001,1185795,ENRC.L^K13,2008-03-11,2008-03-10, ENRC;,ENRC rides commodity surge to FTSE 100 gates, Natural Resources Corp; 540p; Financial Services Authority; FTSE; ENRC; Forbes;,Natural Resources Corp p Financial Services Authority FTSE ENRC Forbes,2023-03-30 21:35:39.674856,No
6002,1186206,ENRC.L^K13,2008-03-13,2008-03-12, ENRC;,"Hello, ENRC", Eurasian National Resources Corporation; London Stock Exchange; ENRC;,Eurasian National Resources Corporation London Stock Exchange ENRC,2023-03-30 21:40:21.810491,Yes
6003,1186295,ENRC.L^K13,2008-03-13,2008-03-12, ENRC;,ENRC and Kazakhmys explore tie-up, Eurasian Natural Resources Corporation; ENRC; Financial Times; Credit Suisse and Deutsche Bank;,Eurasian Natural Resources Corporation ENRC Financial Times Credit Suisse and Deutsche Bank,2023-03-30 21:40:33.418429,Yes
6004,1186778,ENRC.L^K13,2008-03-14,2008-03-13, ENRC;,Kazakhmys denies it is in talks to be bought by mining rival ENRC, Eurasian; Natural Resources Corporation; London Stock Exchange; ENRC;,Eurasian Natural Resources Corporation London Stock Exchange ENRC,2023-03-30 21:40:45.907877,Yes
6005,1186779,ENRC.L^K13,2008-03-14,2008-03-13, ENRC;,Kazakh miner ENRC enters the limelight to mixed applause, Eurasian; Natural Resources Corporationhas; ENRC; Forbes; London Stock Exchange; Samsung;,Eurasian Natural Resources Corporationhas ENRC Forbes London Stock Exchange Samsung,2023-03-30 21:40:57.482304,Yes
6006,1186781,ENRC.L^K13,2008-03-14,2008-03-13, ENRC;,Kazakhstan's ENRC gets mixed reaction as it enters the limelight, Eurasian; Natural Resources Corporationhas; ENRC; Forbes; London Stock Exchange; Samsung;,Eurasian Natural Resources Corporationhas ENRC Forbes London Stock Exchange Samsung,2023-03-30 21:41:09.057670,Yes
