,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
6115,723355,EZJ.L,2000-11-16,2000-11-15, EasyJet;,SHORTS: EasyJet shares take off, EasyJet;,EasyJet,2023-03-30 22:57:17.278876,Yes
6116,751462,EZJ.L,2001-04-06,2001-04-05, EasyJet;,"COMPANIES & FINANCE UK AND IRELAND: EasyJet adds five routes to its European
network TRANSPORT LOW-COST AIRLINE EXCLUDES LUTON:", Virgin Group;,Virgin Group,2023-03-30 22:57:23.392005,No
6117,752337,EZJ.L,2001-04-11,2001-04-10, EasyJet;,COMPANIES & FINANCE UK: Go and EasyJet set for dogfight on UK routes, British Airways; Bristol International;,British Airways Bristol International,2023-03-30 22:57:34.797753,Yes
6118,824811,EZJ.L,2002-04-19,2002-04-18, Easyjet;,"Stelios goes back to basics: Kevin Done and Andrea Felsted analyse why the
entrepreneur is stepping down from EasyJet, his most successful corporate
endeavour", Co-operative Insurance Society; Association of British Insurers and National Association of Pension Funds; City; Boeing; Airbus; British Airways;,Co operative Insurance Society Association of British Insurers and National Association of Pension Funds City Boeing Airbus British Airways,2023-03-30 22:57:46.024384,Yes
6119,824844,EZJ.L,2002-04-19,2002-04-18, EasyJet;,EasyJet founder resigns as chief, Smiths Group; Co-operative Insurance Society; EasyJet; Airbus;,Smiths Group Co operative Insurance Society EasyJet Airbus,2023-03-30 22:57:57.213898,Yes
6120,828061,EZJ.L,2002-05-07,2002-05-06, Easyjet;,"EasyJet takes a difficult route: The proposed merger with rival Go is a gamble
that would pit two models of low-cost airline against each other", Southwest Airlines; BA; Lufthansa; UK; Go;,Southwest Airlines BA Lufthansa UK Go,2023-03-30 22:58:03.250806,No
6121,829452,EZJ.L,2002-05-14,2002-05-13, EasyJet;,Hitch delays Go's takeover by EasyJet TRANSPORT:, UK; CSFB; British Airways; Deutsche BA; BA;,UK CSFB British Airways Deutsche BA BA,2023-03-30 22:58:14.627949,Yes
6122,830198,EZJ.L,2002-05-17,2002-05-16, EasyJet;,"EasyJet woos 'hearts and minds' at Go: Without the commitment of staff and
management, the merger of the airlines would be a 'no-brainer', writes Kevi:", Webster; EasyJet;,Webster EasyJet,2023-03-30 22:58:26.092761,Yes
6123,834622,EZJ.L,2002-06-11,2002-06-10, EasyJet;,"Ryanair hits out at EasyJet as profits surge 44%: Irish short-haul operator
outlines expansion plans and says it is the only 'low fares' carrier in Europe", UK; British Airways; Lufthansa; Air France; US;,UK British Airways Lufthansa Air France US,2023-03-30 22:58:32.171910,No
6124,841349,EZJ.L,2002-07-16,2002-07-15, EasyJet;,"Difficult decisions for EasyJet: The low-cost airline has a shopping list for
120 aircraft and prospects of two takeovers. Kevin Done reports:", Go; Deutsche; BA; Boeing; Airbus; Deutsche BA; DBA; British Airways; Southwest Airlines; US; European; Lufthansa; EasyJet;,Go Deutsche BA Boeing Airbus Deutsche BA DBA British Airways Southwest Airlines US European Lufthansa EasyJet,2023-03-30 22:58:43.709711,Yes
