,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
6223,734221,GKN.L,2001-01-16,2001-01-15, GKN;,LEX COLUMN: GKN/Brambles LEX COLUMN, GKN; UK; US -;,GKN UK US,2023-03-30 23:19:24.271614,Yes
6224,734281,GKN.L,2001-01-16,2001-01-15, GKN;,"FRONT PAGE - COMPANIES & MARKETS: GKN in talks on Australian deal MERGER
INVOLVING INDUSTRIAL SERVICES ARM MAY BE STEP TO FLOATING COMBINED BUSINESS:", UK; UBS Warburg; GKN; Commonwealth; Handling Equipment Pool; US;,UK UBS Warburg GKN Commonwealth Handling Equipment Pool US,2023-03-30 23:19:35.530621,Yes
6225,735295,GKN.L,2001-01-22,2001-01-21, GKN;,"COMPANIES & FINANCE UK: GKN may take minority stake in Brambles logistics
ENGINEERING DEAL WOULD SEE INDUSTRIAL SERVICES CEDED TO SYDNEY GROUP:", UK; GKN; Brambles;,UK GKN Brambles,2023-03-30 23:19:46.606845,Yes
6226,737289,GKN.L,2001-01-30,2001-01-29, GKN;,"COMPANIES & FINANCE UK AND IRELAND: GKN chief facing the prickly question of
Brambles move: A new challenge may be signalling the end of Sir CK Chow's
four-year reign at the engineering company, writes Peter Marsh:", UK; US; GKN; BOC; BNP Paribas;,UK US GKN BOC BNP Paribas,2023-03-30 23:19:57.855451,Yes
6227,741698,GKN.L,2001-02-19,2001-02-18, GKN;,COMPANIES & FINANCE UK: GKN sees further helicopter consolidation, EADS; United Technologies; Bell; British Army; US; Royal Navy; Navy; Royal Air Force; RAF; Boeing; GKN;,EADS United Technologies Bell British Army US Royal Navy Navy Royal Air Force RAF Boeing GKN,2023-03-30 23:20:09.322113,Yes
6228,742403,GKN.L,2001-02-23,2001-02-22, GKN;,COMPANIES & FINANCE UK: Brambles and GKN still in talks, GKN; SG Securities; UK;,GKN SG Securities UK,2023-03-30 23:20:20.584923,Yes
6229,745260,GKN.L,2001-03-09,2001-03-08, GKN;,SHORTS: GKN chief dismisses fears, GKN;,GKN,2023-03-30 23:20:34.479170,Yes
6230,745325,GKN.L,2001-03-09,2001-03-08, GKN;,"COMPANIES & FINANCE UK: Sir CK sees sum of the parts greater than the whole:
GKN's chief executive believes a break-up of the conglomerate would create two
world-class operations, says Peter Marsh:", UK; US; GKN; Boeing; CK;,UK US GKN Boeing CK,2023-03-30 23:20:45.686849,Yes
6231,745406,GKN.L,2001-03-09,2001-03-08, GKN;,"FRONT PAGE - COMPANIES & MARKETS: GKN moves to calm fears over split AUTOMOBILES
SHARE PRICE FALLS SHARPLY ON CONCERNS ABOUT ENGINEERING DIVISION'S EXPOSURE TO
SLOWDOWN IN US:", GKN; US;,GKN US,2023-03-30 23:20:59.093391,Yes
6232,753732,GKN.L,2001-04-19,2001-04-18, GKN;,FRONT PAGE - COMPANIES & MARKETS: Beresford to head new GKN company, GKN; Old Mutual Securities; UK; UBS Warburg; Macquarie Bank;,GKN Old Mutual Securities UK UBS Warburg Macquarie Bank,2023-03-30 23:21:05.322702,No
6233,753900,GKN.L,2001-04-20,2001-04-19, GKN;,LEX COLUMN: GKN/Brambles LEX COLUMN, GKN;,GKN,2023-03-30 23:21:16.987714,Yes
6234,753972,GKN.L,2001-04-20,2001-04-19, GKN;,COMPANIES & FINANCE UK: Decoupled GKN starts search for purchases, UK; GKN;,UK GKN,2023-03-30 23:21:28.579052,Yes
6235,759771,GKN.L,2001-05-18,2001-05-17, GKN;,Car making decline dents GKN profits, GKN; US; UK;,GKN US UK,2023-03-30 23:21:39.848426,Yes
6236,759849,GKN.L,2001-05-18,2001-05-17, GKN;,GKN hit by falls in US car production ENGINEERING:, US; BSE; GKN;,US BSE GKN,2023-03-30 23:21:51.008114,Yes
6237,762037,GKN.L,2001-05-30,2001-05-29, GKN;,Sir Peter to GKN role PEOPLE, GKN; Master of St Catherine's College Oxford; Oxford Instruments; Japan Business Network of Trade Partners UK.;,GKN Master of St Catherine s College Oxford Oxford Instruments Japan Business Network of Trade Partners UK,2023-03-30 23:21:57.180796,No
6238,763739,GKN.L,2001-06-07,2001-06-06, GKN;,GKN shares fall after warning from Brambles, UK; GKN; Deutsche Bank;,UK GKN Deutsche Bank,2023-03-30 23:22:08.523672,Yes
6239,776345,GKN.L,2001-08-08,2001-08-07, GKN;,Brambles falls on debut but GKN gains AUTOMOBILES AND PARTS:, GKN; US;,GKN US,2023-03-30 23:22:20.289963,Yes
