,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
6700,772486,HBOS.L^A09,2001-07-19,2001-07-18, HBOS;,Hodkinson to HBOS PEOPLE, Bank; Long Term Savings & Insurance; HBOS; Zurich Financial Services; Eagle Star Life; Allied Dunbar;,Bank Long Term Savings Insurance HBOS Zurich Financial Services Eagle Star Life Allied Dunbar,2023-03-31 11:26:56.476643,No
6701,782565,HBOS.L^A09,2001-09-10,2001-09-09, HBOS;,"Surveys SCO1

HQ based on merit: INTERVIEW: JAMES CROSBY by Mark Nicholson: HBOS chief enjoys
the benefits of location, not least the pleasant stroll to the office", Bank; BOS; HBOS; London Stock Exchange;,Bank BOS HBOS London Stock Exchange,2023-03-31 11:27:02.487953,No
6702,782944,HBOS.L^A09,2001-09-11,2001-09-10, HBOS;,HBOS justifies optimism, HBOS; Bank; Merrill Lynch; Barclays; US; Deutsche Bank; Deutsche; Supermarkets; Department; Oxford; Verdict Research;,HBOS Bank Merrill Lynch Barclays US Deutsche Bank Deutsche Supermarkets Department Oxford Verdict Research,2023-03-31 11:27:11.782519,No
6703,784696,HBOS.L^A09,2001-09-20,2001-09-19, HBOS;,HBOS may lift target on cost saving, Bank; Royal Bank of Scotland; National Westminster; HBOS;,Bank Royal Bank of Scotland National Westminster HBOS,2023-03-31 11:27:21.010364,No
6704,785014,HBOS.L^A09,2001-09-21,2001-09-20, HBOS;,Gill closes after HBOS stops credit, Gill Airways; HBOS; US; Midway Airlines; British European Airways;,Gill Airways HBOS US Midway Airlines British European Airways,2023-03-31 11:27:27.132912,No
6705,795214,HBOS.L^A09,2001-11-12,2001-11-11, HBOS;,HBOS targets Pounds 8bn a year from investors, Bank; Lloyds TSB; Royal Bank; Medical Investment Management; Equitable Life; HBOS;,Bank Lloyds TSB Royal Bank Medical Investment Management Equitable Life HBOS,2023-03-31 11:27:36.466546,No
6706,814987,HBOS.L^A09,2002-02-28,2002-02-27, HBOS;,HBOS Pounds 1.37bn share placing hits confidence in Lloyds TSB, HBOS; Lloyds TSB;,HBOS Lloyds TSB,2023-03-31 11:27:45.646130,No
6707,815145,HBOS.L^A09,2002-02-28,2002-02-27, HBOS;,HBOS 'as good as it gets', Bank; HBOS; Standard; Deutsche Bank; Lloyds; TSB; Lloyds TSB; UBS Warburg; Prudential; Royal & Sun Alliance; Carlton Communications; Goldman Sachs; Japan Telecom; Cable & Wireless; Salomon Smith Barney; UK; US; ABN Amro; Mutual Securities; Carillion; Allied Domecq; Cazenove & Co and; Croda; Credit Lyonnais Securities; Condo Ventures;,Bank HBOS Standard Deutsche Bank Lloyds TSB Lloyds TSB UBS Warburg Prudential Royal Sun Alliance Carlton Communications Goldman Sachs Japan Telecom Cable Wireless Salomon Smith Barney UK US ABN Amro Mutual Securities Carillion Allied Domecq Cazenove Co and Croda Credit Lyonnais Securities Condo Ventures,2023-03-31 11:27:51.985041,No
6708,815158,HBOS.L^A09,2002-02-28,2002-02-27, HBOS;,"HBOS Pounds 1.37bn placing hits Lloyds TSB: Share prices suffer as worries
return over amount of capital held by two banks", HBOS; Lloyds TSB; Bank; Lloyds; Merrill Lynch; Salomon Smith Barney; Lazard;,HBOS Lloyds TSB Bank Lloyds Merrill Lynch Salomon Smith Barney Lazard,2023-03-31 11:28:01.283827,No
6709,829106,HBOS.L^A09,2002-05-13,2002-05-12, HBOS;,HBOS faces queries on bonus plan, HBOS;,HBOS,2023-03-31 11:28:10.450437,No
