,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8101,882049,INF.L,2003-02-19,2003-02-18, Informa;,Mobile congress bolsters Informa, 3GSM World Congress; ABN Amro;,GSM World Congress ABN Amro,2023-03-31 17:48:07.412399,No
8102,1200562,INF.L,2008-06-04,2008-06-03, Informa;,Informa on the move again, Royal Bank; RBS; TCI; ABN Amro; US; Standard Life; Natural Resources Corporation;,Royal Bank RBS TCI ABN Amro US Standard Life Natural Resources Corporation,2023-03-31 17:48:18.502317,Yes
8103,1200618,INF.L,2008-06-04,2008-06-03, Informa;,Informa shares on move again after broker's support, Royal Bank; RBS; TCI; ABN Amro; US; Standard Life; Natural Re-sources Corporation; Lehman Brothers; ENRC; InterContinental Hotels Group; Arden Partners; Evolution Securities; Best Buy; DSG International; US Department of Justice;,Royal Bank RBS TCI ABN Amro US Standard Life Natural Re sources Corporation Lehman Brothers ENRC InterContinental Hotels Group Arden Partners Evolution Securities Best Buy DSG International US Department of Justice,2023-03-31 17:48:24.795224,No
8104,1205317,INF.L,2008-07-03,2008-07-02, Informa;,Running ahead with Informa, University of Manchester; Book Club Associates; UBM;,University of Manchester Book Club Associates UBM,2023-03-31 17:48:30.845845,No
8105,1214767,INF.L,2008-09-05,2008-09-04, Informa;,Informa board rejects approach by consortium, Providence Equity Partners; Carlyle Group; United Business Media; Business Media; Informa; Guardian Media Group; LLP Group; IBC Group;,Providence Equity Partners Carlyle Group United Business Media Business Media Informa Guardian Media Group LLP Group IBC Group,2023-03-31 17:48:42.452854,Yes
8106,1215552,INF.L,2008-09-10,2008-09-09, Informa;,Providence is set deadline to bid for Informa, Providence Equity Partners; Carlyle Group; Barclays; Royal Bank; Bank of America; Lloyds TSB; ING; Bank;,Providence Equity Partners Carlyle Group Barclays Royal Bank Bank of America Lloyds TSB ING Bank,2023-03-31 17:48:53.817229,Yes
8107,1215794,INF.L,2008-09-11,2008-09-10, Informa;,Muscles flexed over Informa, Financial Times; Providence; Carlyle Group; Business Media;,Financial Times Providence Carlyle Group Business Media,2023-03-31 17:49:04.877919,Yes
8108,1217438,INF.L,2008-09-19,2008-09-18, Informa;,Consortium's move for Informa collapses on funding constraints, Providence Equity Partners; Barclays; Royal Bank; Bank of America; Lloyds TSB; ING; Bank; Business Media; Carlyle Group;,Providence Equity Partners Barclays Royal Bank Bank of America Lloyds TSB ING Bank Business Media Carlyle Group,2023-03-31 17:49:16.243133,Yes
8109,1217471,INF.L,2008-09-19,2008-09-18, Informa;,Consortium's move for Informa scuppered by funding constraints, Providence Equity Partners; Barclays; Royal Bank; Bank of America; Lloyds TSB; ING; Bank; Business Media; Carlyle Group;,Providence Equity Partners Barclays Royal Bank Bank of America Lloyds TSB ING Bank Business Media Carlyle Group,2023-03-31 17:49:27.461674,Yes
8110,1217499,INF.L,2008-09-19,2008-09-18, Informa;,Financing problems end move on Informa, Providence Equity Partners; Barclays; Royal Bank; Bank of America; Lloyds TSB; ING; Bank; Carlyle Group; Business Media; United Business Media;,Providence Equity Partners Barclays Royal Bank Bank of America Lloyds TSB ING Bank Carlyle Group Business Media United Business Media,2023-03-31 17:49:33.625852,No
