,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8129,719552,ISYS.L^A14,2000-10-27,2000-10-26, Invensys;,"COMPANIES & FINANCE UK AND IRELAND: Invensys mulls spin-off of power systems
ELECTRONICS OPERATION REGARDED AS 'MOST ATTRACTIVE PART OF GROUP' COULD BE WORTH
Pounds 4.5BN:", BTR; Chase Manhattan;,BTR Chase Manhattan,2023-03-31 17:52:52.102018,Yes
8130,773673,ISYS.L^A14,2001-07-25,2001-07-24, Invensys;,"Invensys chief hands challenge to successor: Group trails sector index by 65%,
but newcomer aims to restore confidence, say Charles Batchelor andPeter Marsh:", US; Deutsche Bank; Blue Circle; General Electric; ABB; Siemens; GE;,US Deutsche Bank Blue Circle General Electric ABB Siemens GE,2023-03-31 17:52:58.158583,No
8131,786961,ISYS.L^A14,2001-10-01,2001-09-30, Invensys;,"Invensys plans up to Pounds 750m asset disposals ELECTRONIC EQUIPMENT
RESTRUCTURING BY GROUP'S NEW CHIEF EXECUTIVE TO CUT Pounds 3.2BN DEBT:", Financial Times; Blue Circle; Software Systems; US; Invensys' Power Systems;,Financial Times Blue Circle Software Systems US Invensys Power Systems,2023-03-31 17:53:09.326170,Yes
8132,813424,ISYS.L^A14,2002-02-20,2002-02-19, Invensys;,"Engineering a vision for Invensys: Peter Marsh and John Kipphoff report on the
strategy and the immediate reaction from City analysts:", BP; US;,BP US,2023-03-31 17:53:20.859088,Yes
8133,826143,ISYS.L^A14,2002-04-26,2002-04-25, Invensys;,Invensys credit sparks concern, US; Standard & Poor's; Bank of America; Deutsche Bank; HSBC Bank; JP Morgan; Morgan Stanley Dean Witter and Royal Bank of Scotland; Comment  * Poor Invensys.;,US Standard Poor s Bank of America Deutsche Bank HSBC Bank JP Morgan Morgan Stanley Dean Witter and Royal Bank of Scotland Comment Poor Invensys,2023-03-31 17:53:27.050056,No
8134,832682,ISYS.L^A14,2002-05-31,2002-05-30, Invensys;,Invensys 'on track' for a recovery posts Pounds 850m loss, Invensys;,Invensys,2023-03-31 17:53:38.643257,Yes
8135,850500,ISYS.L^A14,2002-09-06,2002-09-05, Invensys;,Invensys names O'Donovan successor, BTR; Glaxo; Glaxo Wellcome; Glaxo Wellcome USA;,BTR Glaxo Glaxo Wellcome Glaxo Wellcome USA,2023-03-31 17:53:44.715070,No
8136,864559,ISYS.L^A14,2002-11-15,2002-11-14, Invensys;,"Invensys sees shares drop 25% as Pounds 58m loss is posted LITTLE HOPE OF QUICK
IMPROVEMENT: * POTENTIAL ASBESTOS LIABILITIES WORRY INVESTORS: * ANALYSTS
QUESTION CHIEF'S TARGETS:", US; ABB; Siemens; Morgan Stanley;,US ABB Siemens Morgan Stanley,2023-03-31 17:53:50.767633,No
8137,908857,ISYS.L^A14,2003-07-09,2003-07-08, Invensys;,Invensys offloads Teccor to Littelfuse ENGINEERING:, Teccor Electronics; US; General Atlantic Partners; Cerberus Capital Management;,Teccor Electronics US General Atlantic Partners Cerberus Capital Management,2023-03-31 17:53:56.830339,No
8138,935662,ISYS.L^A14,2003-11-25,2003-11-24, Invensys;,"UK: Great expectations are but a fading memory: Peter Marsh assesses whether
Invensys can survive yet another crisis and asks if the latest announcement is
the beginning of the end", BTR; Deutsche Bank;,BTR Deutsche Bank,2023-03-31 17:54:02.852610,No
8139,948646,ISYS.L^A14,2004-02-05,2004-02-04, Invensys;,Invensys THE LEX COLUMN:, Dollars;,Dollars,2023-03-31 17:54:14.305542,Yes
8140,999194,ISYS.L^A14,2004-11-11,2004-11-10, Invensys;,"Slick Rick keeps his own counsel on departure: Lisa Urquhart finds that
Invensys's chief executive has strong views on what is good for the company in
the lon", Blue Circle; UK; Eaton Corporation; US;,Blue Circle UK Eaton Corporation US,2023-03-31 17:54:20.318033,No
8141,1031014,ISYS.L^A14,2005-06-09,2005-06-08, Invensys;,UK: Invensys makes Pounds 81m disposal NEWS DIGEST, Advanced Building Systems; Schneider Electric; ABS;,Advanced Building Systems Schneider Electric ABS,2023-03-31 17:54:26.353470,No
8142,1329805,ISYS.L^A14,2010-11-16,2010-11-15, Invensys;,Engineers drive gains as Invensys surges on bid talk, Siemens; Credit Suisse; CSR; Morgan Stanley; Weir Group; John Wood Group; US; Rolls-Royce; Qantas; Berkeley Group; PartyGaming; Oil; KNOC; Dana Petroleum;,Siemens Credit Suisse CSR Morgan Stanley Weir Group John Wood Group US Rolls Royce Qantas Berkeley Group PartyGaming Oil KNOC Dana Petroleum,2023-03-31 17:54:37.794467,Yes
8143,1395714,ISYS.L^A14,2012-05-09,2012-05-08, Invensys;,Invensys lifted by talk of outright bid or break-up offer from US peer, US; Emerson Electric; Invensys; UK; General Electric; Man Group; Merrill Lynch; Nomura Securities; Land Securities; Royal Institution; Morgan Crucible; 16.9;,US Emerson Electric Invensys UK General Electric Man Group Merrill Lynch Nomura Securities Land Securities Royal Institution Morgan Crucible,2023-03-31 17:54:49.258920,Yes
8144,1400894,ISYS.L^A14,2012-06-21,2012-06-20, Invensys;,Invensys moves higher on reports of Emerson break-up bid interest, ABB; General Electric; Merrill Lynch; Numis Securities; ITV; KKR; Panmure Gordon; US; Interactive Investor; Operation Twist; Costa Coffee; Premier; Inn; Barclays; Oriel Securities;,ABB General Electric Merrill Lynch Numis Securities ITV KKR Panmure Gordon US Interactive Investor Operation Twist Costa Coffee Premier Inn Barclays Oriel Securities,2023-04-03 11:56:43.950223,Yes
