,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8549,728616,KEL.L^B08,2000-12-12,2000-12-11, Kelda Group;,COMPANIES & FINANCE UK: Kelda makes Pounds 70m disposal NEWS DIGEST, NatWest Equity Partners; ALcontrol Laboratories; Kelda Group;,NatWest Equity Partners ALcontrol Laboratories Kelda Group,2023-04-03 13:03:34.750286,No
8550,764069,KEL.L^B08,2001-06-08,2001-06-07, Kelda Group;,Kelda calls for change in water policy UTILITIES PRICE CUTS MUST BE REDUCED:, Kelda Group; Treasury; RWE; US north-east; Waste Recycling Group; FTSE All; Hanson Waste Management; US;,Kelda Group Treasury RWE US north east Waste Recycling Group FTSE All Hanson Waste Management US,2023-04-03 13:03:40.814014,No
8551,845406,KEL.L^B08,2002-08-07,2002-08-06, Kelda Group;,Newman steps down at Kelda PEOPLE, Kelda Group; Waste Recycling Group; Waste Recycling; Energy Power Resources; White Rose Environmental; White Rose; American Water Works; US;,Kelda Group Waste Recycling Group Waste Recycling Energy Power Resources White Rose Environmental White Rose American Water Works US,2023-04-03 13:03:56.490361,Yes
8552,1004004,KEL.L^B08,2004-12-09,2004-12-08, Kelda Group;,Kelda agrees to price controls UTILITIES:, Kelda Group; Waste Recycling Group; WRG; Pounds; US; UK;,Kelda Group Waste Recycling Group WRG Pounds US UK,2023-04-03 13:04:02.506813,No
8553,1106057,KEL.L^B08,2006-11-02,2006-11-01, Kelda Group;,Northumbrian Water awash with rumours of looming bid by Kelda LONDON, Kelda Group; US; Hanson; UBS; HSBC; Goldman Sachs;,Kelda Group US Hanson UBS HSBC Goldman Sachs,2023-04-03 13:04:08.569134,No
8554,1145795,KEL.L^B08,2007-08-02,2007-08-01, Kelda Group;,Kelda relieved by vote of confidence in the water sector, Kelda Group; UK; Pennon Group; FTSE; Zurich Financial Services; Goldman Sachs; Prudential; US; US Food and Drug Administration; Glaxo; Man Group; Wood Group; JKX Oil & Gas; Admiral Group; Credit Suisse;,Kelda Group UK Pennon Group FTSE Zurich Financial Services Goldman Sachs Prudential US US Food and Drug Administration Glaxo Man Group Wood Group JKX Oil Gas Admiral Group Credit Suisse,2023-04-03 13:04:19.911568,Yes
8555,1150583,KEL.L^B08,2007-09-11,2007-09-10, Kelda Group;,Kelda makes splash after 'trading buy' recommendation, Kelda Group; Credit Suisse; Royal Bank; International Power; British Energy; Southern Energy; US; Smiths Group; Morgan Stanley; Barclays; Barclays Capital; IG Group; Goldman Sachs; AB Foods;,Kelda Group Credit Suisse Royal Bank International Power British Energy Southern Energy US Smiths Group Morgan Stanley Barclays Barclays Capital IG Group Goldman Sachs AB Foods,2023-04-03 13:04:31.072748,Yes
8556,1165367,KEL.L^B08,2007-11-23,2007-11-22, Kelda Group;,Kelda receives Pounds 3bn approach, Kelda Group; GIC Special Investments; Infracapital Partners; Prudential Group; JPMorgan Asset Management; US; Goldman Sachs; UK;,Kelda Group GIC Special Investments Infracapital Partners Prudential Group JPMorgan Asset Management US Goldman Sachs UK,2023-04-03 13:04:37.127630,No
8557,1165424,KEL.L^B08,2007-11-23,2007-11-22, Kelda;,Kelda faces Pounds 3bn buy-out deal, GIC Special Investments; Infracapital Partners; Prudential Group; JPMorgan Asset Management; UK; Kelda; Ministry of Defence;,GIC Special Investments Infracapital Partners Prudential Group JPMorgan Asset Management UK Kelda Ministry of Defence,2023-04-03 13:04:43.234159,No
8558,1166039,KEL.L^B08,2007-11-27,2007-11-26, Kelda Group;,Kelda agrees to Pounds 3bn buy-out," Kelda Group; GIC Special Investments; Infracapital Partners; Pali International; JPMorgan Asset Management; Goldman Sachs; US; Greenhill & Co,; Merrill Lynch; JPMorgan; Lexicon Partners; HSBC;",Kelda Group GIC Special Investments Infracapital Partners Pali International JPMorgan Asset Management Goldman Sachs US Greenhill Co Merrill Lynch JPMorgan Lexicon Partners HSBC,2023-04-03 13:04:54.415128,Yes
