,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8559,741714,KGF.L,2001-02-19,2001-02-18, Kingfisher;,"FRONT PAGE - COMPANIES & MARKETS: Kingfisher considers Wegert sale: Retail
giant's shake-up of struggling German electrical arm said to be make-or-break
move", DIY;,DIY,2023-04-03 13:05:05.577343,Yes
8560,769087,KGF.L,2001-07-02,2001-07-01, Kingfisher;,Kingfisher chiefs at odds over Corbett, Kingfisher;,Kingfisher,2023-04-03 13:05:11.616093,No
8561,797087,KGF.L,2001-11-21,2001-11-20, Kingfisher;,"Home improvements aid Kingfisher sales RETAILERS STRONG BENEFITS FROM 'NESTING'
TREND:", Group; UK; Castorama; Brico Depot; Pounds;,Group UK Castorama Brico Depot Pounds,2023-04-03 13:05:17.617250,No
8562,798504,KGF.L,2001-11-28,2001-11-27, Kingfisher;,"Mulcahy spins an ever more tangled web: Kingfisher's move into Germany does
little to simplify its complicated structure, say Susanna Voyle and Bertrand
Benoit:", DIY; Metro; Home Depot; US DIY;,DIY Metro Home Depot US DIY,2023-04-03 13:05:23.648042,No
8563,829162,KGF.L,2002-05-13,2002-05-12, Kingfisher;,Kingfisher nears Castorama deal, DIY;,DIY,2023-04-03 13:05:38.120722,Yes
8564,829935,KGF.L,2002-05-16,2002-05-15, Kingfisher;,"Last voyage threatened by storms: Peter Smith looks at Sir Geoff Mulcahy's final
act of navigation for Kingfisher, the group he has steered for 20 years:", DIY; UK;,DIY UK,2023-04-03 13:05:49.895227,Yes
8565,832121,KGF.L,2002-05-28,2002-05-27, Kingfisher;,"Castorama steps up fight against Kingfisher: French group attacks choice of
Schroder Salomon Smith Barney as independent valuer", Salomon Smith Barney; Merrill Lynch; UK;,Salomon Smith Barney Merrill Lynch UK,2023-04-03 13:06:01.158831,Yes
8566,908618,KGF.L,2003-07-07,2003-07-06, Kingfisher;,Kingfisher's Kesa set for quiet debut NEW ISSUES:, Competition Commission; UK; European Union; SSL International; Gambit Corporate Finance;,Competition Commission UK European Union SSL International Gambit Corporate Finance,2023-04-03 13:06:07.186084,No
8567,921164,KGF.L,2003-09-18,2003-09-17, Kingfisher;,UK: Some ghosts stir in the Kingfisher machine: MARTIN DICKSON - LOMBARD, US; Home Depot;,US Home Depot,2023-04-03 13:06:18.471205,Yes
8568,1013799,KGF.L,2005-02-18,2005-02-17, Kingfisher;,B&Q takes Kingfisher into choppy waters: MARTIN DICKSON - LOMBARD, Office for National Statistics;,Office for National Statistics,2023-04-03 13:06:29.835035,Yes
8569,1110483,KGF.L,2006-12-01,2006-11-30, Kingfisher;,"B&Q weighs Kingfisher down *DIY jobs fall victim to the flat-screen
television*France and Asia help group to Pounds 173m profits", Home Retail Group; Verdict Research; Panmure Gordon; UK;,Home Retail Group Verdict Research Panmure Gordon UK,2023-04-03 13:06:35.845928,No
8570,1131750,KGF.L,2007-04-27,2007-04-26, Kingfisher;,Kingfisher flies on buyout rumours, PAI Partners;,PAI Partners,2023-04-03 13:06:41.835358,No
8571,1209000,KGF.L,2008-07-25,2008-07-24, Kingfisher;,Kingfisher provides signs of hope for investors, DIY; Office for National Statistics; Trade Depot; Panmure Gordon; UK; Capital Economics;,DIY Office for National Statistics Trade Depot Panmure Gordon UK Capital Economics,2023-04-03 13:06:53.076277,Yes
8572,1229699,KGF.L,2008-11-28,2008-11-27, Kingfisher;,Mounting problems in China cast a cloud over Kingfisher, Trade Depot; Credit Suisse;,Trade Depot Credit Suisse,2023-04-03 13:07:08.686175,Yes
8573,1293070,KGF.L,2010-02-10,2010-02-09, Kingfisher;,Kingfisher lifted by upgrade, DIY; Redburn Partners; Kingfisher; 139p; Carphone Warehouse; HMV Group;,DIY Redburn Partners Kingfisher p Carphone Warehouse HMV Group,2023-04-03 13:07:19.807488,Yes
8574,1293114,KGF.L,2010-02-10,2010-02-09, Kingfisher;,Broker's upgrade helps Kingfisher outrun retail peers, Redburn Partners; Kingfisher; 139p; Carphone Warehouse; Morgan Stanley; Lloyds Banking Group; Lloyds; US; Merrill Lynch; Deutsche Bank;,Redburn Partners Kingfisher p Carphone Warehouse Morgan Stanley Lloyds Banking Group Lloyds US Merrill Lynch Deutsche Bank,2023-04-03 13:07:31.272338,Yes
8575,1475613,KGF.L,2014-05-30,2014-05-29, Kingfisher;,Kingfisher, DIY; Home Depot;,DIY Home Depot,2023-04-03 13:07:42.439208,Yes
