,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8843,914570,LMI.L,2003-08-11,2003-08-10, Lonmin;,"Lonmin statement heralds Ashanti battle: Biggest shareholder says it could back
either of rival bids", Societe Generale; US;,Societe Generale US,2023-04-03 13:51:22.221173,Yes
8844,915796,LMI.L,2003-08-18,2003-08-17, Lonmin;,"Lonmin sizes up options for future in platinum: Brian Gilbertson is wary of
radical diversification for the group, writes Kevin Morrison", Randgold Resources; Financial Times; European Commission; Commission;,Randgold Resources Financial Times European Commission Commission,2023-04-03 13:51:33.471463,Yes
8845,936217,LMI.L,2003-11-27,2003-11-26, Lonmin;,Production rise fails to help Lonmin MINING:, US;,US,2023-04-03 13:51:49.657723,Yes
8846,987755,LMI.L,2004-09-01,2004-08-31, Lonmin;,"Lonmin strikes political gold in South Africa: BLACK EMPOWERMENT: The mining
company is reinterpreting new ownership rules tarnished for enriching wealthy
tycoons, say Rebecca Bream andJohn Reed:", BEE; Industrial Development Corporation; IDC; RBC Capital Markets; African National Congress; JP Morgan Chase; US;,BEE Industrial Development Corporation IDC RBC Capital Markets African National Congress JP Morgan Chase US,2023-04-03 13:52:01.021969,Yes
8847,1010378,LMI.L,2005-01-28,2005-01-27, Lonmin;,Lonmin investors protest against Jonah bonus, 44.8; Association of British Insurers; Pounds;,Association of British Insurers Pounds,2023-04-03 13:52:07.116868,No
8848,1026932,LMI.L,2005-05-13,2005-05-12, Lonrho;,Lonrho Africa sells Kenyan subsidiary SMALL CAP BRIEFING, Kingdom Hotels Investments; Norfolk Hotel; Mount Kenya Safari Club; Aberdare Country Club;,Kingdom Hotels Investments Norfolk Hotel Mount Kenya Safari Club Aberdare Country Club,2023-04-03 13:52:13.223371,No
8849,1054851,LMI.L,2005-11-17,2005-11-16, Lonmin;,Lonmin benefits from soaring platinum price MINING, Southern Platinum;,Southern Platinum,2023-04-03 13:52:19.284974,No
8850,1108435,LMI.L,2006-11-16,2006-11-15, Lonmin;,Redemption hits Lonmin shares MINING, Southern Platinum;,Southern Platinum,2023-04-03 13:52:30.622316,Yes
8851,1163780,LMI.L,2007-11-15,2007-11-14, Lonmin;,Lonmin misses targets as costs increase, Lonmin;,Lonmin,2023-04-03 13:52:42.291661,Yes
8852,1193623,LMI.L,2008-04-24,2008-04-23, Lonmin;,Lonmin cuts targets as South Africa outage bites, Liberum Capital;,Liberum Capital,2023-04-03 13:53:01.953755,Yes
8853,1208554,LMI.L,2008-07-23,2008-07-22, Lonmin;,Speculation of takeover helps Lonmin to climb, European; American Express; RBS; UK; Lloyds; TSB; HBOS; National Australia Bank; ABN Amro; Royal Bank; FTSE; Imperial Energy;,European American Express RBS UK Lloyds TSB HBOS National Australia Bank ABN Amro Royal Bank FTSE Imperial Energy,2023-04-03 13:53:08.068690,No
8854,1210846,LMI.L,2008-08-07,2008-08-06, Lonmin;,Xstrata resumes its stakebuilding after Lonmin spurns hostile bid, Threadneedle Asset Management; Deutsche Bank;,Threadneedle Asset Management Deutsche Bank,2023-04-03 13:53:19.469036,Yes
8855,1210866,LMI.L,2008-08-07,2008-08-06, Lonmin;,Xstrata resumes advance on Lonmin, Threadneedle Asset Management; Deutsche Bank;,Threadneedle Asset Management Deutsche Bank,2023-04-03 13:53:30.833026,Yes
8856,1211184,LMI.L,2008-08-08,2008-08-07, Lonmin;,Lonmin's biggest investor says no to Xstrata, Threadneedle Asset Management;,Threadneedle Asset Management,2023-04-03 13:53:42.257061,Yes
8857,1211234,LMI.L,2008-08-08,2008-08-07, Lonmin;,M&G rejects Xstrata's offer for Lonmin, Threadneedle Asset Management;,Threadneedle Asset Management,2023-04-03 13:53:53.470087,Yes
8858,1211834,LMI.L,2008-08-14,2008-08-13, Lonmin;,Lonmin's chairman hits back at critics, FT;,FT,2023-04-03 13:54:09.274384,Yes
8859,1225539,LMI.L,2008-11-04,2008-11-03, Lonmin;,Lonmin set for shake-up as slowdown hits demand, Group; Solidarity;,Group Solidarity,2023-04-03 13:54:15.330573,No
8860,1225555,LMI.L,2008-11-04,2008-11-03, Lonmin;,Lonmin plans job losses in quest to be 'more efficient', Solidarity;,Solidarity,2023-04-03 13:54:21.420871,No
8861,1380829,LMI.L,2012-01-05,2012-01-04, Lonmin;,Falling platinum prices hit Lonmin, Lonmin; Home Retail Group; Microsoft; UK;,Lonmin Home Retail Group Microsoft UK,2023-04-03 13:54:32.684341,Yes
8862,1437393,LMI.L,2013-05-16,2013-05-15, Lonrho;,'Tiny' Rowland's once-mighty Lonrho heads for Swiss retreat, US;,US,2023-04-03 13:54:39.774924,No
8863,1490903,LMI.L,2014-11-10,2014-11-09, Lonmin;,Investors look beyond Lonmin's strike-hit results, Deutsche Bank; UBS;,Deutsche Bank UBS,2023-04-03 13:54:51.724000,Yes
8864,1552771,LMI.L,2016-11-15,2016-11-14, Lonmin;,Few laughs at Lonmin, Ian Farmer; Lonmin;,Ian Farmer Lonmin,2023-04-03 13:55:02.996634,Yes
