,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
8877,772865,LSE.L,2001-07-20,2001-07-19, LSE;,"Takeover premium likely to keep LSE shares on a high: But many analysts claim
the exchange is overvalued as global downturn cuts into trading volumes, writes
Vincent Boland:", LSE; Deutsche Borse;,LSE Deutsche Borse,2023-04-03 13:57:28.921889,Yes
8878,774195,LSE.L,2001-07-27,2001-07-26, LSE;,Furse raises stake in LSE, LSE  Clara Furse; London Stock Exchange; LSE;,LSE Clara Furse London Stock Exchange LSE,2023-04-03 13:57:35.282097,No
8879,775032,LSE.L,2001-08-01,2001-07-31, LSE;,LSE plans for news service NEWS DIGEST, Financial Services Authority; LSE; RNS;,Financial Services Authority LSE RNS,2023-04-03 13:57:41.455816,No
8880,775090,LSE.L,2001-08-01,2001-07-31, LSE;,LSE to charge for news service, Financial Services Authority; LSE; RNS; Reuters; FSA; US;,Financial Services Authority LSE RNS Reuters FSA US,2023-04-03 13:57:47.794699,No
8881,775889,LSE.L,2001-08-06,2001-08-05, LSE;,Bailey takes LSE role PEOPLE, LSE; CIBC; JP Morgan;,LSE CIBC JP Morgan,2023-04-03 13:57:54.054026,No
8882,777655,LSE.L,2001-08-15,2001-08-14, LSE;,"Bid for Liffe would be icing on cake for LSE: A takeover of the futures exchange
would complete a stunning turnround for London's stock market, writes Vincent
Boland:", London International Financial Futures and Options Exchange; LSE; Deutsche Borse; OM Group; Salomon Smith Barney; Merrill Lynch; Battery Ventures; Blackstone Group; Nasdaq;,London International Financial Futures and Options Exchange LSE Deutsche Borse OM Group Salomon Smith Barney Merrill Lynch Battery Ventures Blackstone Group Nasdaq,2023-04-03 13:58:05.784056,Yes
8883,777649,LSE.L,2001-08-15,2001-08-14, London Stock Exchange;,LSE buy would complete turnaround, London Stock Exchange; London International Financial Futures and Options;,London Stock Exchange London International Financial Futures and Options,2023-04-03 13:58:25.543780,Yes
8884,779173,LSE.L,2001-08-23,2001-08-22, LSE;,Liffe chairman denies LSE bid talks, London Stock Exchange; London International Financial Futures and Options Exchange; Nasdaq; US -; US; Nasdaq Liffe Markets; Battery Ventures; Blackstone Group; LSE; FTSE;,London Stock Exchange London International Financial Futures and Options Exchange Nasdaq US US Nasdaq Liffe Markets Battery Ventures Blackstone Group LSE FTSE,2023-04-03 13:58:31.923827,No
8885,779409,LSE.L,2001-08-24,2001-08-23, LSE;,"Glory days have faded since OM's audacious LSE bid: Swedish group's shares have
tumbled in a year, says Christopher Brown-Humes:"," London Stock Exchange; OM; Deutsche Borse; LSE; UBS Warburg; Stockholm Stock Exchange; Merrill Lynch; Morgan Stanley Dean Witter; 2,882; Morgan Stanley;",London Stock Exchange OM Deutsche Borse LSE UBS Warburg Stockholm Stock Exchange Merrill Lynch Morgan Stanley Dean Witter Morgan Stanley,2023-04-03 13:58:38.294757,No
8886,782599,LSE.L,2001-09-12,2001-09-11, LSE;,"Cash conduit that secures London's reputation: THE CITY: Most of the City's
financial markets depend upon the London Clearing House for their trading. From
next year, so will the London Stock Exchange, writes Vincent Boland", London Stock Exchange; LCH; LSE; City; Barclays Merchant Bank; London; Inter-national Financial Futures and Options Exchange; Deutsche Borse; LC; US; Depository Trust & Clearing Corporation;,London Stock Exchange LCH LSE City Barclays Merchant Bank London Inter national Financial Futures and Options Exchange Deutsche Borse LC US Depository Trust Clearing Corporation,2023-04-03 13:58:45.217418,No
8887,786297,LSE.L,2001-09-28,2001-09-27, LSE;,Bullish LSE issues strong trading update, London Stock Exchange; LSE; US; FTSE; British Telecommunications;,London Stock Exchange LSE US FTSE British Telecommunications,2023-04-03 13:58:51.390275,No
8888,786227,LSE.L,2001-09-28,2001-09-27, London Stock Exchange;,LSE issues strong trading update, London Stock Exchange;,London Stock Exchange,2023-04-03 13:59:05.176116,Yes
8889,787062,LSE.L,2001-10-01,2001-09-30, LSE;,"LSE set to head off rivals with Liffe bid EXCHANGE LOOKING TO AVOID BATTLE THAT
COULD PUSH PRICE FOR FUTURES MARKET OVER Pounds 400M:", London Stock Exchange; Chicago Mercantile Exchange; London International Financial Futures and Options Exchange; CME; LSE; Credit Suisse First Boston; Deutsche Borse; Nasdaq; US;,London Stock Exchange Chicago Mercantile Exchange London International Financial Futures and Options Exchange CME LSE Credit Suisse First Boston Deutsche Borse Nasdaq US,2023-04-03 13:59:16.749393,Yes
