,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
9703,1027246,MCRO.L,2005-05-17,2005-05-16, Micro Focus;,UK & IRELAND: Micro Focus starts on the LSE SOFTWARE, UK; Micro Focus; London Stock Exchange; US; United Utilities; Golden Gate Capital;,UK Micro Focus London Stock Exchange US United Utilities Golden Gate Capital,2023-04-03 17:52:53.076768,No
9704,1043495,MCRO.L,2005-09-08,2005-09-07, Micro Focus;,Micro Focus shares hit after sales warning SOFTWARE, Micro Focus;,Micro Focus,2023-04-03 17:52:59.072809,No
9705,1079133,MCRO.L,2006-04-28,2006-04-27, Micro Focus;,Micro Focus names chief executive PEOPLE, Micro Focus; US; Fibernet Group;,Micro Focus US Fibernet Group,2023-04-03 17:53:05.085374,No
9706,1141123,MCRO.L,2007-06-29,2007-06-28, Micro Focus;,Micro Focus wins custom, Micro Focus International; TNT; Nomura Securities; Oracle; Micro Focus; HAL Knowledge Systems; US;,Micro Focus International TNT Nomura Securities Oracle Micro Focus HAL Knowledge Systems US,2023-04-03 17:53:11.140290,No
9707,1168297,MCRO.L,2007-12-07,2007-12-06, Micro Focus;,US organic growth behind gain at Micro Focus, Micro Focus; US;,Micro Focus US,2023-04-03 17:53:22.313950,Yes
9708,1172860,MCRO.L,2008-01-08,2008-01-07, Micro Focus;,Micro Focus loses another executive, Micro Focus International; Micro Focus; London Stock Exchange; TNT; Nomura Securities;,Micro Focus International Micro Focus London Stock Exchange TNT Nomura Securities,2023-04-03 17:53:28.298281,No
9709,1180467,MCRO.L,2008-02-13,2008-02-12, Micro Focus International;,Micro Focus lifts full-year forecast, Micro Focus International; ABN Amro; US; Goldman Sachs;,Micro Focus International ABN Amro US Goldman Sachs,2023-04-03 17:53:34.315024,No
9710,1195155,MCRO.L,2008-05-02,2008-05-01, Micro Focus International;,Micro Focus snaps up US rival for $73m, Micro Focus International; US; Boeing; Rocket Software; ABN Amro;,Micro Focus International US Boeing Rocket Software ABN Amro,2023-04-03 17:53:45.332793,Yes
9711,1242460,MCRO.L,2009-02-19,2009-02-18, Micro Focus;,Golden Gate sells Micro Focus stake, US; Capital Partners; Micro Focus; Panmure Gordon; FTSE; UK;,US Capital Partners Micro Focus Panmure Gordon FTSE UK,2023-04-03 17:53:56.538137,Yes
9712,1254678,MCRO.L,2009-05-07,2009-05-06, Micro Focus;,Micro Focus acquires software testing assets, Micro Focus International; US; Nasdaq-traded Borland Software; Lloyds Banking and Royal Bank; UK; Micro Focus;,Micro Focus International US Nasdaq traded Borland Software Lloyds Banking and Royal Bank UK Micro Focus,2023-04-03 17:54:02.566587,No
