,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
10025,802484,OOM.L^C06,2001-12-19,2001-12-18, Telefonica;,Telefonica hedges against spread of Argentine crisis, Financial Times; Portugal Telecom; US;,Financial Times Portugal Telecom US,2023-04-03 18:47:35.463403,Yes
10026,806285,OOM.L^C06,2002-01-14,2002-01-13, Telefonica;,Telefonica boss shakes up media division, Santander Central Hispano; TV; Media; Telefonica; US;,Santander Central Hispano TV Media Telefonica US,2023-04-03 18:47:41.480237,No
10027,861582,OOM.L^C06,2002-11-01,2002-10-31, Telefonica;,"Telefonica safety net for Terra Lycos TELECOMS SPANISH GROUP WILL COME TO AID OF
INTERNET SUBSIDIARY IF BERTELSMANN DOES NOT RENEW Dollars 675m ADVERTISING:", US; Terra Group; Bertelsmann Group; Deutsche Telekom;,US Terra Group Bertelsmann Group Deutsche Telekom,2023-04-03 18:47:52.539181,Yes
10028,861685,OOM.L^C06,2002-11-01,2002-10-31, Telefonica;,Telefonica gives safety net for Terra Lycos, US; Terra Group; Bertelsmann Group; Deutsche Telekom;,US Terra Group Bertelsmann Group Deutsche Telekom,2023-04-03 18:48:03.759258,Yes
10029,883821,OOM.L^C06,2003-02-28,2003-02-27, Telefonica;,Telefonica writes off Euros 16bn and switches strategy, US;,US,2023-04-03 18:48:20.793012,Yes
10030,953063,OOM.L^C06,2004-02-27,2004-02-26, Telefonica;,Telefonica prepares to sell Endemol TELECOMS:, Big;,Big,2023-04-03 18:48:36.906629,Yes
10031,954536,OOM.L^C06,2004-03-05,2004-03-04, Telefonica;,Telefonica in talks to buy BellSouth wireless unit LATIN AMERICA:, BellSouth; UBS Warburg; SBC Communications;,BellSouth UBS Warburg SBC Communications,2023-04-03 18:48:43.010132,No
10032,954537,OOM.L^C06,2004-03-05,2004-03-04, Telefonica;,BellSouth in talks on Dollars 6bn sale to Telefonica, US; BellSouth; SBC Communications; Telecom Italia;,US BellSouth SBC Communications Telecom Italia,2023-04-03 18:48:49.134466,No
10033,998788,OOM.L^C06,2004-11-09,2004-11-08, O2;,"27. Susie Moore, O2's Head of Brand and Marketing Communications", BT Group; BT Cellnet; WCRS;,BT Group BT Cellnet WCRS,2023-04-03 18:49:00.384530,Yes
10034,1038332,OOM.L^C06,2005-07-28,2005-07-27, Telefonica;,Telefonica executives awake to a tough new day, France Telecom; Telefonica; Nomura;,France Telecom Telefonica Nomura,2023-04-03 18:49:11.675366,Yes
10035,1048017,OOM.L^C06,2005-10-06,2005-10-05, Telefonica;,Telefonica LEX COLUMN, KPN; SBC;,KPN SBC,2023-04-03 18:49:23.222207,Yes
10036,1052100,OOM.L^C06,2005-11-01,2005-10-31, Telefonica;,"Logic behind Telefonica's bid Mark Odell and Mark Mulligan find discrepancies in
the approach by the Spanish telecommunications operator for Britain's O2", Cesky Telecom; France Telecom; UK; Nomura; Goldman Sachs; Royal Bank; BellSouth;,Cesky Telecom France Telecom UK Nomura Goldman Sachs Royal Bank BellSouth,2023-04-03 18:49:29.445615,No
10037,1052100,OOM.L^C06,2005-11-01,2005-10-31, Telefonica;,"Logic behind Telefonica's bid Mark Odell and Mark Mulligan find discrepancies in
the approach by the Spanish telecommunications operator for Britain's O2", Cesky Telecom; France Telecom; UK; Nomura; Goldman Sachs; Royal Bank; BellSouth;,Cesky Telecom France Telecom UK Nomura Goldman Sachs Royal Bank BellSouth,2023-04-03 18:49:35.463355,No
10038,1055484,OOM.L^C06,2005-11-23,2005-11-22, Telefonica;,Pay-outof Pounds 19m for O2 chiefs on takeover, UK;,UK,2023-04-03 18:49:51.735930,Yes
10039,1068779,OOM.L^C06,2006-02-22,2006-02-21, Telefonica;,"Telefonica faces antitrust probe *Telecommunications group accused of abusing
its position in broadband services *Retail prices in Spain well above EU average", European Commission; Commission; Microsoft;,European Commission Commission Microsoft,2023-04-03 18:50:04.897795,Yes
10040,1068838,OOM.L^C06,2006-02-22,2006-02-21, Telefonica;,EU to issue Telefonica with charges ANTITRUST CASE, European Commission; Commission; Microsoft;,European Commission Commission Microsoft,2023-04-03 18:50:16.939556,Yes
10041,1070245,OOM.L^C06,2006-03-01,2006-02-28, Telefonica;,Telefonica to consider sale of TPI unit TELECOMMUNICATIONS, UK; BellSouth; Cesky Telecom; Standard & Poor's lowered Telefonica; Moody's Baa1; TPI; Macquarie Capital Alliance; Yellow Brick Road; VNU; Apax Partners;,UK BellSouth Cesky Telecom Standard Poor s lowered Telefonica Moody s Baa TPI Macquarie Capital Alliance Yellow Brick Road VNU Apax Partners,2023-04-03 18:50:23.052581,No
