,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
12927,717495,REL.L,2000-10-19,2000-10-18, Reed Elsevier;,"INSIDE TRACK ENTERPRISE: Latecomer aims to learn from others' mistakes:
CORPORATE VENTURE CAPITAL: Reed Elsevier is to announce a Pounds 68m venture
fund for young internet businesses worldwide, says Katharine Campbell:", Corporate Venturing Report; Intel; Microsoft; Schroder Ventures;,Corporate Venturing Report Intel Microsoft Schroder Ventures,2023-04-04 11:38:25.847810,No
12928,722021,REL.L,2000-11-09,2000-11-08, Reed Elsevier;,"INTERNATIONAL PEOPLE: Reed Elsevier Ventures names Noble managing director
PEOPLE", US; Schroder Ventures;,US Schroder Ventures,2023-04-04 11:38:31.830118,No
12929,727407,REL.L,2000-12-05,2000-12-04, Reed Elsevier;,PEOPLE: FT Global 500 moves Reed Elsevier, Compaq; Compaq's Enterprise Solutions and Services Group;,Compaq Compaq s Enterprise Solutions and Services Group,2023-04-04 11:38:37.837568,No
12930,752393,REL.L,2001-04-11,2001-04-10, Reed Elsevier;,COMPANIES & FINANCE UK: Reed Elsevier shrugs off US contraction, US;,US,2023-04-04 11:39:02.274933,Yes
12931,773325,REL.L,2001-07-24,2001-07-23, Reed Elsevier;,Reed Elsevier bids for Vivendi unit, Vivendi;,Vivendi,2023-04-04 11:39:15.761231,Yes
12932,773384,REL.L,2001-07-24,2001-07-23, Reed Elsevier;,Reed Elsevier is front-runner for Vivendi division, VNU; BC Partners; Houghton Mifflin; US; Credit Lyonnais;,VNU BC Partners Houghton Mifflin US Credit Lyonnais,2023-04-04 11:39:27.062549,Yes
12933,776683,REL.L,2001-08-10,2001-08-09, Reed Elsevier;,"Reed Elsevier 'to meet earnings target a year early' MEDIA HARCOURT ACQUISITION
INSTRUMENTAL IN BEATING SCHEDULE FOR ACHIEVING DOUBLE-DIGIT EARNINGS GROWTH,
WHILE T:", Harcourt General; Science Direct;,Harcourt General Science Direct,2023-04-04 11:39:38.017557,Yes
12934,813940,REL.L,2002-02-22,2002-02-21, Reed Elsevier;,Reed Elsevier LEX COLUMN, Harcourt Science Technical and Medical; US;,Harcourt Science Technical and Medical US,2023-04-04 11:39:43.989054,No
12935,814015,REL.L,2002-02-22,2002-02-21, Reed Elsevier;,"Web sales at Reed Elsevier head for Pounds 1bn MEDIA TOTAL ELECTRONIC TURNOVER
REACHES Pounds 1.2BN AND ACCOUNTS FOR 27% OF TOTAL:", Elsevier PLC; Reed Elsevier NV;,Elsevier PLC Reed Elsevier NV,2023-04-04 11:39:49.960028,No
12936,830139,REL.L,2002-05-17,2002-05-16, Reed Elsevier;,Reed Elsevier to simplify listings NEWS DIGEST, PLC;,PLC,2023-04-04 11:39:55.908735,No
12937,845887,REL.L,2002-08-09,2002-08-08, Reed Elsevier;,"Of life, of death, and the profits of lawyers Reed Elsevier's solid results
LOMBARD - MARTIN DICKSON", US;,US,2023-04-04 11:40:12.122122,Yes
12938,847566,REL.L,2002-08-19,2002-08-18, Reed Elsevier;,Reed Elsevier LEX COLUMN, European; UK;,European UK,2023-04-04 11:40:25.840813,Yes
12939,851099,REL.L,2002-09-10,2002-09-09, Reed Elsevier;,The parable of the anarchists' annual meeting: Reed Elsevier and the OFT LOMBARD, Office of Fair Trading; UK;,Office of Fair Trading UK,2023-04-04 11:40:37.403842,Yes
12940,882565,REL.L,2003-02-21,2003-02-20, Reed Elsevier;,Reed Elsevier to stick with growth path, Education; US;,Education US,2023-04-04 11:40:49.795582,Yes
12941,891343,REL.L,2003-04-08,2003-04-07, Reed Elsevier;,Reed Elsevier chief's options NEWS DIGEST, US Securities and Exchange Commission;,US Securities and Exchange Commission,2023-04-04 11:41:01.371431,Yes
12942,914215,REL.L,2003-08-08,2003-08-07, Reed Elsevier;,Reed Elsevier THE LEX COLUMN:, UK;,UK,2023-04-04 11:41:17.554941,Yes
12943,914321,REL.L,2003-08-08,2003-08-07, Reed Elsevier;,Reed Elsevier warns of lost jobs as it seeks Pounds 90m in cuts, Reuters;,Reuters,2023-04-04 11:41:29.219867,Yes
12944,937925,REL.L,2003-12-05,2003-12-04, Reed Elsevier;,Reed Elsevier THE LEX COLUMN:, US;,US,2023-04-04 11:41:46.427572,Yes
12945,951872,REL.L,2004-02-20,2004-02-19, Reed Elsevier;,Reed Elsevier dismisses online publishing threat MEDIA:, US; US -;,US US,2023-04-04 11:42:12.231208,Yes
12946,963736,REL.L,2004-04-23,2004-04-22, Reed Elsevier;,"Post man not afraid of tough decisions: POSTAL SERVICES COMMISSION: Nigel
Stapleton, the regulator's new chairman, has already faced challenges at
Unilever, Reed Elsevier and Marc", Postal Services Commission; UK; Royal Mail; Deutsche Post; Royal Mail and TPG Post; Allied Domecq; John Mayo; Mr Mayo;,Postal Services Commission UK Royal Mail Deutsche Post Royal Mail and TPG Post Allied Domecq John Mayo Mr Mayo,2023-04-04 11:42:18.448799,No
12947,979764,REL.L,2004-07-15,2004-07-14, Reed Elsevier;,Reed Elsevier THE LEX COLUMN:, US;,US,2023-04-04 11:42:35.070451,Yes
12948,979768,REL.L,2004-07-15,2004-07-14, Reed Elsevier;,Reed Elsevier pays Dollars 775m to buy US-based Seisint, US; SNS Securities;,US SNS Securities,2023-04-04 11:42:41.174609,No
12949,998551,REL.L,2004-11-08,2004-11-07, Reed Elsevier;,Reed Elsevier buys into UK biotech firm PUBLISHING:, UK; House of Commons; US;,UK House of Commons US,2023-04-04 11:43:01.422126,Yes
12950,999820,REL.L,2004-11-16,2004-11-15, Reed Elsevier;,And finally... Reed Elsevier, Publisher;,Publisher,2023-04-04 11:43:13.573954,Yes
12951,1002754,REL.L,2004-12-03,2004-12-02, Reed Elsevier;,Reed Elsevier THE LEX COLUMN:, US;,US,2023-04-04 11:43:33.131405,Yes
12952,1013796,REL.L,2005-02-18,2005-02-17, Reed Elsevier;,Reed Elsevier THE LEX COLUMN:, European; US; US National Institutesof Health;,European US US National Institutesof Health,2023-04-04 11:43:39.340933,No
12953,1017063,REL.L,2005-03-10,2005-03-09, Reed Elsevier;,Security breached at Reed Elsevier data subsidiary, US; Federal Trade Commission; FTC; America Online; Standard & Poor's;,US Federal Trade Commission FTC America Online Standard Poor s,2023-04-04 11:43:50.433662,Yes
12954,1022307,REL.L,2005-04-13,2005-04-12, Reed Elsevier;,Reed Elsevier's estimate of identity-theft victims jumps, US; US Federal Trade Commission; ID; Numis Securities;,US US Federal Trade Commission ID Numis Securities,2023-04-04 11:43:56.398536,No
12955,1042324,REL.L,2005-08-30,2005-08-29, Reed Elsevier;,Reed Elsevier in Chinese venture NEWS DIGEST, China Pharmaceutical Exhibition Corporation.; CPEC;,China Pharmaceutical Exhibition Corporation CPEC,2023-04-04 11:44:02.385403,No
12956,1072318,REL.L,2006-03-15,2006-03-14, Reed Elsevier;,And finally . . . Reed Elsevier, AOL Broadband; Time Warner;,AOL Broadband Time Warner,2023-04-04 11:44:08.407630,No
12957,1126801,REL.L,2007-03-26,2007-03-25, Reed Elsevier;,Reed Elsevier fills technology gap PEOPLE, American International Group; US; Merrill Lynch; Anglo-Dutch;,American International Group US Merrill Lynch Anglo Dutch,2023-04-04 11:44:14.445754,No
12958,1134494,REL.L,2007-05-16,2007-05-15, Reed Elsevier;,Reed Elsevier paints attractive picture as buy-out prospect, International; ABN; LBO; HM Revenue and Customs; Hanson; Intercontinental Hotels Group; Barclay Brothers; Deutsche Bank; Morgan Stanley;,International ABN LBO HM Revenue and Customs Hanson Intercontinental Hotels Group Barclay Brothers Deutsche Bank Morgan Stanley,2023-04-04 11:44:25.552686,Yes
12959,1193756,REL.L,2008-04-24,2008-04-23, Reed Elsevier;,Reed Elsevier investors attack pay package, Financial Times; Reed Business Information; Variety; Estates Gazette;,Financial Times Reed Business Information Variety Estates Gazette,2023-04-04 11:44:36.617794,Yes
12960,1225660,REL.L,2008-11-05,2008-11-04, Reed Elsevier;,Taylor Woodrow chief to lead Reed Elsevier, Credit Suisse;,Credit Suisse,2023-04-04 11:44:48.501789,Yes
12961,1227475,REL.L,2008-11-14,2008-11-13, Reed Elsevier;,Reed Elsevier sale of RBI hangs in balance, Reed Business Information; RBI;,Reed Business Information RBI,2023-04-04 11:44:59.757008,Yes
12962,1231885,REL.L,2008-12-11,2008-12-10, Reed Elsevier;,Reed Elsevier drops RBI sale, Reed Business Information; RBI; Capital;,Reed Business Information RBI Capital,2023-04-04 11:45:11.194477,Yes
12963,1241889,REL.L,2009-02-16,2009-02-15, Reed Elsevier;,Reed Elsevier closes in on $2bn loan deal," Barclays and Royal Bank; Reed Business Information UK,; Estate's Gazette;",Barclays and Royal Bank Reed Business Information UK Estate s Gazette,2023-04-04 11:45:23.306040,Yes
12964,1242211,REL.L,2009-02-18,2009-02-17, Reed Elsevier;,Reed Elsevier refinancing seen as 'good housekeeping', Barclays; Royal Bank; UBS; Bank of America; BNP Paribas; Blue Oar Securities; Reed Business Information;,Barclays Royal Bank UBS Bank of America BNP Paribas Blue Oar Securities Reed Business Information,2023-04-04 11:45:29.325988,No
12965,1242279,REL.L,2009-02-18,2009-02-17, Reed Elsevier;,Reed Elsevier's new dealmaker, Reed Business Information; General Healthcare; Wolters Kluwer; Oxford; Shell.; Harvard;,Reed Business Information General Healthcare Wolters Kluwer Oxford Shell Harvard,2023-04-04 11:45:35.392299,No
12966,1242885,REL.L,2009-02-20,2009-02-19, Reed Elsevier;,Reed Elsevier chief to exit on a top note, Reed Business Information; RBI; Variety and Estates Gazette;,Reed Business Information RBI Variety and Estates Gazette,2023-04-04 11:45:54.034912,Yes
12967,1251382,REL.L,2009-04-16,2009-04-15, Reed Elsevier;,Reed Elsevier turns higher in wake of broker confidence, Goldman Sachs; Thomson; Reuters; TR; Imperial Tobacco; Land Securities; Credit Suisse; Royal Dutch Shell;,Goldman Sachs Thomson Reuters TR Imperial Tobacco Land Securities Credit Suisse Royal Dutch Shell,2023-04-04 11:46:10.625078,Yes
12968,1278989,REL.L,2009-10-28,2009-10-27, Reed Elsevier;,Reed Elsevier rises on recovery signs at US legal rivals, BNP Paribas; US; GSK; Home Retail Group; Barclays Capital; European; Royal Bank; Lloyds Banking Group; Sky News; Treasury; Lloyds; Barclays; Standard Chartered; TPG;,BNP Paribas US GSK Home Retail Group Barclays Capital European Royal Bank Lloyds Banking Group Sky News Treasury Lloyds Barclays Standard Chartered TPG,2023-04-04 11:46:21.782108,Yes
12969,1281415,REL.L,2009-11-12,2009-11-11, Reed Elsevier;,Reed Elsevier chief quits amid claim role was 'not right for him', Sir; City; Bernstein Research;,Sir City Bernstein Research,2023-04-04 11:46:32.848983,Yes
12970,1281522,REL.L,2009-11-12,2009-11-11, Reed Elsevier;,Reed Elsevier, UK; Thomson; Reuters;,UK Thomson Reuters,2023-04-04 11:46:44.106235,Yes
12971,1311880,REL.L,2010-06-28,2010-06-27, Reed Elsevier;,"View from the Top: Anthony Habgood, Chairman, Reed Elsevier", News Corp; News Corp bid; Bloomberg; UK;,News Corp News Corp bid Bloomberg UK,2023-04-04 11:46:50.072453,No
12972,1315882,REL.L,2010-07-30,2010-07-29, Reed Elsevier;,Exhibition revivalhelps Reed Elsevier exceed forecasts, US; Bloomberg Law;,US Bloomberg Law,2023-04-04 11:47:01.412480,Yes
12973,1365722,REL.L,2011-09-01,2011-08-31, Reed Elsevier;,Shareholders call for Reed Elsevier reshuffle, Financial Times; All; Share Media; Reed Business Information;,Financial Times All Share Media Reed Business Information,2023-04-04 11:47:16.426698,Yes
12974,1369048,REL.L,2011-09-27,2011-09-26, Reed Elsevier;,Engstrom makes his mark as Reed Elsevier buys Accuity, Accuity Holdings; US for; UK Bankers; LexisNexis Risk Solutions; Barclays Capital; Thomson Media -; American Banker and Accounting Today; Reed Business Information; US; RBI;,Accuity Holdings US for UK Bankers LexisNexis Risk Solutions Barclays Capital Thomson Media American Banker and Accounting Today Reed Business Information US RBI,2023-04-04 11:47:22.542287,No
12975,1375663,REL.L,2011-11-17,2011-11-16, Reed Elsevier;,Reed Elsevier bolstered by digital demand, RBI;,RBI,2023-04-04 11:47:37.452943,Yes
12976,1383477,REL.L,2012-01-27,2012-01-26, Reed Elsevier;,Reed Elsevier resists investor pressure to offload divisions this year, Lexis-Nexis Legal & Professional; Bernstein Research; US business-to-business; FTSE All-Share Media; US; Thomson Reuters Westlaw; Bloomberg; BNA; BNA.; Morgan Stanleyhas; Morgan Stanley; Reed Business Information; Reed;,Lexis Nexis Legal Professional Bernstein Research US business to business FTSE All Share Media US Thomson Reuters Westlaw Bloomberg BNA BNA Morgan Stanleyhas Morgan Stanley Reed Business Information Reed,2023-04-04 11:47:43.587223,No
12977,1385964,REL.L,2012-02-17,2012-02-16, Reed Elsevier;,Reed Elsevier chief hits back at critics of science division, US publishing; Bernstein Research;,US publishing Bernstein Research,2023-04-04 11:47:54.967003,Yes
12978,1544641,REL.L,2016-08-03,2016-08-02, RELX;,RELX: give yield a chance, Procter & Gamble; RELX;,Procter Gamble RELX,2023-04-04 11:48:06.115532,Yes
12979,1565199,REL.L,2017-04-13,2017-04-12, Reed Elsevier;,Sit back and Relx, Farmers Weekly;,Farmers Weekly,2023-04-04 11:48:17.076687,Yes
