,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
13020,708219,RIO.L,2000-09-04,2000-09-03, Rio Tinto;,SHORTS: Rio Tinto cites law in Ashton fight, UK; De Beers;,UK De Beers,2023-04-04 11:55:14.776325,Yes
13021,708228,RIO.L,2000-09-04,2000-09-03, Rio Tinto;,COMPANIES & FINANCE: INTERNATIONAL: Rio Tinto cites law in Ashton contest, UK; Australian; Ashton; De Beers; Ashton's share; Ashton's marketing; Ashton's; Argyle Diamond Sales; Ashton.;,UK Australian Ashton De Beers Ashton s share Ashton s marketing Ashton s Argyle Diamond Sales Ashton,2023-04-04 11:55:30.751907,Yes
13022,721342,RIO.L,2000-11-07,2000-11-06, Rio Tinto;,LEX COLUMN: Rio Tinto LEX COLUMN, Ashton Mining; De Beers; Malaysia Mining Corporation; Ashton; US; Ashton's share; Aber Resources;,Ashton Mining De Beers Malaysia Mining Corporation Ashton US Ashton s share Aber Resources,2023-04-04 11:55:42.123046,Yes
13023,721438,RIO.L,2000-11-07,2000-11-06, Rio Tinto;,"COMPANIES & FINANCE INTERNATIONAL: Rio Tinto beats De Beers to Ashton control
MINING SOUTH AFRICAN DIAMOND GIANT LOSES CAMPAIGN TO EXTEND SOURCES OF SUPPLY:", De Beers; Canadian Winspear; Ashton; Ashton's; Malaysian Mining Corporation; MMC; US;,De Beers Canadian Winspear Ashton Ashton s Malaysian Mining Corporation MMC US,2023-04-04 11:55:48.123178,No
13024,730635,RIO.L,2000-12-21,2000-12-20, Rio Tinto;,"COMMODITIES & AGRICULTURE: Rio Tinto to develop deposit in Zimbabwe DIAMONDS
FEASIBILITY STUDY CONFIRMS MINING RESERVE OF 16.5m TONNES AT A GRADE OF 0.9
CARATS PER TONNE:", BHP; Dia Met Minerals; Lac; Northwest Territories;,BHP Dia Met Minerals Lac Northwest Territories,2023-04-04 11:55:59.425642,Yes
13025,731517,RIO.L,2000-12-28,2000-12-27, Rio Tinto;,"COMMODITIES & AGRICULTURE: Rio Tinto buys into five Australian mines COAL
ACQUISITION OF PEABODY INTERESTS ROUNDS OFF YEAR OF CONSOLIDATION:", UK; US; Australian; South Wales; Allied Industries; Shell; QCT Resources; Colombia; BHP; Enron;,UK US Australian South Wales Allied Industries Shell QCT Resources Colombia BHP Enron,2023-04-04 11:56:05.447598,No
13026,738413,RIO.L,2001-02-05,2001-02-04, Rio Tinto;,COMPANIES & FINANCE ASIA-PACIFIC: Rio Tinto dispute goes to court NEWS DIGEST," Mitsui & Co, Nippon Steel; Sumitomo Metal Industries; River Iron Associates; Australian;",Mitsui Co Nippon Steel Sumitomo Metal Industries River Iron Associates Australian,2023-04-04 11:56:16.545472,Yes
13027,744608,RIO.L,2001-03-05,2001-03-04, Rio Tinto;,COMPANIES & FINANCE UK: Rio Tinto's ore deal prolonged, Labrador Iron Ore Royalty Income Fund; 18.9; CIBC World Markets;,Labrador Iron Ore Royalty Income Fund CIBC World Markets,2023-04-04 11:56:27.991428,Yes
13028,745917,RIO.L,2001-03-12,2001-03-11, Rio Tinto;,COMPANIES & FINANCE UK: Rio Tinto in spat over fund valuation, CIBC World Markets; Labrador Iron Ore Royalty Income Fund; Australian;,CIBC World Markets Labrador Iron Ore Royalty Income Fund Australian,2023-04-04 11:56:34.217367,No
13029,747766,RIO.L,2001-03-20,2001-03-19, Rio Tinto;,"COMPANIES & FINANCE UK AND IRELAND: Rio Tinto to sell Australian wood group for
Pounds 115m", North Forest Products; Energy Resources;,North Forest Products Energy Resources,2023-04-04 11:56:40.429549,No
