,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
13216,1011578,RSL.L^E08,2005-02-04,2005-02-03, Resolution;,Resolution Life joins HHG fray, HHG; HHG Life Services; GE Insurance Holdings Europe; National Provident Life; Resolution; Financial Services Authority; FSA;,HHG HHG Life Services GE Insurance Holdings Europe National Provident Life Resolution Financial Services Authority FSA,2023-04-04 12:29:33.356238,No
13217,1011585,RSL.L^E08,2005-02-04,2005-02-03, Resolution;,Resolution eyes a Pearl of uncertain price: MARTIN DICKSON - LOMBARD, General Electric; HHG; Financial Services Authority;,General Electric HHG Financial Services Authority,2023-04-04 12:29:44.618873,Yes
13218,1085370,RSL.L^E08,2006-06-08,2006-06-07, Pearl Group;,High Resolution LEX COLUMN, Pearl Group;,Pearl Group,2023-04-04 12:29:55.879376,Yes
13219,1085414,RSL.L^E08,2006-06-08,2006-06-07, Resolution;,"Resolution in Pounds 3.6bn Abbey deal *Acquisition of closed life funds will
boost assets*Extra 2m customers added to policyholder base", General Electric; Oriel Securities; Goldman Sachs; Lazard.;,General Electric Oriel Securities Goldman Sachs Lazard,2023-04-04 12:30:07.114862,Yes
13220,1106861,RSL.L^E08,2006-11-06,2006-11-05, Pearl Group;,Pearl Group flags plan for deals 'in excess of Pounds 7bn', Pearl Group; Life Services; HHG;,Pearl Group Life Services HHG,2023-04-04 12:30:13.060897,No
13221,1107804,RSL.L^E08,2006-11-14,2006-11-13, Resolution;,"Resolution admits to discussions *Early talks about 'range of transactions'
*Takeover Panel believed to have forced statement *Share price increases 5 per
cent", Prudential; Standard Life; Zurich Financial Services; Lloyds; TSB; UK;,Prudential Standard Life Zurich Financial Services Lloyds TSB UK,2023-04-04 12:30:24.381153,Yes
13222,1113270,RSL.L^E08,2006-12-18,2006-12-17, Pearl Group;,Pearl Group to increase risk profile of its funds, Pearl Group; Sun Capital Partners; TDR Capital; Sun Capital;,Pearl Group Sun Capital Partners TDR Capital Sun Capital,2023-04-04 12:30:30.375968,No
13223,1116114,RSL.L^E08,2007-01-15,2007-01-14, Pearl Group;,Pearl Group policyholders set for Pounds 500m LIFE ASSURANCE, Pearl Group; Sun Capital Partners; TDR Capital; Sun Capital;,Pearl Group Sun Capital Partners TDR Capital Sun Capital,2023-04-04 12:30:36.369403,No
13224,1132707,RSL.L^E08,2007-05-04,2007-05-03, Resolution;,UK AND IRELAND: Resolution reveals a Pounds 4.8m pay-off for Paul Thompson, BP;,BP,2023-04-04 12:30:48.788406,Yes
13225,1144373,RSL.L^E08,2007-07-24,2007-07-23, Resolution;,Friends in need of Resolution's cash, UK; Standard Life; Oriel Securities;,UK Standard Life Oriel Securities,2023-04-04 12:30:59.979163,Yes
13226,1145938,RSL.L^E08,2007-08-03,2007-08-02, Pearl Group;,Resolution seeks clarity on Osmond, Pearl Group;,Pearl Group,2023-04-04 12:31:14.940483,Yes
13227,1147269,RSL.L^E08,2007-08-16,2007-08-15, Pearl Group;,Osmond eyes next move on Resolution, Pearl Group; Resolution; Standard Life;,Pearl Group Resolution Standard Life,2023-04-04 12:31:33.065238,Yes
13228,1151788,RSL.L^E08,2007-09-19,2007-09-18, Pearl Group;,"No merger doubt, says Resolution", Pearl Group; EEV;,Pearl Group EEV,2023-04-04 12:31:44.528732,Yes
13229,1158996,RSL.L^E08,2007-10-25,2007-10-24, Resolution;,Deadline nears for Resolution approach, Standard Life; Standard; Oriel Securities;,Standard Life Standard Oriel Securities,2023-04-04 12:31:55.795584,Yes
13230,1159495,RSL.L^E08,2007-10-26,2007-10-25, Pearl Group;,Standard Life fights to get Resolution offer approved, Standard Life; Pearl Group; 16.5;,Standard Life Pearl Group,2023-04-04 12:32:08.284185,Yes
13231,1159496,RSL.L^E08,2007-10-26,2007-10-25, Resolution;,Resolution twist puts Panel on the spot, Standard Life;,Standard Life,2023-04-04 12:32:22.179259,Yes
13232,1160011,RSL.L^E08,2007-10-29,2007-10-28, Resolution;,Standard loses Resolution's blessing on bid, Standard Life; Resolution; Standard;,Standard Life Resolution Standard,2023-04-04 12:32:33.781908,Yes
13233,1161956,RSL.L^E08,2007-11-07,2007-11-06, Pearl Group;,Swiss Re silent on Resolution battle, Standard Life and Pearl Group; Standard Life;,Standard Life and Pearl Group Standard Life,2023-04-04 12:32:45.259004,Yes
13234,1163177,RSL.L^E08,2007-11-12,2007-11-11, Pearl Group;,Osmond on brink of Resolution victory as Standard bows out, Resolution Life; Standard Life; 691p; Pearl Group; Standard;,Resolution Life Standard Life p Pearl Group Standard,2023-04-04 12:32:51.242725,No
13235,1163283,RSL.L^E08,2007-11-12,2007-11-11, Pearl Group;,Osmond set to win battle for Resolution, Resolution Life; Standard Life; Pearl Group; Standard; UK; Standard Life board;,Resolution Life Standard Life Pearl Group Standard UK Standard Life board,2023-04-04 12:33:02.934042,Yes
13236,1162963,RSL.L^E08,2007-11-13,2007-11-12, Pearl Group;,Cowdery plans life after Resolution, Standard Life; Pearl Group;,Standard Life Pearl Group,2023-04-04 12:33:15.364044,Yes
13237,1170031,RSL.L^E08,2007-12-17,2007-12-16, Pearl Group;,FSA probing takeover of Resolution Life, Financial Services Authority; Resolution Life; Standard Life; FSA; Pounds; Pearl Group; Standard;,Financial Services Authority Resolution Life Standard Life FSA Pounds Pearl Group Standard,2023-04-04 12:33:21.386628,No
13238,1180222,RSL.L^E08,2008-02-12,2008-02-11, Pearl Group;,Resolution deal suffers a second delay, Pearl Group; Financial Services Authority; FSA; Standard Lifewalked; Standard Life;,Pearl Group Financial Services Authority FSA Standard Lifewalked Standard Life,2023-04-04 12:33:32.970643,Yes
