,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
13878,772791,SGC.L,2001-07-20,2001-07-19, Stagecoach;,Stagecoach hopes US chief will help it turn a corner, US; Allied Holdings; Ryder; Allied;,US Allied Holdings Ryder Allied,2023-04-04 14:25:17.238346,Yes
13879,800450,SGC.L,2001-12-07,2001-12-06, Stagecoach;,US Stagecoach chief to go, US Stagecoach; US;,US Stagecoach US,2023-04-04 14:25:29.419963,Yes
13880,826542,SGC.L,2002-04-30,2002-04-29, Stagecoach;,"Stagecoach's troubles continue in US TRANSPORT DIVISION STILL AFFECTED BY
AFTERMATH OF SEPTEMBER 11:", US; Virgin Group;,US Virgin Group,2023-04-04 14:25:40.995477,Yes
13881,858907,SGC.L,2002-10-18,2002-10-17, Stagecoach;,"Moody's downgrades Stagecoach bonds TRANSPORT TOO SOON TO COMMENT ON THE OUTCOME
OF COMPANY'S US BUSINESS REVIEW:", US; UK; Moody; Royal Bank; JP Morgan; Standard & Poor's rates Stagecoach BBB;,US UK Moody Royal Bank JP Morgan Standard Poor s rates Stagecoach BBB,2023-04-04 14:25:47.342873,No
13882,859922,SGC.L,2002-10-24,2002-10-23, Stagecoach;,Stagecoach in US: bad news keeps on rollin' in: MARTIN DICKSON - LOMBARD, UK; US; Standard & Poor's and Moody's.; CSFB;,UK US Standard Poor s and Moody s CSFB,2023-04-04 14:26:03.012296,Yes
13883,868586,SGC.L,2002-12-05,2002-12-04, Stagecoach;,American dream ends for Stagecoach:, National Express; First Group; UK; BNP Paribas;,National Express First Group UK BNP Paribas,2023-04-04 14:26:09.160975,No
13884,926774,SGC.L,2003-10-14,2003-10-13, Stagecoach;,UK: Moody's lifts Stagecoach debt to 'rising star' status, Moody's Investors Service; Standard & Poor's; European; Moody;,Moody s Investors Service Standard Poor s European Moody,2023-04-04 14:26:31.067504,Yes
13885,953439,SGC.L,2004-03-01,2004-02-29, Stagecoach Group;,"Buses take Stagecoach 'back to roots': Chief believes its new no-frills service
shows that the group is once again demonstrating innovative thinking, writes
Robert Wright", Stagecoach Group; Financial Times; US; UK; Virgin Group; National Express;,Stagecoach Group Financial Times US UK Virgin Group National Express,2023-04-04 14:26:37.232390,No
13886,975706,SGC.L,2004-06-24,2004-06-23, Stagecoach Group;,Stagecoach Group expects new rail deal with Virgin, Stagecoach Group;,Stagecoach Group,2023-04-04 14:26:43.446477,No
13887,975706,SGC.L,2004-06-24,2004-06-23, Stagecoach Group;,Stagecoach Group expects new rail deal with Virgin, Stagecoach Group;,Stagecoach Group,2023-04-04 14:26:49.572076,No
13888,975794,SGC.L,2004-06-24,2004-06-23, Stagecoach Group;,Stagecoach expects new Virgin deal TRANSPORT:, Stagecoach Group; Strategic Rail Authority; Virgin West; Virgin;,Stagecoach Group Strategic Rail Authority Virgin West Virgin,2023-04-04 14:26:55.748857,No
13889,1088562,SGC.L,2006-06-29,2006-06-28, Stagecoach;,Stagecoach hints at higher bus fares to cover fuel cost rises TRAVEL & LEISURE, Stagecoach; UK; Royal Bank; AB Ports;,Stagecoach UK Royal Bank AB Ports,2023-04-04 14:27:01.933883,No
13890,1148094,SGC.L,2007-08-23,2007-08-22, Stagecoach Group;,Rail revenue helps Stagecoach outlook, Stagecoach Group; Virgin Rail Group; Investec Securities; Pounds;,Stagecoach Group Virgin Rail Group Investec Securities Pounds,2023-04-04 14:27:08.063284,No
13891,1160978,SGC.L,2007-11-02,2007-11-01, Stagecoach;,Stagecoach to beat forecasts, Virgin Rail Group; Deutsche Bank;,Virgin Rail Group Deutsche Bank,2023-04-04 14:27:19.479158,Yes
