,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
13905,748305,SGRO.L,2001-03-22,2001-03-21, Slough Estates;,COMPANIES & FINANCE UK: Slough Estates expects 'weakness', Slough Estates; US;,Slough Estates US,2023-04-04 14:30:10.711347,Yes
13906,759744,SGRO.L,2001-05-18,2001-05-17, Slough Estates;,Moving places Slough Estates, Slough Estates; Cookson Group;,Slough Estates Cookson Group,2023-04-04 14:30:16.672183,No
13907,887790,SGRO.L,2003-03-20,2003-03-19, Slough Estates;,Slough Estates gives sector a boost, Slough Estates; US; Canary Wharf Group; Land Securities and British Land; 519p; UK;,Slough Estates US Canary Wharf Group Land Securities and British Land p UK,2023-04-04 14:30:22.686574,No
13908,915286,SGRO.L,2003-08-15,2003-08-14, Slough Estates;,"Moving far from 'the dump': Slough Estates has come a long way since 1920. Now
there is pressure for it to sell its assets in the US, where it is landlord to
Pfizer, the world's largest pharmaceutical company", Slough Estates; US; Pfizer; JP Morgan; Oriel Securities; UK;,Slough Estates US Pfizer JP Morgan Oriel Securities UK,2023-04-04 14:30:28.711050,No
13909,967461,SGRO.L,2004-05-12,2004-05-11, Slough Estates;,Slough Estates suffers backlash on executive pay REAL ESTATE:, Slough Estates; BAE Systems; WPP;,Slough Estates BAE Systems WPP,2023-04-04 14:30:34.661586,No
13910,987186,SGRO.L,2004-08-25,2004-08-24, Slough Estates;,Land Securities and Slough Estates to swap portfolios, Land Securities and Slough Estates; Land Securities; Helios Properties; JP Morgan;,Land Securities and Slough Estates Land Securities Helios Properties JP Morgan,2023-04-04 14:30:46.072846,Yes
13911,990020,SGRO.L,2004-09-15,2004-09-14, Slough Estates;,And finally... Slough Estates, Slough Estates;,Slough Estates,2023-04-04 14:30:52.372906,No
13912,1001207,SGRO.L,2004-11-24,2004-11-23, Slough Estates;,Slough Estates poaches Wagon man PEOPLE, Slough Estates; Land Securities; Partners;,Slough Estates Land Securities Partners,2023-04-04 14:30:58.578372,No
13913,1059915,SGRO.L,2005-12-19,2005-12-18, Slough Estates;,And finally Slough Estates, Slough Estates;,Slough Estates,2023-04-04 14:31:04.980071,No
13914,1073765,SGRO.L,2006-03-23,2006-03-22, Slough Estates;,Slough Estates beats forecasts as portfolio value rises to  Pounds 5.1bn, Slough Trading Estate; Slough Estates;,Slough Trading Estate Slough Estates,2023-04-04 14:31:11.135073,No
13915,1124589,SGRO.L,2007-03-09,2007-03-08, Slough Estates;,Slough Estates business parks fall behind REAL ESTATE, Slough Estates; UK; Investment Property Databank; Treasury; US; US Reit;,Slough Estates UK Investment Property Databank Treasury US US Reit,2023-04-04 14:31:17.436000,No
13916,1131042,SGRO.L,2007-04-25,2007-04-24, Slough Estates;,Takeover rumours help Slough Estates outperform peers, Slough Estates; Land Securities; US; Yell Group; Yellow Pages; Deutsche Bank; Deutsche; Morgan Stanley; Delta; Qatar Investment Authority; Standard Chartered; Credit Suisse; Corn Products International;,Slough Estates Land Securities US Yell Group Yellow Pages Deutsche Bank Deutsche Morgan Stanley Delta Qatar Investment Authority Standard Chartered Credit Suisse Corn Products International,2023-04-04 14:31:23.663288,No
13917,1131447,SGRO.L,2007-04-26,2007-04-25, Slough Estates;,Bid rumours boost Slough Estates, Slough Estates; Economic Zones World;,Slough Estates Economic Zones World,2023-04-04 14:31:29.809497,No
13918,1137507,SGRO.L,2007-06-05,2007-06-04, Slough Estates;,Segro quits US and grows in Europe, Slough Estates; Health Care Property Investors; HCPI; US; Genentech; Financial Times;,Slough Estates Health Care Property Investors HCPI US Genentech Financial Times,2023-04-04 14:31:36.113218,No
13919,1148850,SGRO.L,2007-08-30,2007-08-29, Slough Estates;,Segro European business outpaces UK portfolio, UK; Slough Estates; NAV;,UK Slough Estates NAV,2023-04-04 14:31:42.222235,No
13920,1185279,SGRO.L,2008-03-07,2008-03-06, Slough Estates;,Segro hit by rapid fall in commercial property, Slough Estates; UK; European;,Slough Estates UK European,2023-04-04 14:32:03.880268,Yes
13921,1261494,SGRO.L,2009-06-23,2009-06-22, Slough Estates;,Segro in deeply discounted offer for rival Brixton, Slough Estates;,Slough Estates,2023-04-04 14:32:25.168234,Yes
13922,1287688,SGRO.L,2009-12-31,2009-12-30, Segro;,Segro completes transformation, Segro; Bath Road;,Segro Bath Road,2023-04-04 14:32:36.615417,Yes
