,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
13960,709116,SKYB.L,2000-09-07,2000-09-06, British Sky Broadcasting;,SHORTS: BSkyB to sell new wave of TVs, British Sky Broadcasting;,British Sky Broadcasting,2023-04-04 14:39:05.528953,Yes
13961,709116,SKYB.L,2000-09-07,2000-09-06, British Sky Broadcasting;,SHORTS: BSkyB to sell new wave of TVs, British Sky Broadcasting;,British Sky Broadcasting,2023-04-04 14:39:17.498443,Yes
13962,716368,SKYB.L,2000-10-13,2000-10-12, BSkyB;,COMPANIES & FINANCE UK: BSkyB gets full control of Open NEWS DIGEST, British Interactive Broadcasting;,British Interactive Broadcasting,2023-04-04 14:39:28.941041,Yes
13963,716368,SKYB.L,2000-10-13,2000-10-12, BSkyB;,COMPANIES & FINANCE UK: BSkyB gets full control of Open NEWS DIGEST, British Interactive Broadcasting;,British Interactive Broadcasting,2023-04-04 14:39:40.337373,Yes
13964,727354,SKYB.L,2000-12-05,2000-12-04, British Sky Broadcasting;,"COMPANIES & FINANCE UK AND IRELAND: Harrods in digital TV link with BSkyB MEDIA
BROADCASTER TO RUN INTERACTIVE SHOPPING 'DOCUSOAP' ON LUXURY RETAILER:", British Sky Broadcasting; QVC;,British Sky Broadcasting QVC,2023-04-04 14:39:51.701733,Yes
13965,727354,SKYB.L,2000-12-05,2000-12-04, British Sky Broadcasting;,"COMPANIES & FINANCE UK AND IRELAND: Harrods in digital TV link with BSkyB MEDIA
BROADCASTER TO RUN INTERACTIVE SHOPPING 'DOCUSOAP' ON LUXURY RETAILER:", British Sky Broadcasting; QVC;,British Sky Broadcasting QVC,2023-04-04 14:40:03.180162,Yes
13966,727637,SKYB.L,2000-12-06,2000-12-05, British Sky Broadcasting;,FRONT PAGE - COMPANIES & MARKETS: BSkyB faces new probe into pay-TV supply, Office of Fair Trading; British Sky Broadcasting; Carlton Communications; OFT;,Office of Fair Trading British Sky Broadcasting Carlton Communications OFT,2023-04-04 14:40:14.552439,Yes
13967,727637,SKYB.L,2000-12-06,2000-12-05, British Sky Broadcasting;,FRONT PAGE - COMPANIES & MARKETS: BSkyB faces new probe into pay-TV supply, Office of Fair Trading; British Sky Broadcasting; Carlton Communications; OFT;,Office of Fair Trading British Sky Broadcasting Carlton Communications OFT,2023-04-04 14:40:25.890363,Yes
13968,735928,SKYB.L,2001-01-24,2001-01-23, British Sky Broadcasting;,SHORTS: BSkyB consortium eyes news deal, British Sky Broadcasting;,British Sky Broadcasting,2023-04-04 14:40:31.875165,No
13969,735928,SKYB.L,2001-01-24,2001-01-23, British Sky Broadcasting;,SHORTS: BSkyB consortium eyes news deal, British Sky Broadcasting;,British Sky Broadcasting,2023-04-04 14:40:37.860981,No
