,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
14845,905015,SRP.L,2003-06-18,2003-06-17, Serco;,Serco rally starts to lose momentum, Morgan Stanley; Custodial Group; PFI;,Morgan Stanley Custodial Group PFI,2023-04-05 18:44:55.821508,No
14846,918703,SRP.L,2003-09-04,2003-09-03, Serco;,UK: Orders at Serco rise to Pounds 9.9bn, PFI;,PFI,2023-04-05 18:45:06.930068,Yes
14847,952800,SRP.L,2004-02-26,2004-02-25, Serco Group;,Reliance and Serco in line for prison contracts SUPPORT SERVICES:, HM Prison Service; Serco Group; Reliance Security Group; Prison Service; UK; Custodial Group; Secure Task Management Ltd; South Wales; Investec Securities;,HM Prison Service Serco Group Reliance Security Group Prison Service UK Custodial Group Secure Task Management Ltd South Wales Investec Securities,2023-04-05 18:45:13.068445,No
14848,1122962,SRP.L,2007-03-01,2007-02-28, Serco;,Serco boosted by contract renewals and overseas wins SUPPORT SERVICES, Royal Navy; UK Defence; Science and Technology Laboratories; US Navy; PFI; US;,Royal Navy UK Defence Science and Technology Laboratories US Navy PFI US,2023-04-05 18:45:19.101793,No
14849,1149357,SRP.L,2007-09-03,2007-09-02, Serco;,Serco chief's smooth move to solo, Formula One; US; Nuclear Decommissioning Authority; Oriel Securities;,Formula One US Nuclear Decommissioning Authority Oriel Securities,2023-04-05 18:45:25.101847,No
14850,1343005,SRP.L,2011-03-03,2011-03-02, Serco;,Static UK prompts Serco to seek international expansion, US; US-based SRA International;,US US based SRA International,2023-04-05 18:45:36.318991,Yes
14851,1402192,SRP.L,2012-07-03,2012-07-02, Serco;,Serco leaves Germany to go east, Vertex Public Sector; UK; Vertex Data Science Limited; IT; European Space Agency;,Vertex Public Sector UK Vertex Data Science Limited IT European Space Agency,2023-04-05 18:45:47.585076,Yes
14852,1407928,SRP.L,2012-08-30,2012-08-29, Serco;,Serco US profits hit by budget stalemate, Congress; US; US Congress; UK;,Congress US US Congress UK,2023-04-05 18:45:58.542403,Yes
14853,1429188,SRP.L,2013-03-06,2013-03-05, Serco;,Sunny Serco, US;,US,2023-04-05 18:46:16.873106,Yes
14854,1455926,SRP.L,2013-11-14,2013-11-13, Serco;,Serco has £4bn grip on defence spending, Ministry of Defence; Financial Times; RAF; UK; Serious Fraud Office; Jacobs Engineering; Lockheed Martin; SFO; RAF Cranwell; RBC Capital Markets; Institute of Government;,Ministry of Defence Financial Times RAF UK Serious Fraud Office Jacobs Engineering Lockheed Martin SFO RAF Cranwell RBC Capital Markets Institute of Government,2023-04-05 18:46:28.656044,Yes
14855,1463713,SRP.L,2014-01-31,2014-01-30, Serco;,Serco shares plunge after warning contract difficulties will hit profits, Serious Fraud Office; Cabinet Office;,Serious Fraud Office Cabinet Office,2023-04-05 18:46:34.663767,No
14856,1464544,SRP.L,2014-02-07,2014-02-06, Serco;,Serco misses out on rally after Investec warns of a value trap, Credit Suisse; Purdue; RB Pharma; Merck; Apple; Morgan Stanley;,Credit Suisse Purdue RB Pharma Merck Apple Morgan Stanley,2023-04-05 18:46:52.518368,Yes
