,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
14857,823749,SSE.L,2002-04-15,2002-04-14, SSE;,SSE helps out in a crisis ON CAMPUS, Stockholm School of Economics; Crisis Management Academy; SSE;,Stockholm School of Economics Crisis Management Academy SSE,2023-04-05 18:46:58.618370,No
14858,1108481,SSE.L,2006-11-16,2006-11-15, SSE;,SSE is not interested in consolidation, Southern Energy; SSE;,Southern Energy SSE,2023-04-05 18:47:09.707256,Yes
14859,1123868,SSE.L,2007-03-06,2007-03-05, SSE;,SSE to raise dividend 18 per cent in new pay-out policy ELECTRICITY, Southern Energy; SSE;,Southern Energy SSE,2023-04-05 18:47:20.866639,Yes
14860,1123954,SSE.L,2007-03-06,2007-03-05, SSE;,SSE's added energy LOMBARD ANDREW HILL, Southern Energy; SSE;,Southern Energy SSE,2023-04-05 18:47:32.240771,Yes
14861,1188487,SSE.L,2008-03-27,2008-03-26, SSE;,Purchase puts more wind into SSE's sales, Southern Energy; SSE; 250MW;,Southern Energy SSE MW,2023-04-05 18:47:38.230686,No
14862,1199786,SSE.L,2008-05-30,2008-05-29, SSE;,SSE sees fresh increase in fuel bills, Southern Energy; SSE;,Southern Energy SSE,2023-04-05 18:47:49.334961,Yes
14863,1209008,SSE.L,2008-07-25,2008-07-24, SSE;,"Domestic energy bills set to rise, SSE warns", Southern Energy; Global; UK; SSE;,Southern Energy Global UK SSE,2023-04-05 18:48:00.401604,Yes
14864,1225479,SSE.L,2008-11-04,2008-11-03, SSE;,SSE in £308m wind farm deal with RWE, Southern Energy; Greater Gabbard; RWE Innogy; SSE; UK; 600MW; Shell; Dong Energy; Morgan Stanley;,Southern Energy Greater Gabbard RWE Innogy SSE UK MW Shell Dong Energy Morgan Stanley,2023-04-05 18:48:06.461929,No
14865,1227217,SSE.L,2008-11-13,2008-11-12, SSE;,SSE eyes reducing utility tariffs, UK; SSE; Great Gabbard;,UK SSE Great Gabbard,2023-04-05 18:48:17.601590,Yes
14866,1256968,SSE.L,2009-05-22,2009-05-21, SSE;,SSE voices fears over Centrica's EDF deal, Southern Energy; Financial Times; SSE; Office of Fair Trading;,Southern Energy Financial Times SSE Office of Fair Trading,2023-04-05 18:48:36.965184,Yes
14867,1308306,SSE.L,2010-06-02,2010-06-01, SSE;,SSE interest wanes in EDF's UK assets, Southern Energy; EDF; National Grid; SSE;,Southern Energy EDF National Grid SSE,2023-04-05 18:48:43.013750,No
14868,1368486,SSE.L,2011-09-22,2011-09-21, SSE;,SSE poised to quit nuclear plant build, Southern Energy; UK; SSE;,Southern Energy UK SSE,2023-04-05 18:48:54.153476,Yes
14869,1371132,SSE.L,2011-10-13,2011-10-12, SSE;,Small suppliers criticise SSE decision," Southern Energy; SSE; UK; 60,000; First Utility; Co-operative Energy;",Southern Energy SSE UK First Utility Co operative Energy,2023-04-05 18:49:09.318183,Yes
14870,1374807,SSE.L,2011-11-10,2011-11-09, SSE;,Exceptionals push SSE into red, Southern Energy; SSE;,Southern Energy SSE,2023-04-05 18:49:20.485361,Yes
14871,1376534,SSE.L,2011-11-25,2011-11-24, SSE;,Falling power prices cast doubts over SSE's renewables scheme, SSE; Southern Energy; BAE Systems; US; IAG; Lloyds Banking Group; Weir Group; Heritage Oil; Heritage; Goldman Sachs; C&W Worldwide; Gulf; Keystone Petroleum; 14.8;,SSE Southern Energy BAE Systems US IAG Lloyds Banking Group Weir Group Heritage Oil Heritage Goldman Sachs C W Worldwide Gulf Keystone Petroleum,2023-04-05 18:49:26.608553,No
14872,1394880,SSE.L,2012-05-01,2012-04-30, SSE;,SSE has the wind taken out of its sails, SSE; Randgold Resources; Nomura Securities; Ministry of Defence; Civil Service; Group;,SSE Randgold Resources Nomura Securities Ministry of Defence Civil Service Group,2023-04-05 18:49:37.886235,Yes
14873,1394909,SSE.L,2012-05-01,2012-04-30, SSE;,SSE has the wind taken out of its sails as FTSE 100 drifts to loss, SSE; Randgold Resources; Nomura Securities; Ministry of Defence; Civil Service; Group; UK; Fellow engineer Morgan Crucible;,SSE Randgold Resources Nomura Securities Ministry of Defence Civil Service Group UK Fellow engineer Morgan Crucible,2023-04-05 18:49:49.018148,Yes
14874,1424335,SSE.L,2013-01-24,2013-01-23, SSE;,Deputy to step up to top job at SSE, SSE; Department of Energy; EDF; Southern Energy; UK;,SSE Department of Energy EDF Southern Energy UK,2023-04-05 18:50:00.210734,Yes
14875,1438178,SSE.L,2013-05-23,2013-05-22, SSE;,Marchant's move leaves SSE successor to keep lights on, SSE;,SSE,2023-04-05 18:50:11.802516,Yes
14876,1450755,SSE.L,2013-09-26,2013-09-25, SSE;,Potential freeze on energy bills weighs on Centrica and SSE, SSE; UK; Merrill Lynch; Credit Suisse; Morgan Stanley;,SSE UK Merrill Lynch Credit Suisse Morgan Stanley,2023-04-05 18:50:23.024229,Yes
14877,1469122,SSE.L,2014-03-27,2014-03-26, SSE;,Energy price freeze by SSE sparks political row, Energy Company Obligation; SSE;,Energy Company Obligation SSE,2023-04-05 18:50:34.086252,Yes
14878,1469150,SSE.L,2014-03-27,2014-03-26, SSE;,SSE blinks first, SSE; Energy; UK;,SSE Energy UK,2023-04-05 18:50:46.902910,Yes
14879,1567700,SSE.L,2017-05-18,2017-05-17, SSE;,SSE: sea of troubles, SSE; UK;,SSE UK,2023-04-05 18:50:58.786634,Yes
