,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15164,800021,SVT.L,2001-12-05,2001-12-04, Severn Trent;,Severn Trent shuns shake-up, AWG; UK Waste; Severn Trent Services; US;,AWG UK Waste Severn Trent Services US,2023-04-05 19:41:44.429864,Yes
15165,848109,SVT.L,2002-08-23,2002-08-22, Severn Trent;,RSPB and Severn Trent in organic lamb deal, Royal Society; Welsh; RSPB; Wales; Graig Farm Organics;,Royal Society Welsh RSPB Wales Graig Farm Organics,2023-04-05 19:41:50.805436,No
15166,971834,SVT.L,2004-06-04,2004-06-03, Severn Trent;,Hays chief's switch raises split speculation at Severn Trent, Deutsche Bank; Standard Life Investments;,Deutsche Bank Standard Life Investments,2023-04-05 19:44:52.905683,No
15167,1020779,SVT.L,2005-04-05,2005-04-04, Severn Trent;,Severn Trent Water offsets US loss UTILITIES:, US; Severn Trent Water; Wales;,US Severn Trent Water Wales,2023-04-05 19:44:59.168916,No
15168,1030625,SVT.L,2005-06-08,2005-06-07, Severn Trent;,Severn Trent figures fail to impress UTILITIES, Merrill Lynch; European Union;,Merrill Lynch European Union,2023-04-05 19:45:05.340180,No
15169,1047713,SVT.L,2005-10-04,2005-10-03, Severn Trent;,Severn Trent says full-year result set to meet forecast UTILITIES, International Financial Reporting Standards; UK; US;,International Financial Reporting Standards UK US,2023-04-05 19:45:11.538473,No
15170,1057873,SVT.L,2005-12-07,2005-12-06, Severn Trent;,Severn Trent to review sale of labs division, Severn Trent Water; Serious Fraud Office; Wales; Belgian;,Severn Trent Water Serious Fraud Office Wales Belgian,2023-04-05 19:45:17.694120,No
15171,1071315,SVT.L,2006-03-08,2006-03-07, Severn Trent;,Severn Trent ordered to repay customers Pounds 42m WATER BILLS, Severn Trent Water; SFO;,Severn Trent Water SFO,2023-04-05 19:45:29.102906,Yes
15172,1146650,SVT.L,2007-08-09,2007-08-08, Severn Trent;,Severn Trent estimates cost of floods could reach Pounds 35m, Severn Trent Water;,Severn Trent Water,2023-04-05 19:45:40.458029,Yes
15173,1205410,SVT.L,2008-07-02,2008-07-01, Severn Trent;,Severn Trent escapes record fine, Wales; Serious Fraud Office; SFO;,Wales Serious Fraud Office SFO,2023-04-05 19:45:51.621641,Yes
15174,1312761,SVT.L,2010-07-05,2010-07-04, Severn Trent;,"Severn Trent to sell 23,000-acre estate", Wales; Severn Trent Water; Liverpool Corporation; Forestry; Commission Wales.;,Wales Severn Trent Water Liverpool Corporation Forestry Commission Wales,2023-04-05 19:46:02.988457,Yes
15175,1399076,SVT.L,2012-06-06,2012-06-05, Severn Trent;,Severn Trent comes clean on leakage, UK; United Utilities; Pennon Group; Mr; Wales; Wales.;,UK United Utilities Pennon Group Mr Wales Wales,2023-04-05 19:46:14.156481,Yes
15176,1437080,SVT.L,2013-05-15,2013-05-14, Severn Trent;,Severn Trent, Ontario Municipal Employees; UK; Kuwait Investment Office;,Ontario Municipal Employees UK Kuwait Investment Office,2023-04-05 19:46:26.438807,Yes
15177,1568002,SVT.L,2017-05-24,2017-05-23, Severn Trent;,Shareholders find Severn Trent's dividend is not to be sniffed at, Severn; Sun; Wales;,Severn Sun Wales,2023-04-05 19:46:37.805543,Yes
