,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15312,745407,TPK.L,2001-03-09,2001-03-08, Travis Perkins;,COMPANIES & FINANCE UK: Travis Perkins eyes foreign shores, US;,US,2023-04-05 21:49:37.262771,Yes
15313,817420,TPK.L,2002-03-12,2002-03-11, Travis Perkins;,Travis Perkins in double-digit growth pledge, UK; US;,UK US,2023-04-05 21:49:55.079320,Yes
15314,885817,TPK.L,2003-03-11,2003-03-10, Travis Perkins;,"Travis Perkins takes a pensions gamble CONSTRUCTION COMPANY TAKES DECISION TO
CLOSE FINAL SALARY SCHEME TO NON-MANAGEMENT ENTRANTS:", National Association of;,National Association of,2023-04-05 21:50:09.721074,Yes
15315,947940,TPK.L,2004-02-02,2004-02-01, Travis Perkins;,And finally Travis Perkins, Westland Group;,Westland Group,2023-04-05 21:50:17.703302,No
15316,964916,TPK.L,2004-04-29,2004-04-28, Travis Perkins;,Wilson Bowden and Travis Perkins both buoyant CONSTRUCTION:, UK;,UK,2023-04-05 21:50:34.724092,Yes
15317,988829,TPK.L,2004-09-07,2004-09-06, Travis Perkins;,Travis Perkins outlines plans for expansion, 11.9;,,2023-04-05 21:50:42.758775,No
15318,997554,TPK.L,2004-11-01,2004-10-31, Travis Perkins;,Travis Perkins looks outside for new chief, Commercial Ceiling Factors;,Commercial Ceiling Factors,2023-04-05 21:50:51.018178,No
15319,1037084,TPK.L,2005-07-20,2005-07-19, Travis Perkins;,Meech in switch to Travis Perkins, Dixons Group; UK; DIY; Gateway Foods; Dixons; PC World;,Dixons Group UK DIY Gateway Foods Dixons PC World,2023-04-05 21:50:59.030080,No
15320,1043272,TPK.L,2005-09-06,2005-09-05, Travis Perkins;,Wickes takes the wind out of Travis Perkins CONSTRUCTION, TP;,TP,2023-04-05 21:51:07.040954,No
15321,1069037,TPK.L,2006-02-21,2006-02-20, Travis Perkins;,And finally Travis Perkins, Evode Group; Deutsche Asset Management; Deutsche;,Evode Group Deutsche Asset Management Deutsche,2023-04-05 21:51:15.202983,No
15322,1071570,TPK.L,2006-03-09,2006-03-08, Travis Perkins;,Travis Perkins flat but hopes raised by Wickes pick-up, TP;,TP,2023-04-05 21:51:23.191940,No
15323,1134453,TPK.L,2007-05-16,2007-05-15, Travis Perkins;,Travis Perkins defies DIY downturn, DIY; 13.9;,DIY,2023-04-05 21:51:31.266880,No
15324,1145821,TPK.L,2007-08-02,2007-08-01, Travis Perkins;,Travis Perkins wary of big ticket cutbacks, US;,US,2023-04-05 21:51:55.918119,Yes
15325,1169848,TPK.L,2007-12-14,2007-12-13, Travis Perkins;,Travis Perkins issues slower growth warning, DIY; 12.1; Council of Mortgage Lenders;,DIY Council of Mortgage Lenders,2023-04-05 21:52:09.380689,Yes
15326,1210077,TPK.L,2008-07-31,2008-07-30, Travis Perkins;,Travis Perkins shores up for downturn, DIY;,DIY,2023-04-05 21:52:22.632766,Yes
15327,1222486,TPK.L,2008-10-17,2008-10-16, Travis Perkins;,Travis Perkins falls on building slump, BSS;,BSS,2023-04-05 21:52:30.668226,No
15328,1242886,TPK.L,2009-02-20,2009-02-19, Travis Perkins;,Travis Perkins suspends dividend, Panmure Gordon;,Panmure Gordon,2023-04-05 21:52:44.860362,Yes
15329,1275124,TPK.L,2009-10-01,2009-09-30, Travis Perkins;,Travis Perkins upbeat on raising market share, MFI;,MFI,2023-04-05 21:53:07.758574,Yes
15330,1286759,TPK.L,2009-12-18,2009-12-17, Travis Perkins;,Travis Perkins sees signs of recovery, Panmure Gordon;,Panmure Gordon,2023-04-05 21:53:21.268039,Yes
15331,1295361,TPK.L,2010-02-25,2010-02-24, Travis Perkins;,Travis Perkins stays cautious, UK;,UK,2023-04-05 21:53:40.265692,Yes
15332,1312871,TPK.L,2010-07-06,2010-07-05, Travis Perkins;,Travis Perkins seals BSS takeover, BSS Group; UK; BSS; Wickes; Panmure Gordon;,BSS Group UK BSS Wickes Panmure Gordon,2023-04-05 21:53:48.701880,No
15333,1324764,TPK.L,2010-10-12,2010-10-11, Travis Perkins;,Travis Perkins wary over spending cuts, Panmure Gordon;,Panmure Gordon,2023-04-05 21:54:02.483485,Yes
15334,1427655,TPK.L,2013-02-21,2013-02-20, Travis Perkins;,Bullish Travis Perkins sees 16% rise in pre-tax profit, DIY;,DIY,2023-04-05 21:54:16.199956,Yes
15335,1448159,TPK.L,2013-08-30,2013-08-29, Travis Perkins;,Travis Perkins builds route into housing market revival, US; Ministry of Justice; John Wood Group; FTSE; Sports Direct; Financial Times; Deutsche Bank; Salamander Energy;,US Ministry of Justice John Wood Group FTSE Sports Direct Financial Times Deutsche Bank Salamander Energy,2023-04-05 21:54:29.715566,Yes
15336,1550726,TPK.L,2016-10-20,2016-10-19, Travis Perkins;,Glum outlook: Uncertainty takes toll on Travis Perkins, UK; EU;,UK EU,2023-04-05 21:54:48.253128,Yes
15337,1550738,TPK.L,2016-10-20,2016-10-19, Travis Perkins;,Travis Perkins: drilling down, DeWalt Cross Line Laser;,DeWalt Cross Line Laser,2023-04-05 21:55:01.765908,Yes
