,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15338,1192482,TRIL.L^I09,2008-04-17,2008-04-16, Thomson Reuters;,Stock market bells ring for Thomson Reuters' debut," Reuters; Thomson Corp,; TRI; Thomson; 650p; Thomson Financial; Bloomberg; Merck; IMD Reference;",Reuters Thomson Corp TRI Thomson p Thomson Financial Bloomberg Merck IMD Reference,2023-04-05 21:55:09.784273,No
15339,1192697,TRIL.L^I09,2008-04-18,2008-04-17, Thomson Reuters;,Thomson Reuters misquotes own share price, Thomson Corp and; Thomson Reuters Markets; London Stock Exchange; Reuters; Bloomberg; New York Stock Exchange; UK; Thomson; Reuters Corporation; Credit Suisse; Reuters Plc;,Thomson Corp and Thomson Reuters Markets London Stock Exchange Reuters Bloomberg New York Stock Exchange UK Thomson Reuters Corporation Credit Suisse Reuters Plc,2023-04-05 21:55:23.069568,Yes
15340,1192698,TRIL.L^I09,2008-04-18,2008-04-17, Thomson Reuters;,Unfortunate start for Thomson Reuters," Thomson Corp and; Thomson Reuters Markets; London Stock Exchange; Reuters; Bloomberg; UK; Thomson; Reuters Plc; Reuters Corp,; Credit Suisse; Reuters Corp;",Thomson Corp and Thomson Reuters Markets London Stock Exchange Reuters Bloomberg UK Thomson Reuters Plc Reuters Corp Credit Suisse Reuters Corp,2023-04-05 21:55:36.485710,Yes
15341,1192699,TRIL.L^I09,2008-04-18,2008-04-17, Thomson Reuters;,Unlucky debut for Thomson Reuters in London, Thomson Corp and; Thomson Reuters Markets; London Stock Exchange; Reuters; Bloomberg; New York Stock Exchange; UK; Thomson; Reuters Corporation; Credit Suisse; Reuters Plc;,Thomson Corp and Thomson Reuters Markets London Stock Exchange Reuters Bloomberg New York Stock Exchange UK Thomson Reuters Corporation Credit Suisse Reuters Plc,2023-04-05 21:55:50.097279,Yes
15342,1193131,TRIL.L^I09,2008-04-22,2008-04-21, Thomson Reuters;,"Consigliere to the Thomson clan It was the unusual powers of stewardship given
to Geoff Beattie that helped the Thomson Reuters deal happen, writes Andrew
Edgecliffe-Johnson", Bloomberg; Thomson; Reuters; Thomson Corp's; Roy Thomson; Thomson Learning; Lord Thomson of Fleet; Canada; Globe; Thomson Reuters board; Thomson Corp and; Reuters Founders Share Company; Founders Share; University of Toronto; US;,Bloomberg Thomson Reuters Thomson Corp s Roy Thomson Thomson Learning Lord Thomson of Fleet Canada Globe Thomson Reuters board Thomson Corp and Reuters Founders Share Company Founders Share University of Toronto US,2023-04-05 21:56:03.616486,Yes
15343,1211708,TRIL.L^I09,2008-08-13,2008-08-12, Thomson Reuters;,Financial data dip bad news for Thomson Reuters, Thomson Corporation's; Reuters; Bloomberg; Merrill Lynch; Thomson Financial; Deutsche Bank; Thomson Reuters;,Thomson Corporation s Reuters Bloomberg Merrill Lynch Thomson Financial Deutsche Bank Thomson Reuters,2023-04-05 21:56:11.733049,No
15344,1237223,TRIL.L^I09,2009-01-19,2009-01-18, Thomson Reuters;,Thomson Reuters to offer full 'data tape', London Stock Exchange; Markets; Financial Instruments Directive;,London Stock Exchange Markets Financial Instruments Directive,2023-04-05 21:56:25.127201,Yes
15345,1243659,TRIL.L^I09,2009-02-25,2009-02-24, Thomson Reuters;,Thomson Reuters profits rise, Thomson Reuters; Reuters; Thomson Reuters Markets; Bloomberg; Group;,Thomson Reuters Reuters Thomson Reuters Markets Bloomberg Group,2023-04-05 21:56:38.237704,Yes
15346,1249637,TRIL.L^I09,2009-04-02,2009-04-01, Thomson Reuters;,Thomson Reuters pay boom, Thomson Corporation; Reuters; Thomson; Thomson Reuters;,Thomson Corporation Reuters Thomson Thomson Reuters,2023-04-05 21:56:51.533462,Yes
15347,1249638,TRIL.L^I09,2009-04-02,2009-04-01, Thomson Reuters;,Thomson Reuters executives in pay boom, Thomson Corp's; Reuters; Thomson; Thomson Reuters;,Thomson Corp s Reuters Thomson Thomson Reuters,2023-04-05 21:57:04.862988,Yes
