,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15354,710179,TSCO.L,2000-09-13,2000-09-12, Tesco;,"INSIDE TRACK: Success of the new unorthodoxy: MANAGEMENT ONLINE RETAILING: In
British grocery e-tailing, Tesco has gained an early lead by ignoring the rule
book on internet selling, wri", Accel Partners; US; Media Metrix; US start-up; Boston Consulting Group; UK; US -;,Accel Partners US Media Metrix US start up Boston Consulting Group UK US,2023-04-05 21:58:39.168290,Yes
15355,710799,TSCO.L,2000-09-15,2000-09-14, Tesco;,"MANAGEMENT & TECHNOLOGY: Success of the latest unorthodoxy: MANAGEMENT ONLINE
RETAILING: Tesco has gained an early lead by ignoring the rule book on net
selling, writes Carlos Grande", Accel Partners; US; Media Metrix; US start-up; Boston Consulting Group; UK;,Accel Partners US Media Metrix US start up Boston Consulting Group UK,2023-04-05 21:58:47.197029,No
15356,711644,TSCO.L,2000-09-20,2000-09-19, Tesco;,"COMPANIES & FINANCE: UK: Tesco refuses to quell talk of bid for M&S FOOD
RETAILING GROUP HIGHLIGHTS AMBITIONS TO EXPAND SALES INTERNATIONALLY:", UK;,UK,2023-04-05 21:59:05.384819,Yes
15357,752072,TSCO.L,2001-04-10,2001-04-09, Tesco;,SHORTS: Tesco woos its Thai customers, Thai;,Thai,2023-04-05 21:59:13.496727,No
15358,752100,TSCO.L,2001-04-10,2001-04-09, Tesco;,"COMPANIES & FINANCE ASIA-PACIFIC: Tesco dishes out charm to lift Lotus position
in Thailand: Slowing growth and protests of traditional retailers are a concern,
says Amy Kazmin:", Lotus; UK; Casino Group; Thai Rak Thai; Kim Eng Securities; Merrill Lynch Phatra Securities;,Lotus UK Casino Group Thai Rak Thai Kim Eng Securities Merrill Lynch Phatra Securities,2023-04-05 21:59:21.602301,No
15359,769302,TSCO.L,2001-07-04,2001-07-03, Tesco;,Hoerner to head Tesco clothing, UK; US; Burton Group; Tesco;,UK US Burton Group Tesco,2023-04-05 21:59:29.793778,No
15360,805828,TSCO.L,2002-01-11,2002-01-10, Tesco;,"An octopus in the shopping trolley: RETAILING: For its first Seoul supermarket,
Tesco has joined forces with Samsung and created a style to suit lively local
tastes, says Andrew Ward", Samsung; Hyundai Securities; US; UK; Pepsi Cola;,Samsung Hyundai Securities US UK Pepsi Cola,2023-04-05 21:59:37.845282,No
15361,805927,TSCO.L,2002-01-11,2002-01-10, Tesco;,Tesco set to clinch Air Miles contract, British Airways; Air Miles;,British Airways Air Miles,2023-04-05 21:59:45.963793,No
15362,819529,TSCO.L,2002-03-22,2002-03-21, Tesco;,"Solicitors' body approves plans for 'Tesco lawyers' LAW SOCIETY PROPOSALS TO
ALLOW SUPERMARKETS, BANKS AND BUILDING SOCIETIES TO SELL LEGAL SERVICES GET
GREEN LIGH:", Law Society Council; Wales; Law Society; Office of Fair Trading; Council;,Law Society Council Wales Law Society Office of Fair Trading Council,2023-04-05 21:59:54.040458,No
15363,822952,TSCO.L,2002-04-11,2002-04-10, Tesco;,"Tesco eyes expansion into Japan and China RETAILERS GROUP EXPECTS PRE-TAX
CONTRIBUTION FROM INTERNATIONAL OPERATIONS TO INCREASE TO Pounds 145M THIS YEAR:", UK; Merrill Lynch;,UK Merrill Lynch,2023-04-05 22:00:07.842313,Yes
