,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15796,723865,TWT.L^G04,2000-11-17,2000-11-16, Telewest Communications;,PEOPLE: FT Global 500 moves Telewest Communications, Telewest Communications;,Telewest Communications,2023-04-06 10:07:54.431794,Yes
15797,723865,TWT.L^G04,2000-11-17,2000-11-16, Telewest Communications;,PEOPLE: FT Global 500 moves Telewest Communications, Telewest Communications;,Telewest Communications,2023-04-06 10:08:08.570879,Yes
15798,732710,TWT.L^G04,2001-01-08,2001-01-07, Telewest Communications;,COMPANIES & FINANCE UK: Telewest chief joins QXL board, Telewest Communications; UK;,Telewest Communications UK,2023-04-06 10:08:22.181795,Yes
15799,763002,TWT.L^G04,2001-06-05,2001-06-04, Telewest Communications;,Telewest in holiday software deal, Telewest Communications;,Telewest Communications,2023-04-06 10:08:35.541677,Yes
15800,763015,TWT.L^G04,2001-06-05,2001-06-04, Telewest Communications;,Telewest to link travel agents to broadband TELECOMMUNICATIONS:, Telewest Communications; Rapid Travel Solutions; Salomon Smith Barney;,Telewest Communications Rapid Travel Solutions Salomon Smith Barney,2023-04-06 10:08:43.573145,No
15801,775202,TWT.L^G04,2001-08-02,2001-08-01, Telewest Communications;,Telewest steps up broadband efforts, Telewest Communications;,Telewest Communications,2023-04-06 10:09:06.235171,Yes
15802,775617,TWT.L^G04,2001-08-03,2001-08-02, Telewest Communications;,Telewest eyes profit ahead, Cable; Telewest Communications;,Cable Telewest Communications,2023-04-06 10:09:22.410424,Yes
15803,782078,TWT.L^G04,2001-09-07,2001-09-06, Telewest Communications;,Singer feels the pain as Telewest dips, Telewest Communications; United Pan-European Communications; Liberty Media;,Telewest Communications United Pan European Communications Liberty Media,2023-04-06 10:09:30.438719,No
15804,790179,TWT.L^G04,2001-10-18,2001-10-17,  Telewest Communications;,GE loan a boost for Telewest NEWS DIGEST, Telewest  Telewest Communications; GE Capital; General Electric;,Telewest Telewest Communications GE Capital General Electric,2023-04-06 10:09:38.480983,No
15805,817612,TWT.L^G04,2002-03-13,2002-03-12, Telewest;,Telewest starts Pounds 125m raising NEWS DIGEST:, CIT Group;,CIT Group,2023-04-06 10:09:51.698479,Yes
15806,831193,TWT.L^G04,2002-05-22,2002-05-21, Telewest;,"Telewest's debt pile casts long shadow over Flextech: It may be time for the pay
TV programmer to leave its parent, says Carlos Grande:", Liberty Media; BBC Worldwide; Flextech;,Liberty Media BBC Worldwide Flextech,2023-04-06 10:10:04.805184,Yes
15807,834804,TWT.L^G04,2002-06-12,2002-06-11, Telewest;,"Telewest AGM hits at Liberty TELECOMMUNICATIONS US GROUP'S ROLE CHALLENGED BY
SHAREHOLDERS:", Liberty Media; US; National Association of Pension Funds; Liberty Media International; NTL;,Liberty Media US National Association of Pension Funds Liberty Media International NTL,2023-04-06 10:10:17.909340,Yes
15808,835217,TWT.L^G04,2002-06-14,2002-06-13, Telewest;,Liberty set for Telewest talks, Telewest; Liberty Media; US;,Telewest Liberty Media US,2023-04-06 10:10:38.193300,Yes
15809,835383,TWT.L^G04,2002-06-14,2002-06-13, Telewest;,Liberty bids for Telewest bonds and plans shake-up, Liberty Media; US; Telewest; NTL; Foreign & Colonial;,Liberty Media US Telewest NTL Foreign Colonial,2023-04-06 10:10:51.496529,Yes
15810,835880,TWT.L^G04,2002-06-18,2002-06-17, Telewest;,Telewest group rebuffs bond offer, Liberty Media; US; UK; Microsoft; 23.7; Salomon Smith Barney;,Liberty Media US UK Microsoft Salomon Smith Barney,2023-04-06 10:11:04.504696,Yes
15811,856124,TWT.L^G04,2002-10-04,2002-10-03, Telewest Communications Networks;,Telewest credit ratings lowered NEWS DIGEST, Standard & Poor's; Telewest Communications; Telewest Communications Networks;,Standard Poor s Telewest Communications Telewest Communications Networks,2023-04-06 10:11:20.893312,Yes
