,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
15944,723797,UU.L,2000-11-17,2000-11-16, United Utilities;,COMPANIES & FINANCE UK: Richard Evans to become United Utilities chairman, BAE Systems; United Utilities; United; British Aircraft Corporation;,BAE Systems United Utilities United British Aircraft Corporation,2023-04-06 10:59:54.315025,No
15945,734537,UU.L,2001-01-17,2001-01-16, United Utilities;,COMPANIES & FINANCE UK: United Utilities in acquisitions NEWS DIGEST, United Utilities;,United Utilities,2023-04-06 11:00:08.283225,Yes
15946,770354,UU.L,2001-07-09,2001-07-08, United Utilities;,Moving places United Utilities, United Utilities; Bell;,United Utilities Bell,2023-04-06 11:00:16.750342,No
15947,775001,UU.L,2001-08-01,2001-07-31, United Utilities;,Moving places United Utilities, United Utilities;,United Utilities,2023-04-06 11:00:35.213417,Yes
15948,799117,UU.L,2001-11-30,2001-11-29, United Utilities;,United Utilities plans to avoid debt financing WATER STEADY FIRST-HALF PROGRESS:, United Utilities; US; Norweb;,United Utilities US Norweb,2023-04-06 11:00:43.672624,No
15949,820726,UU.L,2002-03-28,2002-03-27, United Utilities;,United Utilities raises target NEWS DIGEST:, United Utilities;,United Utilities,2023-04-06 11:00:57.228901,Yes
15950,831195,UU.L,2002-05-22,2002-05-21, United Utilities;,United Utilities wins contract NEWS DIGEST, United Utilities; Welsh Water; UK; National Treasury Services; Wales;,United Utilities Welsh Water UK National Treasury Services Wales,2023-04-06 11:01:10.740786,Yes
15951,831432,UU.L,2002-05-24,2002-05-23, United Utilities;,United Utilities calls for regulatory extension, United Utilities; Wales; UK;,United Utilities Wales UK,2023-04-06 11:01:18.943483,No
15952,834270,UU.L,2002-06-10,2002-06-09, United Utilities;,Watchdog probes United Utilities NEWS DIGEST, United Utilities;,United Utilities,2023-04-06 11:01:27.175644,No
15953,855973,UU.L,2002-10-04,2002-10-03, United Utilities;,United Utilities to quit IEBA, IEBA  United Utilities;,IEBA United Utilities,2023-04-06 11:01:35.411476,No
15954,868666,UU.L,2002-12-06,2002-12-05, United Utilities;,United Utilities bucks trend, United Utilities;,United Utilities,2023-04-06 11:01:43.571449,No
15955,868787,UU.L,2002-12-06,2002-12-05, United Utilities;,"United Utilities shrugs off difficult year WATER PROFITS AHEAD 5% AT INTERIM
STAGE DESPITE HEAVY INDUSTRY PRICE CUTS IMPOSED BY REGULATORS:", United Utilities; Welsh Water; Vertex; YTL; International Power; TXU; Progress;,United Utilities Welsh Water Vertex YTL International Power TXU Progress,2023-04-06 11:01:51.891541,No
15956,898703,UU.L,2003-05-16,2003-05-15, United Utilities;,"Man with power in his hands hopes not to shock: Now head of United Utilities,
John Roberts has had a colourful career. But as he gets ready to deliver its
annu MAGGIE URRY ONE TO ONE", United Utilities; North West Water; North Wales Electricity Board; Welsh Water; South Wales Electricity;,United Utilities North West Water North Wales Electricity Board Welsh Water South Wales Electricity,2023-04-06 11:02:05.221508,Yes
15957,921691,UU.L,2003-09-19,2003-09-18, United Utilities;,UK & IRELAND: United Utilities rights issue NEWS DIGEST, United Utilities;,United Utilities,2023-04-06 11:02:13.395259,No
15958,934774,UU.L,2003-11-20,2003-11-19, United Utilities;,And finally... United Utilities," United Utilities; RWE-owned Thames Water UK,; United Utilities Service Delivery; Arcadia Group; Competition Service; Strategic Rail Authority;",United Utilities RWE owned Thames Water UK United Utilities Service Delivery Arcadia Group Competition Service Strategic Rail Authority,2023-04-06 11:02:21.633618,No
15959,953628,UU.L,2004-03-02,2004-03-01, United Utilities;,United Utilities arm in telecoms deal NEWS DIGEST, Communications; United Utilities; UK;,Communications United Utilities UK,2023-04-06 11:02:29.869298,No
15960,969354,UU.L,2004-05-21,2004-05-20, United Utilities;,Profit up at United Utilities, United Utilities  United Utilities;,United Utilities United Utilities,2023-04-06 11:02:50.787182,Yes
15961,1001443,UU.L,2004-11-26,2004-11-25, United Utilities;,All-round advance at United Utilities, National Grid Transco; United Utilities;,National Grid Transco United Utilities,2023-04-06 11:02:58.959660,No
15962,1012371,UU.L,2005-02-10,2005-02-09, United Utilities;,Buyers deluge United Utilities' launch NEW ISSUES:, United Utilities Water; RBC Capital Markets; United Utilities; Moody's Investors Service; Standard & Poor's.; UK; Credit Suisse First Boston; Society; BNP Paribas; Moody's and A;,United Utilities Water RBC Capital Markets United Utilities Moody s Investors Service Standard Poor s UK Credit Suisse First Boston Society BNP Paribas Moody s and A,2023-04-06 11:03:07.279431,No
15963,1026320,UU.L,2005-05-10,2005-05-09, United Utilities;,And finally... United Utilities, United Utilities;,United Utilities,2023-04-06 11:03:15.555226,No
15964,1057333,UU.L,2005-12-02,2005-12-01, United Utilities;,Chief to leave United Utilities, Communications; Your Communications; United Utilities;,Communications Your Communications United Utilities,2023-04-06 11:03:29.371324,Yes
15965,1077005,UU.L,2006-04-12,2006-04-11, United Utilities;,Weller takes United Utilities job PEOPLE," United Utilities; 100,000;",United Utilities,2023-04-06 11:03:37.587760,No
15966,1111456,UU.L,2006-12-06,2006-12-05, United Utilities;,"Vertex sale may make less than United Utilities expected GAS WATER &
MULTIUTILITIES", United; Pounds; United Utilities;,United Pounds United Utilities,2023-04-06 11:03:46.095731,No
15967,1125996,UU.L,2007-03-20,2007-03-19, United Utilities;,Ex-top civil servant at United Utilities PEOPLE, Department; Trade and Industry; United Utilities; Bell; DTI; Civil Aviation Authority;,Department Trade and Industry United Utilities Bell DTI Civil Aviation Authority,2023-04-06 11:03:54.329970,No
15968,1140064,UU.L,2007-06-21,2007-06-20, United Utilities;,United Utilities disposes of majority stake in Thus, United Utilities; Your Communications; United; Kingston Communications; Hull Council;,United Utilities Your Communications United Kingston Communications Hull Council,2023-04-06 11:04:07.790961,Yes
15969,1150205,UU.L,2007-09-10,2007-09-09, United Utilities;,United Utilities sale lures bidders, United Utilities; Deutsche Bank; Royal Bank;,United Utilities Deutsche Bank Royal Bank,2023-04-06 11:04:21.313737,Yes
15970,1165150,UU.L,2007-11-22,2007-11-21, United Utilities;,United Utilities set for three final bids, United Utilities; Lehman Brothers; Colonial First State; Commonwealth Bank of Australia; North West Water; Standard & Poor's;,United Utilities Lehman Brothers Colonial First State Commonwealth Bank of Australia North West Water Standard Poor s,2023-04-06 11:04:34.614730,Yes
