,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
16033,708618,VOD.L,2000-09-05,2000-09-04, Vodafone Group;,STOCK MARKETS LONDON STOCK EXCHANGE: Weak Vodafone proves a drag on FTSE 100, FTSE; Labor; CSFB; Vodafone Group;,FTSE Labor CSFB Vodafone Group,2023-04-06 12:26:30.799353,Yes
16034,708737,VOD.L,2000-09-06,2000-09-05, Vodafone;,SHORTS: Hutchison may sell Vodafone stake, Vodafone; UK;,Vodafone UK,2023-04-06 12:26:44.316125,Yes
16035,708812,VOD.L,2000-09-06,2000-09-05, Vodafone;,FRONT PAGE - COMPANIES & MARKETS: Hutchison may sell stake in Vodafone, UK;,UK,2023-04-06 12:27:01.932295,Yes
16036,717871,VOD.L,2000-10-20,2000-10-19, Vodafone Group;,STOCK MARKETS LONDON STOCK EXCHANGE: Vodafone deal lifts Atlantic, Atlantic Telecom; Vodafone Group; BT; Vodafone-Atlantic Telecom; British Telecommunications; Sema Group; Top Shop and Dorothy Perkins; Boeing; US for; US; Deutsche Bank;,Atlantic Telecom Vodafone Group BT Vodafone Atlantic Telecom British Telecommunications Sema Group Top Shop and Dorothy Perkins Boeing US for US Deutsche Bank,2023-04-06 12:27:10.263359,No
16037,720553,VOD.L,2000-11-02,2000-11-01, Vodafone Group;,STOCK MARKETS LONDON STOCK EXCHANGE: Telecom rout hits Vodafone, US; Vodafone Group; Cable & Wireless; American Petroleum Institute; Shell Transport; Berkshire Hathaway Group; CBI Survey; BSS Group; Barclays; Royal Bank; Merrill Lynch; Herald Investment Trust;,US Vodafone Group Cable Wireless American Petroleum Institute Shell Transport Berkshire Hathaway Group CBI Survey BSS Group Barclays Royal Bank Merrill Lynch Herald Investment Trust,2023-04-06 12:27:23.632811,Yes
16038,720782,VOD.L,2000-11-03,2000-11-02, Vodafone Group;,STOCK MARKETS LONDON STOCK EXCHANGE: Vodafone price in tatters, Vodafone Group; US; UBS Warburg; Shell Transport; ICI; British Airways; KLM; Land Securities; UK; FTSE; Trillium Investments; Department of Social Security; Hilton Group; Goldman Sachs; HSBC USA; HSBC; Merrill Lynch; Pace Micro; Credit Suisse First Boston;,Vodafone Group US UBS Warburg Shell Transport ICI British Airways KLM Land Securities UK FTSE Trillium Investments Department of Social Security Hilton Group Goldman Sachs HSBC USA HSBC Merrill Lynch Pace Micro Credit Suisse First Boston,2023-04-06 12:27:31.798410,No
16039,721674,VOD.L,2000-11-08,2000-11-07, Vodafone Group;,"STOCK MARKETS LONDON STOCK EXCHANGE: Vodafone drives FTSE 100 higher at the
close", US; Nasdaq Composite; Vodafone Group; UK; British Telecom; Merrill Lynch; Colt Telecom;,US Nasdaq Composite Vodafone Group UK British Telecom Merrill Lynch Colt Telecom,2023-04-06 12:27:51.284664,Yes
16040,722564,VOD.L,2000-11-13,2000-11-12, Vodafone;,"FRONT PAGE - COMPANIES & MARKETS: BT may sue Vodafone, Vivendi: Bid to halt
launch of portal in France fails but ruling leaves door open for damages claim", British Telecommunications; BT; Vodafone;,British Telecommunications BT Vodafone,2023-04-06 12:27:59.269640,No
16041,726102,VOD.L,2000-11-29,2000-11-28, Vodafone Group;,STOCK MARKETS LONDON STOCK EXCHANGE: Vodafone falls on rumour, Vodafone Group; Colt Telecom; TeleWest Communications; Cable & Wireless; Kingston Communications; Sema Group; UK; US; Bookham Technologies; IT; Financial Services Authority; Credit Suisse First Boston; HSBC Securities; ABN Amro; Life Sciences; Trinity Mirror; National Australia Bank; Lloyds TSB.; Lloyds; UBS Warburg;,Vodafone Group Colt Telecom TeleWest Communications Cable Wireless Kingston Communications Sema Group UK US Bookham Technologies IT Financial Services Authority Credit Suisse First Boston HSBC Securities ABN Amro Life Sciences Trinity Mirror National Australia Bank Lloyds TSB Lloyds UBS Warburg,2023-04-06 12:28:07.648062,No
16042,728205,VOD.L,2000-12-08,2000-12-07, Vodafone;,"FRONT PAGE - COMPANIES & MARKETS: Gent mission to steady Vodafone shares:
Hutchison promises structured sale of 2.5% stake to help calm markets", Morgan Stanley Dean Witter; Vodafone; BSCH;,Morgan Stanley Dean Witter Vodafone BSCH,2023-04-06 12:28:15.619305,No
16043,728288,VOD.L,2000-12-08,2000-12-07, Vodafone;,"COMPANIES & FINANCE: UK: Vodafone chief flies to HK TELECOMMUNICATION SERVICES
GENT WISHES TO DISCUSS SALE OF HUTCHISON WHAMPOA'S 2.5% STAKE:", Morgan Stanley Dean Witter; Vodafone; BSCH;,Morgan Stanley Dean Witter Vodafone BSCH,2023-04-06 12:28:23.707788,No
16044,728622,VOD.L,2000-12-12,2000-12-11, Vodafone;,"COMPANIES & FINANCE ASIA-PACIFIC: Vodafone's JT move may add muscle to Japanese
market: The UK group is eyeing an eastern jewel, writes Michiyo Nakamoto:", UK; Mitsubishi Securities; US; J-Phone; Credit Suisse First Boston Securities; British Telecommunications;,UK Mitsubishi Securities US J Phone Credit Suisse First Boston Securities British Telecommunications,2023-04-06 12:28:36.986399,Yes
16045,731627,VOD.L,2000-12-29,2000-12-28, Vodafone;,"STOCK MARKETS LONDON STOCK EXCHANGE: Vodafone retreat applies the brakes to
Footsie", FTSE SmallCap; Nasdaq Composite; Nasdaq;,FTSE SmallCap Nasdaq Composite Nasdaq,2023-04-06 12:28:57.434674,Yes
16046,732179,VOD.L,2001-01-04,2001-01-03, Vodafone;,STOCK MARKETS LONDON STOCK EXCHANGE: Overhang fears hit Vodafone, Cable & Wireless; UK; US; Shell Transport; Deutsche Bank; Goldman Sachs; Societe Generale and Credit Suisse; Hilton; Lehman Brothers; Salomon Smith Barney; Merrill Lynch;,Cable Wireless UK US Shell Transport Deutsche Bank Goldman Sachs Societe Generale and Credit Suisse Hilton Lehman Brothers Salomon Smith Barney Merrill Lynch,2023-04-06 12:29:05.620927,No
16047,733035,VOD.L,2001-01-09,2001-01-08, Vodafone;,"FRONT PAGE - COMPANIES & MARKETS: Hutchison sell-off hits Vodafone: Telecom
group falls 6% after HK conglomerate cuts stake", US; Merrill Lynch; Goldman Sachs; UK;,US Merrill Lynch Goldman Sachs UK,2023-04-06 12:29:19.246365,Yes
16048,743073,VOD.L,2001-02-28,2001-02-27, Vodafone;,STOCK MARKETS LONDON STOCK EXCHANGE: Japanese cheer for Vodafone, BT; US; Nasdaq; ARM Holdings; Bookham Technology; MTV; Standard Chartered; Deutsche Bank; Deutsche; Hilton; Dairy Crest; Morgan Stanley Dean Witter;,BT US Nasdaq ARM Holdings Bookham Technology MTV Standard Chartered Deutsche Bank Deutsche Hilton Dairy Crest Morgan Stanley Dean Witter,2023-04-06 12:29:32.787148,Yes
16049,748605,VOD.L,2001-03-23,2001-03-22, Vodafone;,"COMPANIES & FINANCE INTERNATIONAL: Germany casts some light on takeover law:
Reeling from the Vodafone/Mannesmann ordeal, Berlin is playing catch-up with the
rest of Europe and is introducing rules on unsolicited bids", Germany; It; Shearman; Deutsche Bank; Deutschland AG; UK; Allen & Overy;,Germany It Shearman Deutsche Bank Deutschland AG UK Allen Overy,2023-04-06 12:29:40.782944,No
16050,749294,VOD.L,2001-03-27,2001-03-26, Vodafone;,COMPANIES & FINANCE UK: Vodafone to cut pre-pay subsidies, Deutsche Telekom; France Telecom;,Deutsche Telekom France Telecom,2023-04-06 12:29:54.679839,Yes
16051,753908,VOD.L,2001-04-20,2001-04-19, Vodafone;,SHORTS: Vodafone and BT set for J-Phone duel, BT;,BT,2023-04-06 12:30:07.781072,Yes
16052,756575,VOD.L,2001-05-03,2001-05-02, Vodafone;,"Investors welcome Vodafone issue for J-Phone purchase: Market reaction gives
cause for optimism in battered telecoms sector", BT; UK; Japan Telecom; JT; Y2.37m;,BT UK Japan Telecom JT Y m,2023-04-06 12:30:15.774566,No
16053,756582,VOD.L,2001-05-03,2001-05-02, Vodafone;,"Bulk buying of advice brings Vodafone rich rewards: Dan Roberts on the
investment banks and their teams behind the group's deals:", Goldman Sachs; UBS Warburg; Goldman; US;,Goldman Sachs UBS Warburg Goldman US,2023-04-06 12:30:29.290812,Yes
16054,756615,VOD.L,2001-05-03,2001-05-02, Vodafone;,Vodafone blow to telecoms recovery WORLD OVERVIEW, UK; British Telecom; US; Nasdaq Composite; Salomon Smith Barney; Morgan;,UK British Telecom US Nasdaq Composite Salomon Smith Barney Morgan,2023-04-06 12:30:37.535553,No
16055,760729,VOD.L,2001-05-23,2001-05-22, Vodafone;,Nortel lands Vodafone deal NEWS DIGEST, Vodafone; Nortel;,Vodafone Nortel,2023-04-06 12:30:45.517429,No
16056,762076,VOD.L,2001-05-30,2001-05-29, Vodafone Group;,Vodafone stays out of race NEWS DIGEST, Vodafone Group; Pacific Century CyberWorks; Singapore Press Holdings; Cable; PCCW;,Vodafone Group Pacific Century CyberWorks Singapore Press Holdings Cable PCCW,2023-04-06 12:30:53.539440,No
16057,763286,VOD.L,2001-06-04,2001-06-03, Vodafone;,Vodafone on verge of SFR breakthrough, SFR; British Telecommunications; SBC Communications; US;,SFR British Telecommunications SBC Communications US,2023-04-06 12:31:08.823335,Yes
16058,765069,VOD.L,2001-06-13,2001-06-12, Vodafone;,Vodafone facing crunch, Vodafone; KPN; Deutsche Telekom; Sage Group; CML Microsystems; BP; Shell; BG Group; BG; BNP Paribas; Lloyds TSB; Lloyds; TSB; Standard Chartered; Lehman Brothers;,Vodafone KPN Deutsche Telekom Sage Group CML Microsystems BP Shell BG Group BG BNP Paribas Lloyds TSB Lloyds TSB Standard Chartered Lehman Brothers,2023-04-06 12:31:16.923492,No
16059,766391,VOD.L,2001-06-19,2001-06-18, Vodafone;,Vodafone and Microsoft link NEWS DIGEST, Microsoft; Lotus Notes;,Microsoft Lotus Notes,2023-04-06 12:31:24.901915,No
16060,766864,VOD.L,2001-06-21,2001-06-20, Vodafone;,Sell-off starts in Vodafone, Merrill Lynch; Credit Suisse First Boston; Reuters; CSFB; Carlton Communications; Communications; White Paper; Cable & Wireless; Lehman Brothers; US; Bookham Technology; ING Barings Charterhouse; UBS Warburg; BAT; US Justice; Imperial Tobacco; Royal & Sun Alliance; UK; British Airways; Merrill; Deutsche Bank;,Merrill Lynch Credit Suisse First Boston Reuters CSFB Carlton Communications Communications White Paper Cable Wireless Lehman Brothers US Bookham Technology ING Barings Charterhouse UBS Warburg BAT US Justice Imperial Tobacco Royal Sun Alliance UK British Airways Merrill Deutsche Bank,2023-04-06 12:31:33.082051,No
